id,title,subtitle,credits,script,dataPath,imgPath,caption,chartType,xAxis,yAxis,URL,topic
15,Revenue for Univision network,Total revenue (in U.S. dollars),Source: Univision press releases and SEC filings.,"chart[63689] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}},""series"":{""lineWidth"":4,""marker"":{""fillColor"":""#FFFFFF"",""radius"":""4"",""lineWidth"":2,""states"":{""hover"":{""radius"":5}}}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total revenue (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Revenue for Univision network"",""subtitle"":""Total revenue (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-hispanic-black-univision-revenue\/"",""id"":63689,""slug"":""sotnm-hispanic-black-univision-revenue"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Source: Univision press releases and SEC filings."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/15.csv,out/two_col/imgs/15.png,"Univision’s total revenue remained steady at slightly less than $3 billion in 2018. (Telemundo’s revenue is not available for analysis, as its parent company, Comcast, does not provide network-specific revenue.)",line,Year,Total revenue,https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/,Journalism & Media
16,Revenue for Spanish news radio stations,Average station revenue for Spanish news radio stations (in U.S. dollars),"Note: Data from previous years is updated annually. Stations here include the formats Spanish News, Spanish News/Info, Spanish News/Sports, Spanish News/Talk, and Spanish News/Variety in BIA Advisory Services' database, which contains revenue data for 21 stations in these formats. BIA Advisory Services typically does not report revenue for stations that are not part of a radio market. Data include full-power AM and FM radio stations in the BIA Advisory Services database in 50 U.S. states and Washington, D.C.
Source: Pew Research Center analysis of MEDIA Access Pro & BIA Advisory Services data.","chart[63691] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}},""series"":{""lineWidth"":4,""marker"":{""fillColor"":""#FFFFFF"",""radius"":""4"",""lineWidth"":2,""states"":{""hover"":{""radius"":5}}}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average station revenue for Spanish news radio stations (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Revenue for Spanish news radio stations"",""subtitle"":""Average station revenue for Spanish news radio stations (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-hispanic-black-average-revenue-for-spanish-news-radio-stations\/"",""id"":63691,""slug"":""sotnm-hispanic-black-average-revenue-for-spanish-news-radio-stations"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Data from previous years is updated annually. Stations here include\u00a0the formats\u00a0Spanish News, Spanish News\/Info, Spanish News\/Sports, Spanish News\/Talk, and Spanish News\/Variety in BIA Advisory Services' database, which contains revenue data for 21 stations in these formats. BIA Advisory Services typically does not report revenue for stations that are not part of a radio market. Data include full-power AM and FM radio stations in the BIA Advisory Services database in 50 U.S. states and Washington, D.C.<br> Source: Pew Research Center analysis of MEDIA Access Pro & BIA Advisory Services data."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/16.csv,out/two_col/imgs/16.png,"While audience data is not available for Spanish-language news radio, revenue data is available and shows relative stability. Average station revenue for Spanish-language news stations that are listed in the BIA Advisory Services database have shown an overall decline of 12% since 2011, to about $1.2 million.",line,Year,Station revenue,https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/,Journalism & Media
17,Weekly terrestrial radio listenership,% of Americans ages 12 and older who listen to terrestrial (AM/FM) radio in a given week,"Source: Nielsen Audio RADAR 141, June 2019, publicly available via Radio Advertising Bureau.","chart[62978] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of Americans ages 12 and older who listen to terrestrial (AM\/FM) radio in a given week""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Weekly terrestrial radio listenership"",""subtitle"":""% of Americans ages 12 and older who listen to terrestrial (AM\/FM) radio in a given week"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-radio-weekly-terrestrial-radio-listenership\/"",""id"":62978,""slug"":""sotnm-radio-weekly-terrestrial-radio-listenership"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Source: Nielsen Audio RADAR 141, June 2019, publicly available via Radio Advertising Bureau."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/17.csv,out/two_col/imgs/17.png,"The audience for terrestrial radio remains steady and high: In 2018, 89% of Americans ages 12 or older listened to terrestrial radio in a given week, according to Nielsen Media Research data published by the Radio Advertising Bureau, a figure that has changed little since 2009.",line,Year,Listen to terrestrial radio,https://www.journalism.org/fact-sheet/audio-and-podcasting/,Journalism & Media
18,Online radio listenership in cars by cellphone owners,% of Americans ages 12 and older who have ever listened to online radio in a car using a cellphone,"Note: Edison Research and Triton Digital's survey is conducted in January/February of every year. Online radio includes listening to terrestrial (AM/FM) radio stations online and/or listening to streamed audio content available only on the internet.
Source: Edison Research and Triton Digital, “The Infinite Dial 2019.”","chart[62983] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of Americans ages 12 and older who have ever listened to online radio in a car using a cellphone""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""100""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Online radio listenership in cars by cellphone owners"",""subtitle"":""% of Americans ages 12 and older who have ever listened to online radio in a car using a cellphone"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-radio-online-radio-listening-in-cars-by-cellphone-owners\/"",""id"":62983,""slug"":""sotnm-radio-online-radio-listening-in-cars-by-cellphone-owners"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Edison Research\u00a0and Triton Digital's survey is conducted in January\/February of every year. Online radio includes listening to terrestrial (AM\/FM) radio stations online and\/or listening to streamed audio content available only on the internet.<br> Source: Edison Research\u00a0and Triton Digital, \u201cThe Infinite Dial 2019.\u201d "",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/18.csv,out/two_col/imgs/18.png,"Online radio listening in cars, such as listening to AM/FM stations online or streaming other online audio, remained steady after years of increase. In 2019, 41% of Americans ages 12 and older have ever listened to online radio in a car using a phone, up from just 5% in 2010.",line,Year,Listen to online radio in a car using a cellphone,https://www.journalism.org/fact-sheet/audio-and-podcasting/,Journalism & Media
21,Unique visitors of newspaper websites,Average monthly unique visitors to the top 50 U.S. newspapers by circulation,"Note: For each year, the average traffic for each website for October/November/December was calculated; the data point represents the overall average of those numbers. Analysis is of the top 49 newspapers by average Sunday circulation for Q3 2016, Q3 2017 and Q3 2018, according to Alliance for Audited Media data, with the addition of The Wall Street Journal. For each newspaper, the Comscore entity matching its homepage URL was analyzed.
Source: Comscore Media Metrix® Multi-Platform, US, Unique Visitors, October-December 2014-2018.","chart[62595] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average monthly unique visitors to the top 50 U.S. newspapers by circulation""},""xAxis"":{""title"":[],""type"":""linear""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Unique visitors of newspaper websites"",""subtitle"":""Average monthly unique visitors to the top 50 U.S. newspapers by circulation"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-newspapers-website-unique-visitors\/"",""id"":62595,""slug"":""sotnm-newspapers-website-unique-visitors"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: For each year, the average traffic for each website for October\/November\/December was calculated; the data point represents the overall average of those numbers. Analysis is of the top 49 newspapers by average Sunday circulation for Q3 2016, Q3 2017 and Q3 2018, according to Alliance for Audited Media data, with the addition of The Wall Street Journal. For each newspaper, the Comscore entity matching its homepage URL was analyzed.<br> Source: Comscore Media Metrix\u00ae Multi-Platform, US, Unique Visitors, October-December 2014-2018."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/21.csv,out/two_col/imgs/21.png,"Gauging digital audience for the entire newspaper industry is difficult since many daily newspapers do not receive enough traffic to their websites to be measured by Comscore, the data source relied on here. Thus, the figures offered above reflect the top 50 U.S. daily newspapers based on circulation. In the fourth quarter of 2018, there was an average of 11.6 million monthly unique visitors (across all devices) for these top 50 newspapers. This is nearly the same as in Q4 2017 (11.5 million) and 2016 (11.7 million); following two years of growth from 2014 to 2016, newspapers’ website traffic has leveled off. (The list of top 50 papers is based on Sunday circulation but also includes The Wall Street Journal, which does not report Sunday circulation to AAM. It also includes The Washington Post and The New York Times, which make the top 50 even though they do not fully report their digital circulation to AAM. For more details and the full list of newspapers, see our methodology.)",line,Year,Average monthly unique visitors,https://www.journalism.org/fact-sheet/newspapers/,Journalism & Media
22,Visit duration of newspaper websites,Average minutes per visit for the top 50 U.S. newspapers by circulation,"Note: For each year, the average minutes per visit for each website for October/November/December was calculated; the data point represents the overall average of those numbers. Analysis is of the top 49 newspapers by average Sunday circulation for Q3 2016, Q3 2017 and Q3 2018, according to Alliance for Audited Media data, with the addition of The Wall Street Journal. For each newspaper, the Comscore entity matching its homepage URL was analyzed.
Source: Comscore Media Metrix® Multi-Platform, US, Average Minutes Per Visit, October-December 2014-2018.","chart[62603] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average minutes per visit for the top 50 U.S. newspapers by circulation""},""xAxis"":{""title"":[],""type"":""linear""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Visit duration of newspaper websites"",""subtitle"":""Average minutes per visit for the top 50 U.S. newspapers by circulation"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-newspapers-website-minutes-per-visit\/"",""id"":62603,""slug"":""sotnm-newspapers-website-minutes-per-visit"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: For each year, the average minutes per visit for each website for October\/November\/December was calculated; the data point represents the overall average of those numbers. Analysis is of the top 49 newspapers by average Sunday circulation for Q3 2016, Q3 2017 and Q3 2018, according to Alliance for Audited Media data, with the addition of The Wall Street Journal. For each newspaper, the Comscore entity matching its homepage URL was analyzed.<br> Source: Comscore Media Metrix\u00ae Multi-Platform, US, Average Minutes Per Visit, October-December 2014-2018."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/22.csv,out/two_col/imgs/22.png,"Average minutes per visit for the top 50 U.S. daily newspapers, based on circulation, is about 2 1/3 minutes in Q4 2018. This is down 5% from Q4 2017.",line,Year,Average minutes per visit,https://www.journalism.org/fact-sheet/newspapers/,Journalism & Media
23,Share of newspaper advertising revenue coming from digital advertising,Percent of newspaper companies’ advertising revenue coming from digital advertising,Source: Pew Research Center analysis of year-end SEC filings for publicly traded newspaper companies that break out digital advertising revenue for each year.,"chart[62611] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Percent of newspaper companies\u2019 advertising revenue coming from digital advertising""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Share of newspaper advertising revenue coming from digital advertising"",""subtitle"":""Percent of newspaper companies\u2019 advertising revenue coming from digital advertising"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-newspapers-percentage-of-newspaper-advertising-revenue-coming-from-digital\/"",""id"":62611,""slug"":""sotnm-newspapers-percentage-of-newspaper-advertising-revenue-coming-from-digital"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Source: Pew Research Center analysis of year-end SEC filings for publicly traded newspaper companies that break out digital advertising revenue for each year."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/23.csv,out/two_col/imgs/23.png,"Digital advertising accounted for 35% of newspaper advertising revenue in 2018, based on this analysis of publicly traded newspaper companies. The portion stood at 31% in 2017 – but at 17% in 2011, the first year it was possible to perform this analysis.",line,Year,Advertising revenue coming from digital advertising,https://www.journalism.org/fact-sheet/newspapers/,Journalism & Media
24,Average audience for network TV evening news,"Average number of TVs tuning to news programming during the evening news time slot for ABC, CBS and NBC","Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. ""Average audience"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). ""National news"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. The evening news time slot is defined as early fringe by Comscore and includes newscasts that air from 4 p.m. to 7 p.m. Source: Comscore TV Essentials®, 2016-2018, U.S.","chart[69447] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average number of TVs tuning to news programming during the evening news time slot for ABC, CBS and NBC""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""6000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Average audience for network TV evening news"",""subtitle"":""Average number of TVs tuning to news programming during the evening news time slot for ABC, CBS and NBC"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-average-audience-for-network-tv-evening-news\/"",""id"":69447,""slug"":""sotnm-network-average-audience-for-network-tv-evening-news"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. \""Average audience\"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). \""National news\"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. The evening news time slot is defined as early fringe by Comscore and includes newscasts that air from 4 p.m. to 7 p.m. Source: Comscore TV Essentials\u00ae, 2016-2018, U.S."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/24.csv,out/two_col/imgs/24.png,"The average audience for the evening newscasts for ABC, CBS and NBC remained relatively stable in 2018, with 5.3 million viewers tuning in on average, compared with 5.2 million in 2017, according to Comscore TV Essentials® data. (Average audience is defined as the average number of TVs tuned to a program throughout a time period.)",line,Year,Evening news audience,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
25,Average audience for network TV morning news,"Average number of TVs tuning to news programming during the morning news time slot for ABC, CBS and NBC","Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. ""Average audience"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). ""National news"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. The morning news time slot includes newscasts that air from 6 a.m. to 9 a.m. Source: Comscore TV Essentials®, 2016-2018, U.S.","chart[69448] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average number of TVs tuning to news programming during the morning news time slot for ABC, CBS and NBC""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""6000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Average audience for network TV morning news"",""subtitle"":""Average number of TVs tuning to news programming during the morning news time slot for ABC, CBS and NBC"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-average-audience-for-network-tv-morning-news\/"",""id"":69448,""slug"":""sotnm-network-average-audience-for-network-tv-morning-news"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. \""Average audience\"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). \""National news\"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. The morning news time slot includes newscasts that air from 6 a.m. to 9 a.m. Source: Comscore TV Essentials\u00ae, 2016-2018, U.S."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/25.csv,out/two_col/imgs/25.png,"Average audience for morning news programs from ABC, CBS and NBC declined over the past year, down 4% in 2018, to about 3.2 million from 3.3 million.",line,Year,Morning news audience,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
26,Average audience for network TV Sunday morning political talk shows,"Average number of TVs tuning to Sunday morning political talk show news programming for ABC's This Week, CBS's Face the Nation, Fox News Sunday and NBC's Meet the Press","Note: Numbers represent ABC, CBS, Fox and NBC for the full year and include live viewership only. ""Average audience"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). ""National news"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. Sunday morning political talk shows include ABC's This Week, CBS's Face the Nation, Fox News Sunday and NBC's Meet the Press. Source: Comscore TV Essentials®, 2016-2018 U.S.","chart[69449] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average number of TVs tuning to Sunday morning political talk show news programming for ABC's This Week, CBS's Face the Nation, Fox News Sunday and NBC's Meet the Press""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""6000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Average audience for network TV Sunday morning political talk shows"",""subtitle"":""Average number of TVs tuning to Sunday morning political talk show news programming for ABC's This Week, CBS's Face the Nation, Fox News Sunday and NBC's Meet the Press"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-average-audience-for-network-tv-sunday-morning-political-talk-shows\/"",""id"":69449,""slug"":""sotnm-network-average-audience-for-network-tv-sunday-morning-political-talk-shows"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Numbers represent ABC, CBS, Fox and NBC for the full year and include live viewership only. \""Average audience\"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). \""National news\"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. Sunday morning political talk shows include ABC's This Week, CBS's Face the Nation, Fox News Sunday and NBC's Meet the Press. Source: Comscore TV Essentials\u00ae, 2016-2018 U.S."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/26.csv,out/two_col/imgs/26.png,"Average audience for the network TV Sunday morning political talk shows on ABC, CBS, Fox and NBC – This Week, Face the Nation, Fox News Sunday and Meet the Press, respectively – declined 8% in 2018, to about 2.3 million average viewers.",line,Year,Sunday morning political talk show audience,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
27,Average audience for network TV newsmagazines,"Average number of TVs tuning to newsmagazine programming for ABC's 20/20, CBS's 48 Hours, CBS's 60 Minutes and NBC's Dateline","Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. ""Average audience"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). ""National news"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. Newsmagazine network shows include ABC's 20/20, CBS's 48 Hours, CBS's 60 Minutes and NBC's Dateline. Source: Comscore TV Essentials®, 2016-2018, U.S.","chart[69450] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average number of TVs tuning to newsmagazine programming for ABC's 20\/20, CBS's 48 Hours, CBS's 60 Minutes and NBC's Dateline""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""6000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Average audience for network TV newsmagazines"",""subtitle"":""Average number of TVs tuning to newsmagazine programming for ABC's 20\/20, CBS's 48 Hours, CBS's 60 Minutes and NBC's Dateline"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-average-audience-for-network-tv-newsmagazines\/"",""id"":69450,""slug"":""sotnm-network-average-audience-for-network-tv-newsmagazines"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Numbers represent ABC, CBS and NBC for the full year and include live viewership only. \""Average audience\"" is the average number of TVs tuned to an entity throughout the selected time frame. It is calculated by dividing the total hours viewed by the length of the time frame (in hours). \""National news\"" is defined as any telecast that has been flagged by Comscore (either by notification from clients, or from standard processes) as being a news-based program airing at approximately the same time across a majority of markets. Newsmagazine network shows include ABC's 20\/20, CBS's 48 Hours, CBS's 60 Minutes and NBC's Dateline. Source: Comscore TV Essentials\u00ae, 2016-2018, U.S."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/27.csv,out/two_col/imgs/27.png,"The average audience for the four newsmagazine shows aired by the networks – ABC’s 20/20, CBS’s 60 Minutes and 48 Hours, and NBC’s Dateline – declined in 2018, down 8% from 2017.",line,Year,Newsmagazine audience,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
