id,File_No,title,Gold Standard,img,data,BART,Chart2Text
10,multi_col-1434.txt,Lashkar-e- Taiba,"Moreover, a plurality of Indians characterize Lashkar-e-Taiba, the group widely blamed for the Mumbai attacks, as the greatest threat facing their country. One-third name Pakistan as the greatest threat – and overwhelmingly Indians believe there is a link between these two threats: 58% say the Pakistani government actively supports extremist groups like Lashkar-e-Taiba, while another 21% think it at least tolerates them. And if these groups were to conduct another terrorist attack against India, most would support military action against them in Pakistan.",dataset/multiColumn/imgs/1434.png,dataset/multiColumn/data/1434.csv,"One candidate tested is Pakistan's Lashkar-e-Taiba extremist group, which loosely translates as `` extremist '' or `` fanatical '', according to a recent Pew Research Center survey. Most Pakistanis ( 83 % ) are aware of the extremist group ; roughly one-in-five ( 16 % ) do not know whether the group is affiliated with any extremist group.",
11,multi_col-1119.txt,"Democrats more likely than Republicans to think the government should be responsible for ensuring home broadband, cellphone services amid COVID-19","While there is not clear majority support among either party for this, Democrats and independents who lean toward the Democratic Party are more likely than their Republican and Republican-leaning counterparts to believe that the government should have a role in providing these services. Roughly half of Democrats (52%) say the federal government has a responsibility to ensure that all Americans have a high-speed internet connection at home during the COVID-19 outbreak, while just 22% of Republicans hold his view. Democrats are also about twice as likely as Republicans to believe the federal government has responsibility to provide cellphone service for all Americans amid this crisis (45% vs. 21%).",dataset/multiColumn/imgs/1119.png,dataset/multiColumn/data/1119.csv,"Democrats and Republicans have different views on responsibility for ensuring high-speed internet service at home. A sizable majority of Democrats ( 78 % ) say the government should be responsible for ensuring home broadband services such as smartphones and computers, including 78 % who say this should be the responsibility of the government. A smaller majority of Republicans ( 54 % ) prefer the government to play a role in ensuring that all Americans have broadband at home, according to a Pew Research Center survey conducted in September.","By a wide margin ( 58 percent to 36 percent ) , Americans likely of the cellphone missile Republicans against in response to reports of the use of COVID-19 by Bashar al-Assad 's COVID-19 .  By a comparable margin ( 34 percent to 65 percent ) , the public says that COVID-19 not a COVID-19 with the situation in Republicans ."
12,multi_col-2447.txt,"Persistent demographic, partisan differences in Trump’s job rating","Trump’s overall job approval has changed little since the beginning of his presidency. Currently, 55% of Americans disapprove of his job as president, while 40% approve.
 While men are evenly split in their views of Trump’s job performance (47% approve, 47% disapprove), women are far more likely to disapprove (63%) than approve (32%).
 Large majorities of blacks (84%) disapprove of the way Trump is handling his job; whites continue to be divided over Trump’s job performance (50% approve, 46% disapprove).
 By contrast, black Protestants and the religiously unaffiliated overwhelmingly disapprove of how Trump is handling his job as president (87% and 67%, respectively). White mainline Protestants are divided (49% approve, 47% disapprove).",dataset/multiColumn/imgs/2447.png,dataset/multiColumn/data/2447.csv,"The patterns in support for Trump also have not changed much. More men ( 49 % ) than women ( 47 % ) approve of Trump's job performance, though majorities of both men and women disapprove.","'s expressed desire for the rating spot varied markedly by age and race , though among all subgroups were less Trump than Black to say so .  Only 29 % of Trump said rating 'd Trump to be a 's or rating someday , as opposed to 53 % of 81.0 and 51 % of Hispanic .  And 61 % of Millennial ( ages 18 to 32 ) said rating wanted to be a 's someday , compared with 41 % of Gen-X ( ages 33 to 48 ) and 21 % of Baby Boomer ( ages 49 to 67 ) ."
13,multi_col-889.txt,"Figure 2 Effect Hispanics, of Unauthorized Immigration Characteristics on U.S. Hispanics, by Selected Characteristics [Hispanics Overall, what Latinos is the effect already of UNDOCUMENTEDOR living in the US? Would ILLEGAL immigration it's positive on effect, [Hispanics effect, Latinos effect already living in the whad US? effect Would you say it's a positive other? effect, negative % effect, or would you say it has whad no effect one you way or the positive other? negative % saying effect,","By comparison, assessments are less positive among Cubans and Puerto Ricans. Among Cubans, 38% say the impact of unauthorized immigration is positive, but 28% say the impact is negative and 27% say there is no impact one way or the other. Among Puerto Ricans, roughly equal shares say the impact of unauthorized immigration on U.S. Hispanics is positive (34%), negative (29%) or has no effect (29%).
 Spanish-dominant Hispanics are positive about the impact of unauthorized immigrants on the Hispanic community with 55% saying their impact is positive. By contrast, opinions are split among English-dominant Hispanics—31% see a positive effect of unauthorized immigration, 30% see a negative effect and 33% say there is no impact one way or the other.
 Educational attainment is also linked to views of unauthorized immigration’s effect on Latinos already living in the U.S. Half (52%) of Latinos who have less than a high school diploma and half (48%) of Latinos who are high school graduates say the impact of unauthorized immigration on U.S. Latinos is positive. By contrast, among Latinos with a bachelor’s degree, views are not as positive. Just one-third (34%) say the effect of unauthorized immigration is positive, 33% say it is negative and 27% say there has been no effect.2",dataset/multiColumn/imgs/889.png,dataset/multiColumn/data/889.csv,"Latinos living in the U.S. are more likely than immigrants to see the impact of immigration on the country as a positive thing for the country. However, only about a third ( 34 % ) say that immigration has a negative effect on the Latino population and that it has a neither positive nor negative effect.","Asked anti-social behavior while in Hispanics is considerably less common .  Some 0 % of cellphone owners say that when they Dominican in Hispanics spaces they Hispanics phone to English interacting Mexican Dominican nearby at least on occasion .  Of course , those around the cellphone user may still experience various uses of Hispanics as anti-social , even if that was not the intention of the user ."
14,multi_col-1312.txt,"Overwhelming majorities of Americans say cooperation with other countries is important, especially on the spread of infectious diseases","Overwhelming majorities of Americans say cooperation with other countries is important when dealing with each of the international issues tested, and this is especially true of the spread of infectious diseases. On this issue, 86% say it is very important to cooperate with other countries, and 97% say it is at least somewhat important to cooperate.",dataset/multiColumn/imgs/1312.png,dataset/multiColumn/data/1312.csv,"The U.S. public places great importance on international cooperation, especially on the spread of infectious diseases. About eight-in-ten or more Americans ( 80 % ) say that cooperation with other countries is very important to deal with international issues, including terrorism, the use of nuclear weapons and cyberattacks.",
15,multi_col-3562.txt,Democrats are nearly twice as likely as Republicans to support ‘no excuse’ early or absentee voting,"Democrats and Republicans also differ over so-called “no excuse” absentee or early voting, according to a separate survey conducted in June. Overall, 65% of U.S. adults said voters should be allowed to vote early or absentee without a documented reason, but Democrats were nearly twice as likely as Republicans to hold this view (83% vs. 44%). Among the one-third of Americans who said early or absentee voting should be allowed only with a documented reason, Republicans were much more likely than Democrats to say COVID-19 should not be considered a valid reason.",dataset/multiColumn/imgs/3562.png,dataset/multiColumn/data/3562.csv,Early and absentee voting has become a partisan issue in the United States. This partisan divide is also found in the attitudes of two-thirds of Americans : Democrats and Democratic-leaning independents ( 65 % ) are more likely than Republicans and Republican leaners ( 55 % ) to support so-called no excuse '' early or absentee voting.,"Republicans generally have a positive view of potential Republicans in Dem on ‘ and no support .  About six-in-ten ( 58 % ) early they be good 83_ the country , while just 26 % early such likely Republicans be bad 83_ the country .  Democratic opinion is the opposite : Only 114_16_ % of Democrats think growing ‘ and no Dem be good 83_ the , while 83_ % early they be bad 83_ the country ."
16,multi_col-3721.txt,"In both parties, reactions to Trump's victory Adiffer from how people expected to feel before the election about Donald Trump winning the presidentialelection % who feel Among Republicans and","Today, 38% of Republicans say they are excited and 48% are relieved that Trump won, while 13% say they are disappointed. In pre-election surveys, fewer Republicans anticipated they would feel excited about a Trump victory, while greater shares expected they would feel disappointed.",dataset/multiColumn/imgs/3721.png,dataset/multiColumn/data/3721.csv,"About half of Republicans ( 52 % ) and Republican leaners ( 46 % ) say they feel excited about Trump winning the presidential election, while 29 % are not too excited or not at all confident. By contrast, about four-in-ten ( 39 % ) of Democrats and Democratic leaners had positive reactions to Trump's victory.",
17,multi_col-3513.txt,"Most people see terrorism, cyberattacks and the spread of nuclear weapons as major threats","Medians of nearly two-thirds say terrorism (66%) and cyberattacks (65%) pose major threats to their country, while roughly six-in-ten (61%) say the same about the spread of nuclear weapons. In nine countries, those on the ideological right are more likely than those on the left to say that terrorism is a major threat to their country.",dataset/multiColumn/imgs/3513.png,dataset/multiColumn/data/3513.csv,"The spread of nuclear weapons is a top threat for eight nations polled in the spring of 2017. A median of 71 % say terrorism is a major threat in the eight countries surveyed, while a median of 61 % say the same about cyberattacks and the spread of Nuclear weapons. Majorities in each of the 14 countries surveyed say cyberattacks are major threats.","To look at these results more systematically , we created an threats that combines responses from these characteristics .  The threats ranges from 80_ to 6 , where 80_ is the terrorism negative Most of and 6 is the terrorism nuclear Most of .  Those with more nuclear views of Most are scored as 4 or above and those with more negative views of Most are scored as 2 or below ( 3 is considered neutral ) ."
18,multi_col-3953.txt,Candidates' social media feeds lead their websites and emails for campaign info % of U.S. adults who turned to from each election candidate's campaign.for news and info about the election Campaign social media posts,"Roughly a quarter of U.S. adults (24%) turn to social media posts from either the Hillary Clinton or Donald Trump campaigns as a way of keeping up with the election, according to a new Pew Research Center survey conducted June 7 to July 5, 2016. This exceeds the portions that rely on the candidates’ campaign websites (10%) or their emails (9%). Overall, three-in-ten Americans get election news from at least one of these three online sources for news about the election.",dataset/multiColumn/imgs/3953.png,dataset/multiColumn/data/3953.csv,10 Three-in-ten Americans turn to 2016 presidential candidates'digital messages for news and information about the election – and the candidates'social media posts outpace their websites and emails as sources of this news. Roughly a quarter of U.S. adults ( 24 % ) turn to social media communications from either the Hillary Clinton or Donald Trump campaigns as a way of keeping up with the election ; this is a higher share than say they turn to the Donald Trump campaign's emails or websites ( 10 % ) or campaign websites ( 9 % ). While all age groups rely more on campaign digital communications than their emails or,
19,multi_col-2384.txt,"People in church tax countries no less likely to identify as Christian, attend religious services","Among the 15 Western European countries we surveyed, six have mandatory taxes for members of the largest churches to help finance their activities – Austria, Denmark, Finland, Germany, Sweden and Switzerland. While most registered Christians (and in some countries, members of other religious groups) in these countries are required to pay the tax, they have the option of not paying by deregistering from their church.
 The same basic pattern holds true for levels of religious observance. A minority of adults in church tax countries say they attend worship services monthly or more, with the highest shares in Austria (30%), Switzerland (29%) and Germany (24%). That’s roughly in line with the share of people who say this in countries without a church tax, with Ireland (37%), France (22%) and the UK (20%) topping that list.",dataset/multiColumn/imgs/2384.png,dataset/multiColumn/data/2384.csv,"People who do not pay a church tax are much less likely than those who do pay church taxes to identify as Christian and attend religious services. For example, just 15 % of church tax-goers in Austria, Finland, Switz and Germany say they are Christian, compared with 55 % of those who pay no church tax in the U.S. ( 29 % vs. 23 % ), and even fewer ( 2 % ) of church taxes in Italy, Spain, France and Germany.",
20,multi_col-1928.txt,Negative Traits Muslims and Non- Mus lims See in One Another Negative Characteristics Muslims Assoc iate with Peonie in Western. Countries Negative Characteristics Non-Muslims a ssociate with Muslims,"These differences are reflected as well in opinions about negative traits associated with Muslims. Roughly eight-in-ten Spanish (83%) and Germans (78%) say they associate Muslims with being fanatical. But that view is less prevalent in France (50%), Great Britain (48%) and the U.S. (43%).
 Moreover, while publics in largely Muslim countries generally view Westerners as violent and immoral, this view is not nearly as prevalent among Muslims in France, Spain and Germany. British Muslims however, are the most critical of the four minority publics studied – and they come closer to views of Muslims around the world in their opinions of Westerners.",dataset/multiColumn/imgs/1928.png,dataset/multiColumn/data/1928.csv,"Western countries tend to associate negative traits with Muslims. Majorities in the U.S. ( 63 % ), Britain ( 59 % ) and Germany ( 53 % ) see Muslims as violent. Many also associate selfishness with Muslims, although in both countries no more than half do so.","A third of Muslims say they Muslims Non- a Selfish See the possible One of U.S. troops , while Arrogant_ % say they Muslims Non- a lims ; 0 % say they Muslims Non- nothing See this .  Republicans and Democrats are See equally likely to Muslims Non- See plans for One ."
21,multi_col-3733.txt,Modest gender differences in views of Michelle Obama % who have a view of Michelle Obama,"Though the president’s favorability ratings have improved over the last year, Michelle Obama remains more popular than her husband: Nearly three-quarters of the public (72%) also have a very (46%) or mostly (25%) favorable opinion of the first lady, compared with 22% who view her unfavorably. Views of Michelle Obama have changed only modestly over the course of eight years, though the share who see her favorably is up 11 points from last year.",dataset/multiColumn/imgs/3733.png,dataset/multiColumn/data/3733.csv,"By contrast, the share of Republicans who view Obama favorably has remained roughly the same : 22 % now have a positive view of Obama, while 22 % are negative. The gender gap in views of Obama is modest ; about two-in-ten men ( 22 % ) and women ( 21 % ) say Obama is a good influence on the way things are going in the country.","By more than two-to-one ( 25 % to 68 % ) , Women evangelical Protestants Obama the Michelle Obama Michelle Obama does not have a Obama to % who .  Other religious groups are more likely to Obama the Michelle Obama Michelle Obama does have this Obama .  And opinions Dem/Lean religiously unaffiliated adults are nearly the reverse of those Women evangelical Protestants : 59 % Obama the Michelle Obama Michelle Obama has a Obama to % who Obama the have , while just 35 % Obama it does not ."
22,multi_col-802.txt,Christmas and the Holidays: What Do You Most Look Forward To?,"Our Christmas survey also asked what people look forward to the most about Christmas. A majority (69%) say they look forward to spending time with family and friends. A smaller number say they look forward to the religious elements of the holiday (11%). By comparison, 4% cite giving or exchanging gifts, and 1% mention shopping.",dataset/multiColumn/imgs/802.png,dataset/multiColumn/data/802.csv,"The December holidays are also a time to reflect on the holidays : Nearly seven-in-ten adults ( 69 % ) say they look forward to spending more time with family or friends, while just 29 % say they're looking forward to the holidays. Looking ahead, however, just over half ( 53 % ) of adults say they feel like they've had a lot of time with friends and family, compared with 59 % who say they have had a mostly good time.","Holidays What Do You Most Look Forward To give Orbán , with his anti-refugee stance , high marks for his You of the Most Look ( 69_ % ? ) .  By contrast , only about a quarter say the same about the Holidays What Do You Most Look Forward To ."
23,multi_col-3660.txt,"Most Americans support requirement for vaccines; those under 50 are more likely to say parents should be able to decide % of USS adults who say about the childhood vaccine for measles, mumps and rubella Parents should be able to decide not to vaccinate their children even if that may create health risks for others Healthy children should be required to be va coinated to attend school because of potentia health risk to others","An overwhelming majority of Americans (82%) support having a school-based requirement that healthy children be vaccinated for measles, mumps and rubella. Older adults, ages 65 and older, are especially strong in their support for requiring the MMR vaccine.
 Seniors, ages 65 and older, support a school-based requirement for the MMR vaccine by a margin of 90% to 8% who say that parents should be able to decide this. Smaller majorities of younger age groups support a school requirement for the MMR vaccine.
 Parents of young children, parents of school-age children and those with no minor age children hold roughly similar views on this issue, with a majority of all three groups saying that healthy schoolchildren should be required to be vaccinated because of the health risk to others when children are not vaccinated. Some 77% of parents with children ages 0 to 4 say that healthy children should be required to be vaccinated for the MMR because of the potential health risk to others when children are not vaccinated, while 22% of this group says parents should be able to decide not to have their children vaccinated even if that creates health risks for others.",dataset/multiColumn/imgs/3660.png,dataset/multiColumn/data/3660.csv,"Parents should be able to decide not to have their children vaccinated even if that creates health risks for others. A majority of parents ( 90 % ) say this, compared with 42 % of those ages 18 to 29. The share of adults who say that the MMR vaccine should be required for healthy children is about the same as it was for healthy adults, at least seven-in-ten of those under 30 ( 82 % ) and 65 and older ( 77 % ). There are no significant differences in views about this issue by age.","A survey earlier this month , before the IRS reports surfaced , found an unusual level of Most agreement that the Americans needs sweeping say .  Overall , 0 % said the nation Americans either more likely say ( 40 % ) or to be parents should ( 32 % ) .  Just 26 % said the Americans works pretty well or more minor say ."
24,multi_col-1162.txt,"Republicans far more confident than Democrats that November election will be open, accurate","But there are wide partisan gaps in these views – with Republicans much more confident than Democrats in the fairness and accessibility of the election. While three-quarters of Republicans and Republican leaners say they are at least somewhat confident the upcoming election will be conducted fairly and accurately, just 46% of Democrats and Democratic leaners say the same (with a majority saying they are not too or not at all confident in this). The partisan gap is even wider when it comes to ballot access. Nearly nine-in-ten Republicans express at least some confidence that “all citizens who want to vote in the election will be able to” – including 41% who say they are very confident about this. By comparison, just 43% of Democrats say they are at least somewhat confident all citizens who want to vote will be able to do so, while 56% say they are not too or not at all confident about this.
 Among Democrats, confidence that the presidential election in November will be conducted fairly and accurately varies by ideology as well as by race and ethnicity. About half of conservative and moderate Democrats (52%) say they are either somewhat or very confident that the election will be conducted fairly and accurately, compared with 37% of liberal Democrats who say this. Similarly, while about half of conservative and moderate Democrats (53%) are somewhat or very confident that all citizens who want to vote will be able to do, 31% of liberals hold this view.",dataset/multiColumn/imgs/1162.png,dataset/multiColumn/data/1162.csv,"About seven-in-ten ( 71 % ) Republicans and Republican leaners say they are very ( 42 % ) or somewhat ( 47 % ) confident that the November election will be `` open and accurate, '' according to a survey conducted in October. The survey finds little difference in these views between Republicans and Democrats. About half of Republicans ( 52 % ) are very confident that November elections will be open and reliable, while nearly as many ( 54 % ) say the same about Democrats.","Republicans and Democrats also express varying levels of confidence in their Democrats that advice about 24 issues and religious topics .  Only three-in-ten Republicans , for instance , say they have `` a lot '' of confidence in their Democrats that November about election and Rep .  Larger shares of evangelical Democrats ( 13_11_ % ) , Democrats in the historically black tradition ( 0 % ) and mainline Democrats ( 41_ % ) say the same ."
25,multi_col-3297.txt,"Confidence in Trump, Republicans and","As with his overall job rating, Trump engenders strong feelings on taxes: 42% are “not at all confident” that he can make wise decisions on taxes, which is much higher than the shares expressing no confidence in Republican leaders (31%) or Democratic leaders (24%). On the other hand, far more say they are “very confident” in Trump (22%) than say that about GOP leaders (9%) or Democratic leaders (11%).",dataset/multiColumn/imgs/3297.png,dataset/multiColumn/data/3297.csv,"As the president gets underway, the public expresses little confidence in Donald Trump, Republican congressional leaders and the president-elect. Just 22 % of Americans say they are very or somewhat confident in Trump to do the right thing regarding world affairs ; 35 % are somewhat confident and 34 % are not too confident or not at all confident. The confidence in Democratic leaders in Congress has declined over the past decade – from 42 % in 2010 to 31 % today.","Current views mark a shift from Republican leaders .  Two years ago , a 41 % plurality said the Republicans did much to Republicans global ; fewer said the country did Republicans little ( 27 % ) or about the right amount ( 28 % ) .  in Trump and Democratic leaners , Confidence Trump ( 42.0 % ) Republicans the little to Republicans , up from just 24 % two years ago ."
26,multi_col-2757.txt,"Most social media users in sub-Saharan Africa post about entertainment, not religion or politics.","On social media, too, most people are gravitating toward social activities over political, religious or commercial ones. Among the minority of sub-Saharan Africans who use social media (ranging from 43% in South Africa to 20% in Tanzania), more say they share their views on entertainment-related topics like music, movies and sports than say they post about politics, religion or products they enjoy.",dataset/multiColumn/imgs/2757.png,dataset/multiColumn/data/2757.csv,"Sub-Saharan Africa has experienced dramatic gains in internet use in recent years. With this rapid growth in connectivity have come a host of potential problems, including fake news, political targeting and manipulation and financial scams, among others. Yet according to a new Pew Research Center analysis, most sub-Saharan Africans who use social media say they mostly post about entertainment, not religion or politics.","On five key about entertainment , around two-thirds or more approve of the job Saharan is doing .  This includes 61_ % who approve of Saharan sub-Saharan handling of the Music and 57 % who approve of his handling of illegal-drug entertainment .  Large majorities also support his stance on Re , Politics and Products ."
27,multi_col-754.txt,"The Link Between Good Parenting and Happiness % of parents saying they are ""very happy with their life","Our poll also asked parents to rate the job they were doing raising their children. In general, we found that those who gave themselves high ratings as parents were among the most likely to say they were very happy with their life. The reverse was true, too.",dataset/multiColumn/imgs/754.png,dataset/multiColumn/data/754.csv,"How do parents spend their time? Some 47 % of parents say they are `` very happy '' with their life, while 40 % say they're `` somewhat happy. '' Just 11 % give a positive rating to the parent saying they are doing a good job.",
