Month,Total,Patients_in_Japan,Airport_quarantine,Returnees_from_China_on_government_charter_flights
Jul_29_'20,765346,648773,115744,829
Jul_28_'20,746229,630687,114713,829
Jul_27_'20,720501,606505,113167,829
Jul_26_'20,715283,602720,111734,829
Jul_25_'20,704400,593190,110381,829
Jul_24_'20,697512,587495,109188,829
Jul_23_'20,688036,579185,108022,829
Jul_22_'20,670619,562828,106962,829
Jul_21_'20,657535,550714,105992,829
Jul_20_'20,639821,534755,104237,829
Jul_19_'20_,634997,531493,102675,829
Jul_18_'20_,626149,524327,100993,829
Jul_17_'20,617049,516470,99750,829
Jul_16_'20,599239,499787,98623,829
Jul_15_'20,586706,488444,97433,829
Jul_14_'20,574432,477290,96313,829
Jul_13_'20,562105,466738,94538,829
Jul_12_'20,558622,464900,91893,829
Jul_11_'20,551658,459538,91291,829
Jul_10_'20,540411,449671,89911,829
Jul_9_'20,527546,438166,88551,829
Jul_8_'20,518210,430047,87334,829
Jul_7_'20,509993,422948,86216,829
Jul_6_'20,499898,414720,84349,829
Jul_5_'20,495164,412102,82233,829
Jul_4_'20,490287,408968,80490,829
Jul_3_'20,481877,402371,78677,829
Jul_2_'20,475308,396911,77568,829
Jul_1_'20,467444,390347,76268,829
Jun_30_'20,461446,385696,74921,829
Jun_29_'20,454609,380186,73594,829
Jun_28_'20,451772,378673,72270,829
Jun_27_'20,446589,375140,70620,829
Jun_26_'20,440739,370382,69528,829
Jun_25_'20,435495,365927,68739,829
Jun_24_'20,429481,360948,67704,829
Jun_23_'20,424767,357226,66712,829
Jun_22_'20,417951,351850,65272,829
Jun_21_'20,412669,347723,64117,829
Jun_20_'20,409022,345249,62944,829
Jun_19_'20,403380,340426,62125,829
Jun_18_'20,396433,334250,61354,829
Jun_17_'20,348051,286739,60483,829
Jun_16_'20,344526,284092,59605,829
Jun_15_'20,340918,281697,58392,829
Jun_14_'20,338758,280720,57209,829
Jun_13_'20,336161,279184,56148,829
Jun_12_'20,332207,276032,55346,829
Jun_11_'20,328730,273204,54697,829
Jun_10_'20,324675,269976,53870,829
Jun_9_'20,321053,267069,53155,829
Jun_8_'20,316848,263962,52057,829
Jun_7_'20,314483,262642,51012,829
Jun_6_'20,311447,260551,50067,829
Jun_5_'20,307462,257330,49303,829
Jun_4_'20,303633,254229,48575,829
Jun_3_'20,300277,251808,47640,829
Jun_2_'20,296383,248662,46892,829
Jun_1_'20,292569,246100,45640,829
May_31_'20,290436,244824,44783,829
May_30_'20,287754,242734,44191,829
May_29_'20,284763,240334,43600,829
May_28_'20,281293,237367,43097,829
May_27_'20,278642,235422,42391,829
May_26_'20,276170,233399,41942,829
May_25_'20,272688,230562,41297,829
May_24_'20,271201,229669,40703,829
May_23_'20,268477,227445,40203,829
May_22_'20,265502,224972,39701,829
May_21_'20,261572,221397,39346,829
May_20_'20,258277,218744,38704,829
May_19_'20,255675,216624,38222,829
May_18_'20,250151,211832,37490,829
May_17_'20,244452,206790,36833,829
May_16_'20,240368,203284,36255,829
May_15_'20,230882,194323,35730,829
May_14_'20,233144,196816,35499,829
May_13_'20,223667,188031,34807,829
May_12_'20,223649,188646,34174,829
May_11_'20,218204,183845,33530,829
May_10_'20,214256,180478,32949,829
May_9_'20,211997,179043,32125,829
May_8_'20_,202013,169546,31638,829
May_7_'20,190030,157563,31638,829
May_6_'20,188927,156866,31232,829
May_5_'20,186343,154646,30868,829
May_4_'20,184586,153581,30176,829
May_3_'20,183251,153047,29375,829
May_2_'20,181527,152029,28669,829
May_1_'20,174150,145243,28078,829
Apr_30_'20,165609,137338,27442,829
Apr_29_'20,164255,136695,26731,829
Apr_28_'20,160546,133578,26139,829
Apr_27_'20,150692,124456,25407,829
Apr_26_'20,149074,123633,24612,829
Apr_25_'20,147454,122700,23925,829
Apr_24_'20,141600,117367,23404,829
Apr_23_'20,135983,112108,23046,829
Apr_22_'20,130587,107430,22328,829
Apr_21_'20,124550,101818,21903,829
Apr_20_'20,116725,94826,21070,829
Apr_19_'20,112816,91695,20292,829
Apr_18_'20,111531,91256,19446,829
Apr_17_'20,106372,86800,18743,829
Apr_16_'20,100703,81825,18049,829
Apr_15_'20,94236,76425,16982,829
Apr_14_'20,89551,72801,15921,829
Apr_13_'20,78702,63132,14741,829
Apr_12_'20,77381,63132,13420,829
Apr_11_'20,74891,61991,12071,829
Apr_10_'20,68771,57125,10817,829
Apr_9_'20,64387,54284,9274,829
Apr_8_'20,61498,52901,7768,829
Apr_7_'20,55311,48357,6152,829
Apr_6_'20,46172,40481,4862,829
Apr_5_'20,44639,40263,3547,829
Apr_4_'20,42882,39992,2061,829
Apr_3_'20,39446,36687,1930,829
Apr_2_'20,34510,32002,1679,829
Apr_1_'20,34508,32002,1677,829
Mar_31_'20,32497,30088,1580,829
Mar_30_'20,28966,26607,1530,829
Mar_29_'20,28760,26401,1530,829
Mar_28_'20,28464,26105,1530,829
Mar_27_'20,27005,24663,1513,829
Mar_23_'20,20340,18322,1189,829
Mar_20_'20,18844,18015,0,829
Mar_19_'20,14901,14072,0,829
Mar_18_'20,15354,14525,0,829
Mar_16_'20,13068,12239,0,829
Mar_13_'20,12060,11231,0,829
Mar_10_'20,9600,8771,0,829
Mar_6_'20,7476,6647,0,829
Mar_2_'20,2613,1784,0,829
Feb_29_'20,2339,1510,0,829
Feb_25_'20,1846,1017,0,829
Feb_21_'20,1522,693,0,829
Feb_17_'20,1251,487,0,764
Feb_12_'20,954,190,0,764
