Month,Confirmed,Deaths,Recovered
Sep_8,495,7,475
Sep_7,494,7,475
Sep_6,493,7,473
Sep_5,492,7,473
Sep_4,490,7,471
Sep_3,489,7,471
Sep_2,489,7,471
Sep_1,488,7,462
Aug_31,488,7,462
Aug_30,488,7,462
Aug_29,488,7,462
Aug_28,487,7,462
Aug_27,487,7,462
Aug_26,487,7,462
Aug_25,487,7,457
Aug_24,487,7,457
Aug_23,487,7,457
Aug_22,487,7,457
Aug_21,487,7,457
Aug_20,486,7,457
Aug_19,486,7,0
Aug_18,486,7,450
Aug_17,485,7,450
Aug_16,484,7,450
Aug_15,482,7,450
Aug_14,481,7,450
Aug_13,481,7,450
Aug_12,481,7,450
Aug_11,477,7,441
Aug_10,477,7,441
Aug_9,477,7,441
Aug_8,477,7,441
Aug_7,477,7,441
Aug_6,477,7,441
Aug_5,477,7,441
Aug_4,476,7,441
Aug_3,475,7,441
Aug_2,474,7,441
Aug_1,474,7,441
Jul_31,467,7,441
Jul_30,467,7,440
Jul_29,467,7,440
Jul_28,467,7,440
Jul_27,462,7,440
Jul_26,458,7,440
Jul_25,458,7,440
Jul_24,458,7,440
Jul_23,455,7,440
Jul_22,455,7,440
Jul_21,455,7,440
Jul_20,455,7,440
Jul_19,455,7,440
Jul_18,454,7,440
Jul_17,454,7,440
Jul_16,452,7,440
Jul_15,451,7,440
Jul_14,451,7,440
Jul_13,451,7,440
Jul_12,451,7,438
Jul_11,451,7,438
Jul_10,451,7,438
Jul_9,449,7,438
Jul_8,449,7,438
Jul_7,449,7,438
Jul_6,449,7,438
Jul_5,449,7,438
Jul_4,449,7,438
Jul_3,449,7,438
Jul_2,448,7,438
Jul_1,447,7,438
Jun_30,447,7,437
Jun_29,447,7,435
Jun_28,447,7,435
Jun_27,447,7,435
Jun_26,447,7,435
Jun_25,447,7,435
Jun_24,446,7,435
Jun_23,446,7,435
Jun_22,446,7,435
Jun_21,446,7,434
Jun_20,446,7,434
Jun_19,446,7,434
Jun_18,446,7,434
Jun_17,445,7,434
Jun_16,445,7,433
Jun_15,443,7,433
Jun_14,443,7,431
Jun_13,443,7,431
Jun_12,443,7,431
Jun_11,443,7,431
Jun_10,443,7,431
Jun_9,443,7,431
Jun_8,443,7,430
Jun_7,443,7,430
Jun_6,443,7,429
Jun_5,443,7,429
Jun_4,443,7,428
Jun_3,443,7,428
Jun_2,443,7,427
Jun_1,443,7,427
May_31,442,7,423
May_30,442,7,421
May_29,441,7,420
May_28,441,7,420
May_27,441,7,419
May_26,441,7,416
May_25,441,7,415
May_24,441,7,414
May_23,441,7,411
May_22,441,7,408
May_21,441,7,407
May_20,440,7,402
May_19,440,7,401
May_18,440,7,398
May_17,440,7,395
May_16,440,7,389
May_15,440,7,387
May_14,440,7,383
May_13,440,7,375
May_12,440,7,372
May_11,440,7,368
May_10,440,6,366
May_9,440,6,361
May_8,440,6,355
May_7,440,6,347
May_6,439,6,339
May_5,438,6,334
May_4,438,6,334
May_3,436,6,332
May_2,432,6,324
May_1,429,6,324
Apr_30,429,6,322
Apr_29,429,6,311
Apr_28,429,6,307
Apr_27,429,6,290
Apr_26,429,6,281
Apr_25,429,6,275
Apr_24,428,6,264
Apr_23,427,6,253
Apr_22,426,6,236
Apr_21,425,6,217
Apr_20,422,6,203
Apr_19,420,6,189
Apr_18,398,6,178
Apr_17,395,6,166
Apr_16,395,6,155
Apr_15,395,6,124
Apr_14,393,6,124
Apr_13,393,6,114
Apr_12,388,6,109
Apr_11,385,6,99
Apr_10,382,6,91
Apr_9,380,5,80
Apr_8,379,5,67
Apr_7,376,5,61
Apr_6,373,5,57
Apr_5,363,5,54
Apr_4,355,5,50
Apr_3,348,5,50
Apr_2,339,5,45
Apr_1,329,5,39
Mar_31,322,5,39
Mar_30,306,5,39
Mar_29,298,3,39
Mar_28,283,2,30
Mar_27,267,2,30
Mar_26,252,2,29
Mar_25,235,2,29
Mar_24,216,2,29
Mar_23,195,2,29
Mar_22,169,2,28
Mar_21,153,2,28
Mar_20,135,2,28
Mar_19,108,1,26
Mar_18,100,1,22
Mar_17,77,1,22
Mar_16,67,1,22
Mar_15,59,1,20
Mar_14,53,1,20
Mar_13,50,1,20
Mar_12,49,1,20
Mar_11,48,1,17
Mar_10,47,1,17
Mar_9,45,1,15
Mar_8,45,1,15
Mar_7,45,1,13
Mar_6,45,1,12
Mar_5,44,1,12
Mar_4,42,1,12
Mar_3,42,1,12
Mar_2,41,1,12
Mar_1,40,1,12
Feb_29,39,1,9
Feb_28,34,1,9
Feb_27,32,1,6
Feb_26,32,1,5
Feb_25,31,1,5
Feb_24,30,1,5
Feb_23,28,1,5
Feb_22,26,1,2
Feb_21,24,1,2
Feb_20,24,1,2
Feb_19,24,1,2
Feb_18,22,1,2
Feb_17,22,1,2
Feb_16,20,1,2
Feb_15,18,0,2
Feb_14,18,0,1
Feb_13,18,0,1
Feb_12,18,0,1
Feb_11,18,0,1
Feb_10,18,0,1
Feb_9,18,0,1
Feb_8,17,0,1
Feb_7,16,0,1
Feb_6,16,0,1
Feb_5,11,0,0
Feb_4,11,0,0
Feb_3,10,0,0
Feb_2,10,0,0
Feb_1,10,0,0
Jan_31,10,0,0
Jan_30,9,0,0
Jan_29,8,0,0
Jan_28,8,0,0
Jan_27,5,0,0
Jan_26,4,0,0
Jan_25,3,0,0
Jan_24,3,0,0
Jan_23,1,0,0
Jan_22,1,0,0
