Month,Number_of_new_cases
Sep_11_2020,718
Sep_10_2020,476
Sep_9_2020,411
Sep_8_2020,341
Sep_7_2020,576
Sep_6_2020,495
Sep_5_2020,510
Sep_4_2020,459
Sep_3_2020,301
Sep_2_2020,365
Sep_1_2020,118
Aug_31_2020,178
Aug_30_2020,292
Aug_29_2020,158
Aug_28_2020,132
Aug_27_2020,91
Aug_26_2020,73
Aug_25_2020,24
Aug_24_2020,36
Aug_23_2020,22
Aug_22_2020,35
Aug_21_2020,52
Aug_20_2020,44
Aug_19_2020,32
Aug_18_2020,24
Aug_17_2020,30
Aug_16_2020,39
Aug_15_2020,24
Aug_14_2020,40
Aug_13_2020,45
Aug_12_2020,22
Aug_11_2020,15
Aug_10_2020,26
Aug_9_2020,43
Aug_8_2020,32
Aug_7_2020,24
Aug_6_2020,33
Aug_5_2020,11
Aug_4_2020,9
Aug_3_2020,9
Aug_2_2020,9
Aug_1_2020,21
Jul_31_2020,21
Jul_30_2020,19
Jul_29_2020,9
Jul_28_2020,8
Jul_27_2020,13
Jul_26_2020,11
Jul_25_2020,26
Jul_24_2020,18
Jul_23_2020,14
Jul_22_2020,19
Jul_21_2020,8
Jul_20_2020,6
Jul_19_2020,18
Jul_18_2020,22
Jul_17_2020,14
Jul_16_2020,16
Jul_15_2020,5
Jul_14_2020,11
Jul_13_2020,13
Jul_12_2020,5
Jul_11_2020,6
Jul_10_2020,3
Jul_9_2020,10
Jul_8_2020,5
Jul_7_2020,16
Jul_6_2020,6
Jul_5_2020,9
Jul_4_2020,2
Jul_3_2020,6
Jul_2_2020,9
Jul_1_2020,2
Jun_30_2020,10
Jun_29_2020,3
Jun_28_2020,4
Jun_27_2020,11
Jun_26_2020,4
Jun_25_2020,9
Jun_24_2020,7
Jun_23_2020,5
Jun_22_2020,8
Jun_21_2020,8
Jun_20_2020,5
Jun_19_2020,2
Jun_18_2020,1
Jun_17_2020,1
Jun_16_2020,1
Jun_15_2020,7
Jun_14_2020,5
Jun_13_2020,11
Jun_12_2020,14
Jun_11_2020,12
Jun_10_2020,10
Jun_9_2020,3
Jun_8_2020,6
Jun_7_2020,18
Jun_6_2020,20
Jun_5_2020,16
Jun_4_2020,23
Jun_3_2020,10
Jun_2_2020,29
Jun1_2020,16
May_31_2020,9
May_30_2020,26
May_29_2020,25
May_28_2020,23
May_27_2020,22
May_26_2020,15
May_25_2020,15
May_24_2020,28
May_23_2020,35
May_22_2020,37
May_21_2020,43
May_20_2020,42
May_19_2020,12
May_18_2020,28
May_17_2020,36
May_16_2020,56
May_15_2020,37
May_14_2020,39
May_13_2020,28
May_12_2020,29
May_11_2020,21
May_10_2020,50
May_9_2020,35
May_8_2020,28
May_7_2020,39
May_6_2020,46
May_5_2020,30
May_4_2020,37
May_3_2020,56
May_2_2020,79
May_1_2020,88
Apr_30_2020,48
Apr_29_2020,78
Apr_28_2020,66
Apr_27_2020,83
Apr_26_2020,57
Apr_25_2020,60
Apr_24_2020,99
Apr_23_2020,116
Apr_22_2020,70
Apr_21_2020,114
Apr_20_2020,68
Apr_19_2020,82
Apr_18_2020,71
Apr_17_2020,111
Apr_16_2020,73
Apr_15_2020,67
Apr_14_2020,54
Apr_13_2020,48
Apr_12_2020,100
Apr_11_2020,120
Apr_10_2020,210
Apr_9_2020,85
Apr_8_2020,78
Apr_7_2020,73
Apr_6_2020,11
Apr_5_2020,55
Apr_4_2020,55
Apr_3_2020,38
Apr_2_2020,60
Apr_1_2020,33
Mar_31_2020,45
Mar_30_2020,39
Mar_29_2020,65
Mar_28_2020,43
Mar_27_2020,39
Mar_26_2020,35
Mar_25_2020,39
Mar_24_2020,20
Mar_23_2020,36
Mar_22_2020,28
Mar_21_2020,18
Mar_20_2020,12
Mar_19_2020,15
Mar_18_2020,8
Mar_17_2020,11
Mar_16_2020,7
Mar_15_2020,2
Mar_14_2020,11
Mar_13_2020,3
Mar_12_2020,3
Mar_11_2020,1
Mar_10_2020,3
Mar_9_2020,2
Mar_8_2020,2
Mar_7_2020,1
Mar_5_2020,2
Mar_4_2020,2
