Month,Number_of_cases
Feb_29_2020,102
Feb_28_2020,98
Feb_27_2020,96
Feb_26_2020,93
Feb_25_2020,91
Feb_24_2020,90
Feb_23_2020,89
Feb_22_2020,89
Feb_21_2020,86
Feb_20_2020,85
Feb_19_2020,84
Feb_18_2020,81
Feb_17_2020,77
Feb_16_2020,75
Feb_15_2020,72
Feb_14_2020,67
Feb_13_2020,58
Feb_12_2020,50
Feb_11_2020,47
Feb_10_2020,45
Feb_9_2020,43
Feb_8_2020,40
Feb_7_2020,33
Feb_6_2020,30
Feb_5_2020,28
Feb_4_2020,24
Feb_3_2020,18
Feb_2_2020,18
Feb_1_2020,18
Jan_31_2020,16
Jan_30_2020,13
Jan_29_2020,10
Jan_28_2020,7
Jan_27_2020,5
Jan_26_2020,4
Jan_25_2020,4
Jan_24_2020,3
Jan_23_2020,1
