Month,Inflation_rate
Feb_90,5.9
Jan_90,5.7
Dec_89,5.5
Nov_89,5.5
Oct_89,5.5
Sep_89,5.2
Aug_89,5
Jul_89,5.2
Jun_89,5.2
May_89,5.3
Apr_89,5.3
Mar_89,5
Feb_89,5
Jan_89,4.9
