Month,Number_of_new_cases
Apr_27_2020,133
Apr_26_2020,71
Apr_25_2020,76
Apr_24_2020,97
Apr_23_2020,108
Apr_22_2020,122
Apr_21_2020,111
Apr_20_2020,145
Apr_19_2020,63
Apr_18_2020,55
Apr_17_2020,124
Apr_16_2020,120
Apr_15_2020,126
Apr_14_2020,170
Apr_13_2020,115
Apr_12_2020,79
Apr_11_2020,75
Apr_10_2020,64
Apr_9_2020,146
Apr_8_2020,127
Apr_7_2020,197
Apr_6_2020,207
Apr_5_2020,106
Apr_4_2020,74
Apr_3_2020,198
Apr_2_2020,154
Apr_1_2020,145
Mar_31_2020,117
Mar_30_2020,116
Mar_29_2020,58
Mar_28_2020,74
Mar_27_2020,89
Mar_26_2020,104
Mar_25_2020,99
Mar_24_2020,98
Mar_23_2020,82
Mar_22_2020,77
Mar_21_2020,82
Mar_20_2020,81
Mar_19_2020,92
Mar_18_2020,86
Mar_17_2020,41
Mar_16_2020,45
Mar_15_2020,46
Mar_14_2020,26
Mar_13_2020,28
Mar_12_2020,57
Mar_11_2020,73
Mar_10_2020,54
Mar_9_2020,16
Mar_8_2020,9
Mar_7_2020,7
Mar_6_2020,6
Mar_5_2020,1
Mar_4_2020,5
Mar_3_2020,4
Mar_2_2020,0
Mar_1_2020,1
Feb_29_2020,1
Feb_28_2020,2
Feb_27_2020,1
Feb_26_2020,0
Feb_25_2020,1
Feb_24_2020,0
Feb_23_2020,0
Feb_22_2020,0
Feb_21_2020,0
Feb_20_2020,0
Feb_19_2020,0
Feb_18_2020,0
Feb_17_2020,0
Feb_16_2020,0
Feb_15_2020,0
Feb_14_2020,0
Feb_13_2020,0
Feb_12_2020,0
Feb_11_2020,0
Feb_10_2020,0
Feb_9_2020,0
Feb_8_2020,0
Feb_7_2020,0
Feb_6_2020,0
Feb_5_2020,0
Feb_4_2020,0
Feb_3_2020,0
Feb_2_2020,0
Feb_1_2020,0
Jan_31_2020,0
Jan_30_2020,0
Jan_29_2020,1
