Month,Stock_price_in_euros
Nov_21_2019,52.71
Nov_20_2019,53.23
Nov_19_2019,53.54
Nov_18_2019,53.67
Nov_15_2019,53.48
Nov_14_2019,53.7
Nov_13_2019,54.15
Nov_12_2019,53.93
Nov_11_2019,54.04
Nov_8_2019,54.36
Nov_7_2019,53.91
Nov_6_2019,54.2
Nov_5_2019,52.99
Nov_4_2019,52.5
Nov_1_2019,52.7
Oct_31_2019,52.95
Oct_30_2019,52.95
Oct_29_2019,52.49
Oct_28_2019,52.19
Oct_25_2019,53.24
Oct_24_2019,53.0
Oct_23_2019,53.14
Oct_22_2019,53.71
Oct_21_2019,53.51
Oct_18_2019,54.07
Oct_17_2019,54.45
Oct_16_2019,54.01
Oct_15_2019,53.07
Oct_14_2019,53.4
Oct_11_2019,53.61
Oct_10_2019,54.11
Oct_9_2019,54.25
Oct_8_2019,54.14
Oct_7_2019,54.75
Oct_4_2019,54.23
Oct_3_2019,54.1
Oct_2_2019,54.1
Oct_1_2019,55.19
Sep_30_2019,55.15
Sep_27_2019,55.04
Sep_26_2019,55.02
Sep_25_2019,54.39
Sep_24_2019,54.69
Sep_23_2019,54.35
Sep_20_2019,53.8
Sep_19_2019,54.47
Sep_18_2019,54.64
Sep_17_2019,54.71
Sep_16_2019,53.96
Sep_13_2019,54.43
Sep_12_2019,55.0
Sep_11_2019,54.69
Sep_10_2019,54.48
Sep_9_2019,55.48
Sep_6_2019,56.78
Sep_5_2019,56.89
Sep_4_2019,57.56
Sep_3_2019,57.39
Sep_2_2019,56.93
Aug_30_2019,56.44
Aug_29_2019,55.63
Aug_28_2019,55.36
Aug_27_2019,55.14
Aug_26_2019,54.34
Aug_23_2019,54.14
Aug_22_2019,54.39
Aug_21_2019,54.94
Aug_20_2019,54.4
Aug_19_2019,54.35
Aug_16_2019,53.34
Aug_15_2019,52.57
Aug_14_2019,52.18
Aug_13_2019,51.27
Aug_12_2019,51.3
Aug_9_2019,50.8
Aug_8_2019,50.83
Aug_7_2019,50.75
Aug_6_2019,50.47
Aug_5_2019,50.92
Aug_2_2019,51.91
Aug_1_2019,52.78
