Month,Number_of_downloads
Jun_29_2020,1866
Jun_28_2020,1795
Jun_27_2020,1764
Jun_26_2020,1561
Jun_25_2020,1671
Jun_24_2020,1717
Jun_23_2020,2140
Jun_22_2020,2357
Jun_21_2020,2313
Jun_20_2020,2450
Jun_19_2020,2195
Jun_18_2020,2555
Jun_17_2020,2609
Jun_16_2020,2798
Jun_15_2020,2703
Jun_14_2020,2561
Jun_13_2020,2441
Jun_12_2020,2409
Jun_11_2020,2173
Jun_10_2020,2212
Jun_9_2020,2395
Jun_8_2020,2409
Jun_7_2020,2948
Jun_6_2020,2902
Jun_5_2020,2662
Jun_4_2020,2817
Jun_3_2020,2667
Jun_2_2020,2745
Jun_1_2020,2883
May_31_2020,2845
May_30_2020,2658
May_29_2020,2318
May_28_2020,2366
May_27_2020,2720
May_26_2020,2906
May_25_2020,3421
May_24_2020,3461
May_23_2020,3046
May_22_2020,3024
May_21_2020,3017
May_20_2020,3206
May_19_2020,3365
May_18_2020,3438
May_17_2020,3438
May_16_2020,2752
May_15_2020,2688
May_14_2020,2667
May_13_2020,2832
May_12_2020,3137
May_11_2020,3297
May_10_2020,3400
May_9_2020,3262
May_8_2020,3266
May_7_2020,4112
May_6_2020,4933
May_5_2020,5220
May_4_2020,5255
May_3_2020,4770
May_2_2020,4285
May_1_2020,3883
Apr_30_2020,3881
Apr_29_2020,4065
Apr_28_2020,3630
Apr_27_2020,3373
Apr_26_2020,3375
Apr_25_2020,2963
Apr_24_2020,2738
Apr_23_2020,2866
Apr_22_2020,2990
Apr_21_2020,3181
Apr_20_2020,3373
Apr_19_2020,3386
Apr_18_2020,2879
Apr_17_2020,2817
Apr_16_2020,3029
Apr_15_2020,3378
Apr_14_2020,4181
Apr_13_2020,3647
Apr_12_2020,3201
Apr_11_2020,2781
Apr_10_2020,2335
Apr_9_2020,2438
Apr_8_2020,2492
Apr_7_2020,2879
Apr_6_2020,3314
Apr_5_2020,3573
Apr_4_2020,3659
Apr_3_2020,3691
Apr_2_2020,4229
Apr_1_2020,4622
Mar_31_2020,5194
Mar_30_2020,5603
Mar_29_2020,5932
Mar_28_2020,5066
Mar_27_2020,5324
Mar_26_2020,6157
Mar_25_2020,8216
Mar_24_2020,10203
Mar_23_2020,10090
Mar_22_2020,10040
Mar_21_2020,7874
Mar_20_2020,6045
Mar_19_2020,5508
Mar_18_2020,5323
Mar_17_2020,5690
Mar_16_2020,5188
Mar_15_2020,4152
Mar_14_2020,2984
Mar_13_2020,2378
Mar_12_2020,2831
Mar_11_2020,3263
Mar_10_2020,3407
Mar_9_2020,3640
Mar_8_2020,3595
Mar_7_2020,3328
Mar_6_2020,3171
Mar_5_2020,3602
Mar_4_2020,4086
Mar_3_2020,4604
Mar_2_2020,5164
Mar_1_2020,4824
Feb_29_2020,4973
Feb_28_2020,5029
Feb_27_2020,5155
Feb_26_2020,5475
Feb_25_2020,5433
Feb_24_2020,5122
Feb_23_2020,4192
Feb_22_2020,3289
Feb_21_2020,3071
Feb_20_2020,2938
Feb_19_2020,3145
Feb_18_2020,3692
Feb_17_2020,3779
Feb_16_2020,3593
Feb_15_2020,3353
Feb_14_2020,3181
Feb_13_2020,3453
Feb_12_2020,3753
Feb_11_2020,4064
Feb_10_2020,4621
Feb_9_2020,4135
Feb_8_2020,3794
Feb_7_2020,3534
Feb_6_2020,3685
Feb_5_2020,3651
Feb_4_2020,3477
Feb_3_2020,3760
Feb_2_2020,3775
Feb_1_2020,3312
Jan_31_2020,3067
Jan_30_2020,3205
Jan_29_2020,4014
Jan_28_2020,5397
Jan_27_2020,6156
Jan_26_2020,6056
Jan_25_2020,4745
Jan_24_2020,3728
Jan_23_2020,4659
Jan_22_2020,5258
Jan_21_2020,5519
Jan_20_2020,5833
Jan_19_2020,4983
Jan_18_2020,3818
Jan_17_2020,3461
Jan_16_2020,3517
Jan_15_2020,4000
Jan_14_2020,4596
Jan_13_2020,5324
Jan_12_2020,4725
Jan_11_2020,4392
Jan_10_2020,4276
Jan_9_2020,4676
Jan_8_2020,4975
Jan_7_2020,6174
Jan_6_2020,6882
Jan_5_2020,6865
Jan_4_2020,7047
Jan_3_2020,7246
Jan_2_2020,7523
Jan_1_2020,7370
Dec_31_2019,7233
Dec_30_2019,10576
Dec_29_2019,10952
Dec_28_2019,11607
Dec_27_2019,12674
Dec_26_2019,11283
Dec_25_2019,9767
Dec_24_2019,8912
Dec_23_2019,9537
Dec_22_2019,8700
Dec_21_2019,7352
Dec_20_2019,6308
Dec_19_2019,5661
Dec_18_2019,5535
Dec_17_2019,6011
Dec_16_2019,6097
Dec_15_2019,5831
Dec_14_2019,5419
Dec_13_2019,4887
Dec_12_2019,5069
Dec_11_2019,5844
Dec_10_2019,6872
Dec_9_2019,7134
Dec_8_2019,6671
Dec_7_2019,6192
Dec_6_2019,4819
Dec_5_2019,4638
Dec_4_2019,5461
Dec_3_2019,5946
Dec_2_2019,6092
Dec_1_2019,6037
Nov_30_2019,4687
Nov_29_2019,4751
Nov_28_2019,5521
Nov_27_2019,6427
Nov_26_2019,8349
Nov_25_2019,8320
Nov_24_2019,7756
Nov_23_2019,7414
Nov_22_2019,8262
Nov_21_2019,10049
Nov_20_2019,12835
Nov_19_2019,13103
Nov_18_2019,13286
Nov_17_2019,12773
Nov_16_2019,10794
Nov_15_2019,11507
Nov_14_2019,11838
Nov_13_2019,14043
Nov_12_2019,9155
Nov_11_2019,7327
Nov_10_2019,6758
Nov_9_2019,4763
Nov_8_2019,4387
Nov_7_2019,4529
Nov_6_2019,4670
Nov_5_2019,4751
Nov_4_2019,4874
Nov_3_2019,4670
Nov_2_2019,3896
Nov_1_2019,2869
Oct_31_2019,2857
Oct_30_2019,3369
Oct_29_2019,3606
Oct_28_2019,4078
Oct_27_2019,4455
Oct_26_2019,4477
Oct_25_2019,4789
Oct_24_2019,5065
Oct_23_2019,5237
Oct_22_2019,6299
Oct_21_2019,6576
Oct_20_2019,6587
Oct_19_2019,5627
Oct_18_2019,4996
Oct_17_2019,5475
Oct_16_2019,6258
Oct_15_2019,6826
Oct_14_2019,7322
Oct_13_2019,6984
Oct_12_2019,6506
Oct_11_2019,6595
Oct_10_2019,7236
Oct_9_2019,8396
Oct_8_2019,8522
Oct_7_2019,9850
Oct_6_2019,10617
Oct_5_2019,9203
Oct_4_2019,8818
Oct_3_2019,9304
Oct_2_2019,10515
Oct_1_2019,10572
Sep_30_2019,12406
Sep_29_2019,12819
Sep_28_2019,13353
Sep_27_2019,13341
Sep_26_2019,13582
Sep_25_2019,16264
Sep_24_2019,21453
Sep_23_2019,22519
Sep_22_2019,22539
Sep_21_2019,22555
Sep_20_2019,22534
Sep_19_2019,22500
Sep_18_2019,22510
Sep_17_2019,22510
Sep_16_2019,22519
Sep_15_2019,22539
Sep_14_2019,22555
Sep_13_2019,22534
Sep_12_2019,10239
Sep_11_2019,10239
Sep_10_2019,10235
