Response,Total,Patients_with_symptoms,Patients_with_no_symptoms
April_9,4768,3109,396
April_8,4257,2806,360
April_7,3906,2586,348
April_6,3654,2429,340
April_5,3271,2239,324
April_4,2935,2051,311
April_3,2617,1838,287
April_2,2381,1723,272
April_1,2178,1623,244
March_31,1953,1494,233
March_30,1866,1446,210
March_29,1693,1378,182
March_28,1499,1277,154
March_27,1387,1212,148
March_26,1292,1140,144
March_25,1193,1055,130
March_24,1128,996,127
March_23,1089,960,126
March_22,1046,922,121
March_21,996,882,108
March_20,943,840,101
March_19,907,805,100
March_18,868,769,96
March_17,824,728,92
March_16,809,713,78
March_13,674,602,72
March_10,513,457,56
March_6,348,313,35
March_2,254,232,22
February_29,230,208,22
February_25,156,139,16
February_21,93,79,14
February_17,59,47,12
February_12,28,25,3
February_10,26,23,3
