Month,Unemployment_rate
Dec_98,6.1
Nov_98,6.2
Oct_98,6.2
Sep_98,6.2
Aug_98,6.3
Jul_98,6.3
Jun_98,6.3
May_98,6.3
Apr_98,6.3
Mar_98,6.4
Feb_98,6.4
Jan_98,6.4
Dec_97,6.5
Nov_97,6.6
Oct_97,6.7
Sep_97,6.8
Aug_97,7.1
Jul_97,7.3
Jun_97,7.2
May_97,7.2
Apr_97,7.2
Mar_97,7.3
Feb_97,7.5
Jan_97,7.7
Dec_96,7.8
Nov_96,8
Oct_96,8.1
Sep_96,8.1
Aug_96,8.1
Jul_96,8.2
Jun_96,8.3
May_96,8.3
Apr_96,8.3
Mar_96,8.2
Feb_96,8.3
Jan_96,8.4
Dec_95,8.3
Nov_95,8.6
Oct_95,8.6
Sep_95,8.6
Aug_95,8.6
Jul_95,8.7
Jun_95,8.7
May_95,8.8
Apr_95,8.8
Mar_95,8.9
Feb_95,8.9
Jan_95,8.9
Dec_94,9
Nov_94,9.1
Oct_94,9.3
Sep_94,9.4
Aug_94,9.5
Jul_94,9.6
Jun_94,9.7
May_94,9.7
Apr_94,9.8
Mar_94,9.9
Feb_94,10.1
Jan_94,10.3
Dec_93,10.3
Nov_93,10.2
Oct_93,10.3
Sep_93,10.2
Aug_93,10.3
Jul_93,10.4
Jun_93,10.4
May_93,10.5
Apr_93,10.6
Mar_93,10.6
Feb_93,10.7
Jan_93,10.5
Dec_92,10.4
Nov_92,10.2
Oct_92,10.1
Sep_92,9.9
Aug_92,9.9
Jul_92,9.9
Jun_92,9.8
May_92,9.8
Apr_92,9.8
Mar_92,9.7
Feb_92,9.6
Jan_92,9.5
Dec_91,9.5
Nov_91,9.4
Oct_91,9.3
Sep_91,9.2
Aug_91,9
Jul_91,8.8
Jun_91,8.7
May_91,8.5
Apr_91,8.2
Mar_91,8
Feb_91,7.8
Jan_91,7.6
Dec_90,7.5
Nov_90,7.3
Oct_90,7.2
Sep_90,7.1
Aug_90,7
Jul_90,6.9
Jun_90,6.9
May_90,6.9
Apr_90,6.9
Mar_90,6.9
Feb_90,6.9
Jan_90,7
Dec_89,7
Nov_89,7
Oct_89,7.1
Sep_89,7.1
Aug_89,7.1
Jul_89,7.2
Jun_89,7.2
May_89,7.3
Apr_89,7.4
Mar_89,7.6
Feb_89,7.7
Jan_89,7.9
Dec_88,8
Nov_88,8.2
Oct_88,8.3
Sep_88,8.4
Aug_88,8.5
Jul_88,8.6
Jun_88,8.7
May_88,8.9
Apr_88,9
Mar_88,9.2
Feb_88,9.4
Jan_88,9.5
Dec_87,9.7
Nov_87,9.9
Oct_87,10
Sep_87,10.2
Aug_87,10.4
Jul_87,10.6
Jun_87,10.7
May_87,10.9
Apr_87,11
Mar_87,11.1
Feb_87,11.2
Jan_87,11.2
Dec_86,11.3
Nov_86,11.3
Oct_86,11.3
Sep_86,11.4
Aug_86,11.4
Jul_86,11.4
Jun_86,11.3
May_86,11.3
Apr_86,11.3
Mar_86,11.3
Feb_86,11.3
Jan_86,11.3
Dec_85,11.3
Nov_85,11.3
Oct_85,11.3
Sep_85,11.3
Aug_85,11.3
Jul_85,11.3
Jun_85,11.4
May_85,11.4
Apr_85,11.4
Mar_85,11.5
Feb_85,11.5
Jan_85,11.6
Dec_84,11.6
Nov_84,11.7
Oct_84,11.7
Sep_84,11.7
Aug_84,11.8
Jul_84,11.8
Jun_84,11.9
May_84,11.9
Apr_84,11.9
Mar_84,11.8
Feb_84,11.8
Jan_84,11.7
Dec_83,11.7
Nov_83,11.6
Oct_83,11.6
Sep_83,11.5
Aug_83,11.5
Jul_83,11.5
Jun_83,11.4
May_83,11.3
Apr_83,11.3
Mar_83,11.3
Feb_83,11.2
Jan_83,11.2
Dec_82,11.1
Nov_82,11
Oct_82,10.9
Sep_82,10.8
Aug_82,10.7
Jul_82,10.6
Jun_82,10.6
May_82,10.5
Apr_82,10.5
Mar_82,10.4
Feb_82,10.4
Jan_82,10.3
Dec_81,10.2
Nov_81,10.1
Oct_81,10
Sep_81,9.9
Aug_81,9.8
Jul_81,9.7
Jun_81,9.6
May_81,9.4
Apr_81,9.1
Mar_81,8.9
Feb_81,8.6
Jan_81,8.3
Dec_80,8
Nov_80,7.7
Oct_80,7.4
Sep_80,7.1
Aug_80,6.8
Jul_80,6.5
Jun_80,6.3
May_80,6.1
Apr_80,6
Mar_80,5.8
Feb_80,5.7
Jan_80,5.6
Dec_79,5.5
Nov_79,5.4
Oct_79,5.4
Sep_79,5.4
Aug_79,5.3
Jul_79,5.3
Jun_79,5.3
May_79,5.3
Apr_79,5.3
Mar_79,5.4
Feb_79,5.3
Jan_79,5.3
Dec_78,5.4
Nov_78,5.4
Oct_78,5.5
Sep_78,5.5
Aug_78,5.5
Jul_78,5.5
Jun_78,5.6
May_78,5.6
Apr_78,5.6
Mar_78,5.6
Feb_78,5.6
Jan_78,5.7
Dec_77,5.7
Nov_77,5.7
Oct_77,5.7
Sep_77,5.7
Aug_77,5.6
Jul_77,5.6
Jun_77,5.5
May_77,5.5
Apr_77,5.5
Mar_77,5.5
Feb_77,5.5
Jan_77,5.5
Dec_76,5.5
Nov_76,5.5
Oct_76,5.5
Sep_76,5.5
Aug_76,5.4
Jul_76,5.4
Jun_76,5.4
May_76,5.4
Apr_76,5.3
Mar_76,5.3
Feb_76,5.2
Jan_76,5.1
Dec_75,5
Nov_75,4.9
Oct_75,4.8
Sep_75,4.7
Aug_75,4.6
Jul_75,4.5
Jun_75,4.3
May_75,4.2
Apr_75,4.1
Mar_75,4
Feb_75,3.9
Jan_75,3.8
Dec_74,3.7
Nov_74,3.7
Oct_74,3.7
Sep_74,3.7
Aug_74,3.7
Jul_74,3.6
Jun_74,3.6
May_74,3.6
Apr_74,3.6
Mar_74,3.6
Feb_74,3.5
Jan_74,3.4
Dec_73,3.4
Nov_73,3.5
Oct_73,3.5
Sep_73,3.6
Aug_73,3.6
Jul_73,3.7
Jun_73,3.7
May_73,3.8
Apr_73,3.8
Mar_73,3.9
Feb_73,4
Jan_73,4.1
Dec_72,4.2
Nov_72,4.2
Oct_72,4.2
Sep_72,4.3
Aug_72,4.3
Jul_72,4.4
Jun_72,4.4
May_72,4.5
Apr_72,4.5
Mar_72,4.5
Feb_72,4.5
Jan_72,4.5
Dec_71,4.4
Nov_71,4.4
Oct_71,4.3
Sep_71,4.2
Aug_71,4.2
Jul_71,4.1
Jun_71,4.1
May_71,4
Apr_71,3.9
Mar_71,3.8
