"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
September_1_2018_Texas_San_Antonia_vs._Arizona_State_(CUSA_P12)_(FS1),0,234
September_1_2018_Stephen_F._Austin_vs._Mississippi_State_(FCS_SEC)_(ESPNU),0,175
September_8_2018_Clemson_vs._Texas_A&M_(ACC_SEC)_(ESPN),2.6,4486
September_8_2018_Georgia_vs._South_Carolina_(SEC)_(CBS),2.3,3747
September_8_2018_Colorado_vs._Nebraska_(P12_B1G)_(ABC),2.1,3394
September_8_2018_Penn_State_vs._Pittsburgh_(B1G_ACC)_(ABC),2,3286
September_8_2018_California_Los_Angeles_vs._Oklahoma_(P12_B12)_(FOX),1.8,2896
September_8_2018_Arizona_vs._Houston_(P12_AAC)_(ABC),1.7,2539
September_8_2018_Ball_State_vs._Notre_Dame_(MAC_IND)_(NBC),1.6,2453
September_8_2018_Michigan_State_vs._Arizona_State_(B1G_P12)_(ESPN),1.5,2297
September_8_2018_Southern_California_vs._Stanford_(P12)_(FOX),1.4,2290
September_8_2018_Iowa_State_vs._Iowa_(B12_BIG)_(FOX),1.2,2017
September_8_2018_Mississippi_State_vs._Kansas_State_(SEC_B12)_(ESPN),1.1,1800
September_8_2018_College_Gameday_(ESPN),0,1667
September_8_2018_Arkasas_State_vs._Alabama_(SUN_SEC)_(ESPN2),1,1663
September_7_2018_Texas_Christian_vs._Southern_Methodist_(B12_AAC)_(ESPN2),0.7,1076
September_8_2018_Western_Michigan_vs._Michigan_(MAC_B1G)_(FS1),0.6,914
September_8_2018_Southeastern_Louisiana_vs._Louisiana_State_(FCS_SEC)_(ESPN2),0.5,858
September_8_2018_California_vs._Brigham_Young_(P12_IND)_(ESPN2),0.34,586
September_8_2018_Fresno_State_vs._Minnesota_(MWC_B1G)_(FS1),0.23,395
September_8_2018_North_Carolina_vs._East_Carolina_(ACC_AAC)_(ESPNU),0,284
September_8_2018_Wyoming_vs._Missouri_(MWC_SEC)_(ESPNU),0,243
September_8_2018_Connecticut_vs._Boise_State_(AAC_MWC)_(ESPNU),0,233
September_15_2018_Ohio_State_vs._Texas_Christian_(B1G_B12)_(ABC),4.2,7328
September_15_2018_Louisiana_State_vs._Auburn_(SEC)_(CBS),3.5,5936
September_15_2018_Alabama_vs._Ole_Miss_(SEC)_(ESPN),2.3,4109
September_15_2018_Oklahoma_vs._Iowa_State_(B12)_(ABC),2.2,3434
September_15_2018_Southern_California_vs._Texas_(P12_B12)_(FOX),1.8,2950
September_15_2018_Brigham_Young_vs._Wisconsin_(IND_B1G)_(ABC),1.9,2972
September_15_2018_Vanderbilt_vs._Notre_Dame_(SEC_IND)_(NBC),1.4,2108
September_15_2018_Florida_State_vs._Syracuse_(ACC)_(ESPN),1.2,1869
September_15_2018_Washington_vs._Utah_(P12)_(ESPN),1,1589
September_15_2018_College_Gameday_(ESPN),0,1559
September_15_2018_Boise_State_vs._Oklahoma_State_(MWC_B12)_(ESPN),0.85,1438
September_15_2018_Houston_vs._Texas_Tech_(AAC_B12)_(FOX),0.7,1079
September_15_2018_Kent_State_vs._Penn_State_(MAC_B1G)_(FS1),0.43,893
September_13_2018_Boston_College_vs._Wake_Forest_(ACC)_(ESPN),0.6,863
September_14_2018_Georgia_State_vs._Memphis_(SUN_AAC)_(ESPN),0.51,790
September_15_2018_Geogia_Southern_vs._Clemson_(SUN_ACC)_(ESPNU),0,554
September_15_2018_Miami_vs._Toledo_(ACC_MAC)_(ESPN2),0.28,461
September_15_2018_Middle_Tennesse_vs._Georgia_(CUSA_SEC)_(ESPNEWS),0,440
September_15_2018_Fresno_State_vs._California_Los_Angeles_(MWC_P12)_(FS1),0.18,301
September_15_2018_Duke_vs._Baylor_(ACC_B12)_(FS1),0,291
September_22_2018_Texas_A&M_vs._Alabama_(SEC)_(CBS),3.4,5650
September_22_2018_Stanford_vs._Oregon_(P12)_(ABC),2.5,4165
September_22_2018_Georgia_vs._Missouri_(SEC)_(ESPN),2,3328
September_22_2018_Wisconsin_vs._Iowa_(B1G)_(FOX),2,3313
September_22_2018_Texas_Christian_vs._Texas_(B12)_(FOX),1.7,2887
September_22_2018_Notre_Dame_vs._Wake_Forest_(IND_ACC)_(ABC),1.7,2439
September_22_2018_Florida_vs._Tennesse_(SEC)_(ESPN),1.2,2108
September_22_2018_Arizona_State_vs._Washington_(P12)_(ESPN),1.1,1834
September_22_2018_Clemson_vs._Georgia_Tech._(ACC)_(ABC),1.2,1808
September_22_2018_College_Gameday_(ESPN),0,1724
September_21_2018_Washington_State_vs._Southern_California_(P12)_(ESPN),1.1,1644
September_22_2018_Nebraska_vs._Michigan_(B1G)_(FS1),0.9,1449
September_21_2018_Florida_Atlantic_vs._Central_Florida_(CUSA_AAC)_(ESPN),0.85,1295
September_22_2018_Kansas_State_vs._West_Virginia_(B12)_(FS1),0.8,1241
September_22_2018_Mississippi_State_vs._Kentucky_(SEC)_(ESPN2),0.7,1219
September_21_2018_Penn_State_vs._Illinois_(B1G)_(FS1),0.7,1170
September_22_2018_Texas_Tech_vs_Oklahoma_State_(B12)_(FS1),0.51,868
September_20_2018_Tulsa_vs._Temple_(AAC)_(ESPN),0.48,728
September_22_2018_Louisiana_Tech_vs._Louisiana_State_(CUSA_SEC)_(ESPNU),0,616
September_22_2018_Boston_College_vs._Purdue_(ACC_B1G)_(ESPN2),0.3,424
September_22_2018_Kansas_vs._Baylor_(B12)_(FS1),0.27,414
September_22_2018_Florida_International_vs._Miami_(CUSA_ACC)_(ESPN2),0.22,345
September_22_2018_Northern_Illinois_vs._Flordia_State_(MAC_ACC)_(ESPNU),0,312
September_22_2018_Air_Force_vs._Utah_State_(MWC)_(ESPN2),0,277
September_22_2018_Ohio_vs._Cincinnati_(MAC_AAC)_(ESPNU),0,211
September_29_2018_Ohio_State_vs._Penn_State_(B1G)_(ABC),5.3,9279
September_29_2018_Syracuse_vs._Clemson_(ACC)_(ABC),3,4617
September_29_2018_Tennesse_vs._Georgia_(SEC)_(CBS),2.3,3640
September_29_2018_Michigan_vs._Northwestern_(B1G)_(FOX),2.3,3618
September_29_2018_Stanford_vs._Notre_Dame_(P12_IND)_(NBC),2.1,3443
September_29_2018_Baylor_vs._Oklahoma_(B12)_(ABC),1.8,2767
September_29_2018_Ole_Miss_vs._Louisiana_State_(SEC)_(ESPN),1.1,2023
September_29_2018_Florida_vs._Mississippi_State_(SEC)_(ESPN),1.1,1903
September_29_2018_Arkansas_vs._Texas_A&M_(SEC)_(ESPN),1,1596
September_29_2018_College_Gameday_(ESPN),0,1577
September_29_2018_Brigham_Young_vs._Washington_(IND_P12)_(FOX),0.8,1286
September_29_2018_West_Virginia_vs._Texas_Tech_(B12)_(ESPN2),0.7,1147
September_29_2018_Florida_State_vs._Louisville_(ACC)_(ESPN2),0.7,1057
September_27_2018_North_Carolina_vs._Miami_(ACC)_(ESPN),0.6,1007
September_29_2018_Texas_vs._Kansas_State_(B12)_(FS1),0.6,974
September_28_2018_California_Los_Angeles_vs._Colorado_(P12)_(FS1),0.52,840
September_29_2018_Southern_California_vs._Arizona_(P12)_(ESPN2),0.46,756
September_29_2018_Oregon_vs._California_(P12)_(FS1),0.44,750
September_28_2018_Memphis_vs._Tulane_(AAC)_(ESPN2),0.48,738
September_29_2018_Virginia_Tech_vs._Duke_(ACC)_(ESPN2),0.41,723
September_29_2018_Central_Michigan_vs_Michigan_State_(MAC_B1G)_(FS1),0.28,425
September_29_2018_Iowa_State_vs._Texas_Christian_(B1G)_(ESPNU),0,366
September_29_2018_Pittsburgh_vs._Central_Florida_(ACC_AAC)_(ESPNU),0,246
October_6_2018_Texas_vs._Oklahoma_(B12)_(FOX),3.5,5608
October_6_2018_Louisiana_State_vs._Florida_(SEC)_(CBS),2.9,4703
October_6_2018_Notre_Dame_vs._Virginia_Tech_(IND_ACC)_(ABC),2.7,4473
October_6_2018_Indiana_vs._Ohio_State_(B1G)_(FOX),2.45,3988
October_6_2018_Florida_State_vs._Miami_(ACC)_(ABC),1.8,2810
October_6_2018_Kentucky_vs._Texas_A&M_(SEC)_(ESPN),1.4,2547
October_6_2018_Alabama_vs._Arkansas_(SEC)_(ESPN),1.5,2495
October_6_2018_Maryland_vs._Michigan_(B1G)_(ABC),1.5,2329
October_6_2018_Washington_vs._California_Los_Angeles_(P12)_(FOX),1.3,2027
October_6_2018_College_Gameday_(ESPN),0,1775
October_6_2018_Auburn_vs._Mississippi_State,0.8,1528
October_6_2018_Utah_vs._Stanford_(P12)_(ESPN),0.9,1415
October_5_2018_Georgia_Tech_vs._Louisville_(ACC)_(ESPN),0.6,996
October_6_2018_Clemson_vs._Wake_Forest_(ACC)_(ESPN),0.6,966
October_6_2018_Kansas_vs._West_Virginia_(B12)_(ESPN2),0.45,731
October_6_2018_Iowa_State_vs._Oklahoma_State_(B12)_(EPN2),0.44,726
October_6_2018_Northwestern_vs._Michigan_State_(B1G)_(FS1),0.4,620
October_5_2018_Utah_State_vs._Brigham_Young_(B1G)_(ESPN2),0.36,617
October_4_2018_Tulsa_vs._Houston_(AAC)_(ESPN),0.38,562
October_6_2018_California_vs._Arizona_(P12)_(FS1),0.22,406
October_6_2018_Kansas_State_vs._Baylor_(B12)_(FS1),0.2,317
October_6_2018_San_Diego_State_vs._Boise_State_(MWC)_(ESPNU),0,269
October_13_2018_Wisconsin_vs._Michigan_(B1G)_(ABC),3.5,6103
October_13_2018_Georgia_vs._Louisiana_State_(SEC)_(CBS),3.3,5539
October_13_2018_Missouri_vs._Alabama_(SEC)_(ESPN),2.05,3758
October_13_2018_Washington_vs._Oregon_(P12)_(ABC),1.9,2990
October_13_2018_Pittsburgh_vs._Notre_Dame_(ACC_IND)_(NBC),1.8,2849
October_13_2018_Florida_vs._Vanderbilt_(SEC)_(ESPN),1.5,2497
October_13_2018_Nebraska_vs._Northwestern_(B1G)_(ABC),1.7,2450
October_13_2018_Minnesota_vs._Ohio_State_(B1G)_(FS1),1.5,2405
October_13_2018_Baylor_vs._Texas_(B12)_(ESPN),1,1783
October_13_2018_College_Gameday_(ESPN),0,1669
October_13_2018_West_Virginia_vs._Iowa_State_(B12)_(FS1),0.75,1323
October_11_2018_Texas_Tech_vs._Texas_Christian_(B12)_(ESPN),0.8,1233
October_13_2018_Colorado_vs._Sourthern_California_(P12)_(FS1),0.7,1184
October_12_2018_South_Florida_vs._Tulsa_(AAC)_(ESPN),0.7,1170
October_12_2018_Arizona_vs._Utah_(P12)_(ESPN),0.6,1011
October_13_2018_Miami_vs._Virginia_(ACC)_(ESPN2),0.53,870
October_13_2018_Iowa_vs._Indiana_(B1G)_(ESPN2),0.45,740
October_13_2018_Hawaii_vs._Brigham_Young_(MWC_IND)_(ESPN2),0.38,646
October_13_2018_Purdue_vs._Illinois_(B1G)_(FS1),0.33,501
October_13_2018_Oklahoma_State_vs._Kansas_State_(B12)_(ESPNU),0,422
October_13_2018_Viginia_Tech_vs._North_Carolina_(ACC)_(ESPNU),0,389
October_13_2018_Wyoming_vs._Fresno_State_(MWC)_(ESPNU),0,128
October_20_2018_Ohio_State_vs._Purdue_(B1G)_(ABC),3.8,6368
October_20_2018_Michigan_vs._Michigan_State_(B1G)_(FOX),3.4,5416
October_20_2018_Alabama_vs._Tennesse_(SEC)_(CBS),2.6,4305
October_20_2018_Colorado_vs._Washington_(P12)_(FOX),2,3173
October_20_2018_Penn_State_vs._Indiana_(B1G)_(ABC),2,3133
October_20_2018_Mississippi_State_vs._Louisiana_State_(SEC)_(ESPN),1.9,3106
October_20_2018_Oregon_vs._Washington_State_(P12)_(FOX),1.6,2591
October_20_2018_Oklahoma_vs._Texas_Christian_(B12)_(ABC),1.7,2488
October_20_2018_Auburn_vs._Ole_Miss_(SEC)_(ESPN),1.3,2211
October_20_2018_North_Carolina_State_vs._Clemson_(ACC)_(ESPN),1.1,1806
October_20_2018_College_Gameday_(ESPN),0,1801
October_18_2018_Stanford_vs._Arizona_State_(P12)_(ESPN),0.52,808
October_20_2018_Illinois_vs._Wisconsin_(B1G)_(FS1),0.47,783
October_20_2018_Maryland_vs._Iowa_(B1G)_(ESPN2),0.43,701
October_20_2018_Arizona_vs._California_Los_Angeles_(P12)_(ESPN),0.39,614
October_20_2018_Wake_Forest_vs._Florida_State_(ACC)_(ESPN2),0.34,576
October_20_2018_Central_Florida_vs._East_Carolina_(AAC)_(ESPN2),0.27,486
October_20_2018_Kansas_vs._Texas_Tech_(B12)_(FS1),0.3,472
October_19_2018_Colorado_State_vs._Boise_State_(MWC)_(ESPN2),0,420
October_27_2018_Georgia_vs._Florida_(SEC)_(CBS),3.9,6347
October_27_2018_Texas_vs._Oklahoma_State_(B12)_(ABC),2.1,3547
October_27_2018_Iowa_vs._Penn_State_(B1G)_(ESPN),2,3267
October_27_2018_Clemson_vs._Florida_State_(ACC)_(ABC),2,3163
October_27_2018_Notre_Dame_vs._Navy_(IND_AAC)_(CBS),1.5,2447
October_27_2018_Purdue_vs._Michigan_State_(B1G)_(ESPN),1.5,2378
October_27_2018_Wisconsin_vs._Northwestern_(B1G)_(FOX),1.5,2241
October_27_2018_Texas_A&M_vs._Mississippi_State_(SEC)_(ESPN),1.3,2178
October_27_2018_South_Florida_vs._Houston_(AAC)_(P12),1.4,2035
October_27_2018_Kansas_State_vs._Oklahoma_(B12)_(FOX),1.3,1989
October_27_2018_College_Gameday_(ESPN),0,1767
October_26_2018_Miami_vs._Boston_College_(ACC)_(ESPN),0.8,1360
October_27_2018_Oregon_vs._Arizona_(P12)_(ESPN),0.7,1186
October_25_2018_Georgia_Tech_vs._Virginia_Tech_(ACC)_(ESPN),0.6,968
October_27_2018_Texas_Tech_vs._Iowa_State_(B12)_(ESPN2),0.55,885
October_26_2018_Utah_vs._California_Los_Angeles_(P12)_(ESPN),0.47,701
October_27_2018_North_Carolina_State_vs._Syracuse_(ACC)_(ESPN2),0.39,680
October_25_2018_Baylor_vs._West_Virginia_(B12)_(FS1),0.35,577
October_27_2018_Washington_vs._California_(P12)_(FS1),0.35,563
October_26_2018_Indiana_vs._Minnesota_(B1G)_(FS1),0,335
October_27_2018_Texas_Christian_vs._Kansas_(B12)_(FS1),0.19,325
October_27_2018_Hawaii_vs._Fresno_State_(MWC)_(ESPN2),0,197
October_25_2018_Appalachian_State_vs._Georgia_Southern_(SUN)_(ESPNU),0,105
November_3_2018_Alabama_vs._Louisiana_State_(SEC)_(CBS),6.6,11543
November_3_2018_Nebraska_vs._Ohio_State_(B1G)_(FOX),3.1,5006
November_3_2018_West_Virginia_vs._Texas_(B12)_(FOX),2.7,4431
November_3_2018_Georgia_vs._Kentucky_(SEC)_(CBS),2.6,4392
November_3_2018_Penn_State_vs._Michigan_(B1G)_(ESPN),2.5,4252
November_3_2018_Notre_Dame_vs._Northwestern_(IND_B1G)_(ESPN),1.9,3293
November_3_2018_Oklahoma_vs._Texas_Tech_(B12)_(ABC),1.9,3135
November_3_2018_Texas_A&M_vs._Auburn_(SEC)_(ESPN),1.6,2622
November_3_2018_California_Los_Angeles_vs._Oregon_(P12)_(FOX),1.2,1947
November_3_2018_College_Gameday_(ESPN),0,1923
November_3_2018_Louisville_vs._Clemson_(ACC)_(ABC),1.1,1550
November_3_2018_California_vs._Washington_State_(P12)_(ESPN),0.9,1495
November_2_2018_Pittsburgh_vs._Virginia_(ACC)_(ESPN2),0.9,1359
November_3_2018_Florida_State_vs._North_Carolina_State_(ACC)_(ABC),0.9,1347
November_1_2018_Temple_vs._Central_Florida_(AAC)_(ESPN),0.8,1191
November_3_2018_Iowa_vs._Purdue_(B1G)_(ESPN2),0.6,1092
October_30_2018_CFP_Rankings_Release_(ESPN),0,927
November_3_2018_Michigan_State_vs._Maryland_(B1G)_(ESPN2),0.5,762
November_3_2018_Duke_vs._Miami_(ACC)_(ESPN2),0.36,620
November_3_2018_Oklahoma_State_vs._Baylor_(B12)_(FS1),0.31,487
October_30_2018_Miami_(Ohio)_vs._Buffalo_(MAC)_(ESPN2),0.34,482
November_3_2018_Kansas_State_vs._Texas_Christian_(B12)_(FS1),0.24,477
November_2_2018_Colorado_vs._Arizona_(P12)_(FS1),0,474
November_3_2018_Brigham_Young_vs._Boise_State_(IND_MWC)_(ESPN2),0.28,470
November_3_2018_Southern_California_vs._Oregon_State_(P12)_(FS1),0.26,418
November_10_2018_Mississippi_State_vs._Alabama_(SEC)_(CBS),3.3,5419
November_10_2018_Ohio_State_vs._Michigan_State_(B1G)_(FOX),3.3,5191
November_10_2018_Auburn_vs._Georgia_(SEC)_(ESPN),2.2,3987
November_10_2018_Oklahoma_State_vs._Oklahoma_(B12)_(ABC),2.4,3992
November_10_2018_Clemson_vs._Boston_College_(ACC)_(ABC),2.4,3930
November_10_2018_Florida_State_vs._Notre_Dame_(ACC_IND)_(NBC),1.9,3173
November_6_2018_CFP_Rankings_Show,1.7,2892
November_10_2018_Texas_vs._Texas_Tech_(B12)_(FOX),1.6,2679
November_10_2018_Northwestern_vs._Iowa_(B1G)_(FOX),1.6,2636
November_10_2018_Wisconsin_vs._Penn_State_(B1G)_(ABC),1.5,2270
November_10_2018_Ole_Miss_vs._Texas_A&M_(SEC)_(CBS),1.4,2138
November_10_2018_South_Carolina_vs._Florida_(SEC)_(ESPN),1.3,2068
November_10_2018_College_Gameday_(ESPN),0,1799
November_10_2018_California_vs._Southern_California_(P12)_(ESPN),1,1587
November_10_2018_Washington_State_vs_Colorado_(P12)_(ESPN),0.8,1299
November_9_2018_Louisville_vs_Syracuse_(ACC)_(ESPN2),0.65,1062
November_9_2018_Fresno_State_vs._Boise_State_(MWC)_(ESPN2),0.51,819
November_8_2018_Wake_Forest_vs._North_Carolina_State_(ACC)_(ESPN),0.5,744
November_10_2018_Texas_Christian_vs._West_Virginia_(B12)_(FS1),0.39,728
November_10_2018_Miami_vs._Georgia_Tech_(ACC)_(ESPN2),0.29,551
November_10_2018_Purdue_vs._Minnesota_(B1G)_(ESPN2),0.3,534
November_7_2018_Toledo_vs._Northern_Illinois_(MAC)_(ESPN2),0.28,500
November_10_2018_Nevada_Los_Vegas_vs._San_Diego_State_(MWC)_(ESPN2),0,415
November_10_2018_Navy_vs._Central_Florida_(AAC)_(ESPN2),0.21,385
November_10_2018_Baylor_vs._Iowa_State_(B12)_(FS1),0.24,363
November_10_2018_Virginia_Tech_vs._Pittsburgh_(ACC)_(ESPNU),0,344
November_7_2018_Ohio_vs._Miami_(Ohio)_(MAC)_(ESPNU),0,213
November_17_2018_Ohio_State_vs._Maryland_(B1G)_(ABC),3.5,3568
November_17_2018_West_Virginia_vs._Oklahoma_State_(B12)_(ABC),2.4,3948
November_17_2018_Cincinnati_vs._Central_Florida_(AAC)_(ABC),1.9,3124
November_17_2018_Syracuse_vs._Notre_Dame_(ACC_IND)_(NBC),1.8,2873
November_17_2018_Kansas_vs._Oklahoma_(B12)_(FOX),1.8,2762
November_17_2018_Michigan_State_vs._Nebraska_(B1G)_(FOX),1.6,2515
November_17_2018_Duke_vs._Clemson_(ACC)_(ESPN),1.4,2452
November_17_2018_Indiana_vs._Michigan_(B1G)_(FS1),1.4,2273
November_17_2018_Missouri_vs._Tennesse_(SEC)_(CBS),1.3,2025
November_17_2018_Southern_California_vs._California_Los_Angeles_(P12)_(FOX),1.3,1983
November_17_2018_College_Gameday_(ESPN),0,1817
November_17_2018_Arizona_vs._Washington_State_(P12)_(ESPN),1,1568
November_17_2018_Auburn_vs._Mississippi_State_(SEC)_(ESPN),0.7,1036
November_13_2018_CFP_Rankings_Show_(ESPN),0,819
November_17_2018_Miami_vs._Virginia_Tech_(ACC)_(ESPN),0.47,733
November_17_2018_Alabama_Birmingham_vs._Texas_A&M_(CUSA_SEC)_(ESPN2),0.42,722
November_17_2018_Boston_College_vs._Florida_State_(ACC)_(ESPN2),0.44,716
November_16_2018_Memphis_vs._Southern_Methodist_(AAC)_(ESPN2),0.37,623
November_17_2018_Rice_vs._Louisiana_State_(CUSA_SEC)_(ESPNU),0,445
November_14_2018_Buffalo_vs._Ohio_(MAC)_(ESPN2),0,406
November_17_2018_Texas_Christian_vs._Baylor_(B12)_(FS1),0.23,405
November_15_2018_Tulane_vs._Houston_(AAC)_(ESPn),0,378
November_13_2018_Western_Michigan_vs._Ball_State_(MAC)_(ESPN2),0,356
November_17_2018_New_Mexico_State_vs._Brigham_Young_(IND)_(ESPN2),0,295
November_17_2018_Idaho_vs._Florida_(FCS_SEC)_(ESPNU),0,282
November_17_2018_Yale_vs._Harvard_(FCS)_(ESPN2),0,272
November_24_2018_Michigan_vs._Ohio_State_(B1G)_(FOX),7.5,13345
November_24_2018_Auburn_vs._Alabama_(SEC)_(CBS),5.1,9132
November_24_2018_Notre_Dame_vs._Southern_California_(IND_P12)_(ABC),4.4,7809
November_23_2018_Oklahoma_vs._West_Virginia_(B12)_(ESPN),3,5630
November_23_2018_Washington_vs._Washington_State_(P12)_(FOX),2.3,4109
November_23_2018_Nebraska_vs._Iowa_(B1G)_(FOX),2.1,3664
November_23_2018_Virginia_vs._Virginia_Tech_(ACC)_(ABC),0,3553
November_24_2018_South_Carolina_vs._Clemson_(SEC_ACC)_(ESPN),1.8,3261
November_24_2018_Rutgers_vs._Michigan_State_(B1G)_(FOX),1.8,3038
November_24_2018_Florida_vs._Florida_State_(SEC_ACC)_(ABC),1.5,2380
November_24_2018_College_Gameday_(ESPN),0,2295
November_24_2018_Maryland_vs._Penn_State_(B1G)_(ABC),1.3,2176
November_23_2018_Arkansas_vs._Missouri_(SEC)_(CBS),0,1919
November_23_2018_Central_Florida_vs._South_Florida_(AAC)_(ESPN),0,1741
November_24_2018_Oklahoma_State_vs._Texas_Christian_(B12)_(FOX),1,1615
November_23_2018_Texas_vs._Kansas_(B12)_(FS1),0,1185
November_22_2018_Mississippi_State_vs._Ole_Miss,0.57,1108
November_24_2018_Utah_State_vs._Boise_State_(MWC)_(ESPN),0.65,1078
November_24_2018_Minnesota_vs._Wisconsin_(B1G)_(ESPN2),0.65,1031
November_23_2018_Oregon_vs._Oregon_State_(P12)_(FS1),0,945
November_24_2018_Pittsburgh_vs._Miami_(ACC)_(ESPN),0.5,919
November_24_2018_Kentucky_vs._Louisville_(SEC_ACC)_(ESPN2),0.45,844
November_24_2018_Kansas_State_vs._Iowa_State_(B12)_(FS1),0.49,821
November_24_2018_Arizona_State_vs._Arizona_(P12)_(FS1),0.41,798
November_24_2018_Syracuse_vs._Boston_College_(ACC)_(ESPN),0.46,765
November_24_2018_Brigham_Young_vs._Utah_(IND_P12)_(FS1),0.32,626
November_24_2018_Purdue_vs._Indiana_(B1G)_(ESPN2),0.25,368
November_24_2018_Baylor_vs._Texas_Tech_(B12)_(FS1),0.21,333
December_1_2018_Alabama_vs._Georgia_(SEC_Champ.)_(CBS),10.1,17499
December_1_2018_Oklahoma_vs._Texas_(B12_Champ.)_(ABC),6.2,10299
December_1_2018_Ohio_State_vs._Northwestern_(B1G_Champ.)_(FOX),5,8659
December_1_2018_Clemson_vs._Pittsburgh_(ACC_Champ.)_(ABC),2.5,4236
November_30_2018_Washington_vs_Utah_(P12_Champ.)_(FOX),2.6,4059
December_1_2018_Central_Florida_vs._Memphis_(AAC_Champ.)_(ABC),2.1,3321
December_1_2018_College_Gameday_(ESPN),0,1796
December_2_2018_CFP_Selection_Show_(ESPN),0,1400
December_1_2018_Fresno_State_vs._Boise_State_(MWC_Champ.)_(ESPN),0.6,1036
December_1_2018_Louisville_vs_Appalachian_State_(SUN_Champ.)_(ESPN),0.6,898
November_30_2018_Northern_Illinois_vs._Buffalo_(MAC_Champ.)_(ESPN2),0.38,587
December_8_2018_Army_vs._Navy_(IND_AAC)_(CBS),5,8050
December_8_2018_Heisman_Presentation_(ESPN),1.8,2928
December_8_2018_Colgate_vs._North_Dakota_State_(FCS)_(ESPN),1.1,1806
December_8_2018_College_Gameday_(ESPN),0,985
December_7_2018_Maine_vs._Weber_State_(FCS)_(ESPN2),0.36,566
January_7_2019_Clemson_vs._Alabama_(CFPNC)_(ESPN_Megacast),13.8,25280
December_29_2018_Alabama_vs._Oklahoma_(Orange)_(ESPN/ESPN2),9.9,19069
December_29_2018_Clemson_vs._Notre_Dame_(Cotton)_(ESPN/ESPN2),9.4,16809
January_1_2019_Ohio_State_vs._Washington_(Rose)_(ESPN/ESPN2),8.9,16781
January_1_2019_Texas_vs._Georgia_(Sugar)_(ESPN/ESPN2),7.3,13298
January_1_2019_Louisiana_State_vs._Central_Florida_(Fiesta)_(ESPN),4.7,8471
December_29_2018_Florida_vs._Michigan_(Peach)_(ESPN),5,8366
January_1_2019_Kentucky_vs._Penn_State_(Citrus)_(ABC),4.4,7709
December_28_2018_Washington_State_vs._Iowa_State_(Alamo)_(ESPN),3.2,5547
December_31_2018_Texas_A&M_vs._North_Carolina_State_(Gator)_(ESPN),2.7,5142
December_28_2018_West_Virginia_vs._Syracuse_(Orlando)_(ESPN),2.8,4828
December_31_2018_Oklahoma_State_vs._Missouri_(Liberty)_(ESPN),2.3,3830
December_27_2018_Wisconsin_vs._Miami_(Pinstripe)_(ESPN),2.3,3794
December_31_2018_Oregon_vs._Michigan_State_(SanFrancisco)_(FOX),2.3,3785
December_27_2018_Baylor_vs._Vanderbilt_(Texas)_(ESPN),2,3343
December_15_2018_Fresno_State_vs._Arizona_State_(Las_Vegas)_(ABC),2.25,3334
January_1_2019_Iowa_vs._Mississippi_State_(Outback)_(ESPN2),1.8,3256
