Month,Number_of_recoveries
Aug_7_2020,201642
Aug_6_2020,201323
Aug_5_2020,200976
Aug_4_2020,200766
Aug_3_2020,200589
Aug_2__2020,200460
Aug_1__2020,200229
Jul_31__2020,199974
Jul_30__2020,199796
Jul_29__2020,199031
Jul_28__2020,198756
Jul_27__2020,198593
Jul_26__2020,198466
Jul_25__2020,198520
Jul_24__2020,198192
Jul_23__2020,197842
Jul_22__2020,197628
Jul_21__2020,197431
Jul_20_2020,197162
Jul_19__2020,196949
Jul_18__2020,196806
Jul_17__2020,196483
Jul_16__2020,196246
Jul_15_2020,196016
Jul_14__2020,195441
Jul_13__2020,195106
Jul_12__2020,194928
Jul_11__2020,194579
Jul_10__2020,194273
Jul_9__2020,193978
Jul_8_2020,193640
Jul_7_2020,192815
Jul_6_2020,192241
Jul_5_2020,192108
Jul_4_2020,191944
Jul_3_2020,191467
Jul_2_2020,191983
Jul_1_2020,190717
Jun_30_2020,190248
Jun_29_2020,189196
Jun_28_2020,188891
Jun_27_2020,188584
Jun_26_2020,187615
Jun_25_2020,186725
Jun_24_2020,186111
Jun_23_2020,184585
Jun_22_2020,183426
Jun_21_2020,182893
Jun_20_2020,182453
Jun_19_2020,181907
Jun_18_2020,180544
Jun_17_2020,179455
Jun_16_2020,178526
Jun_15_2020,177010
Jun_14_2020,176370
Jun_13_2020,174865
Jun_12_2020,173085
Jun_11_2020,171338
Jun_10_2020,169939
Jun_9_2020,168646
Jun_8_2020,166584
Jun_7_2020,165837
Jun_6_2020,165078
Jun_5_2020,163781
Jun_4_2020,161895
Jun_3_2020,160938
Jun_2_2020,160092
Jun_1_2020,158355
May_31_2020,157507
May_30_2020,155633
May_29_2020,152844
May_28_2020,150604
May_27_2020,147101
May_26_2020,144658
May_25_2020,141981
May_24_2020,140479
May_23_2020,138840
May_22_2020,136720
May_21_2020,134560
May_20_2020,132282
May_19_2020,129401
May_18_2020,127326
May_17_2020,125176
May_16_2020,122810
May_15_2020,120205
May_14_2020,115284
May_13_2020,112541
May_12_2020,109039
May_11_2020,106587
May_10_2020,105176
May_9_2020,103031
May_8_2020,99023
May_7_2020,96276
May_6_2020,93245
May_5_2020,85231
May_4_2020,82879
May_3_2020,81654
May_2_2020,79914
May_1_2020,78294
Apr_30_2020,75945
Apr_29_2020,71252
Apr_28_2020,68941
Apr_27_2020,66624
Apr_26_2020,64928
Apr_25_2020,63120
Apr_24_2020,60498
Apr_23_2020,57576
Apr_22_2020,54543
Apr_21_2020,51600
Apr_20_2020,48877
Apr_19_2020,47055
Apr_18_2020,44927
Apr_17_2020,42727
Apr_16_2020,40164
Apr_15_2020,38092
Apr_14_2020,37130
Apr_13_2020,35435
Apr_12_2020,34211
Apr_11_2020,32534
Apr_10_2020,30455
Apr_9_2020,28470
Apr_8_2020,26491
Apr_7_2020,24392
Apr_6_2020,22837
Apr_5_2020,21815
Apr_4_2020,20996
Apr_3_2020,19758
Apr_2_2020,18278
Apr_1_2020,16847
Mar_31_2020,15729
Mar_30_2020,14620
Mar_29_2020,13030
Mar_28_2020,12384
Mar_27_2020,10950
Mar_26_2020,10361
Mar_25_2020,9362
Mar_24_2020,8326
Mar_23_2020,7432
Mar_22_2020,7024
Mar_21_2020,6072
Mar_20_2020,5129
Mar_19_2020,4440
Mar_18_2020,4025
Mar_17_2020,2941
Mar_16_2020,2749
Mar_15_2020,2335
Mar_14_2020,1966
Mar_13_2020,1429
Mar_12_2020,1258
Mar_11_2020,1045
Mar_10_2020,1004
Mar_9_2020,724
Mar_8_2020,622
Mar_7_2020,589
Mar_6_2020,523
Mar_5_2020,414
Mar_4_2020,276
Mar_3_2020,160
Mar_2_2020,149
Mar_1_2020,46
Feb_29_2020,50
Feb_28_2020,45
Feb_27_2020,45
Feb_26_2020,3
Feb_25_2020,1
Feb_24_2020,1
