Month,Number_of_patients
Aug_24_2020,3
Aug_23_2020,1
Aug_22_2020,2
Aug_21_2020,3
Aug_20_2020,3
Aug_19_2020,1
Aug_18_2020,1
Aug_17_2020,1
Aug_16_2020,2
Aug_15_2020,3
Aug_14_2020,1
Aug_13_2020,0
Aug_12_2020,0
Aug_11_2020,1
Aug_10_2020,3
Aug_9_2020,2
Aug_8_2020,3
Aug_7_2020,1
Aug_6_2020,1
Aug_5_2020,5
Aug_4_2020,1
Aug_3_2020,2
Aug_2_2020,1
Aug_1_2020,1
Jul_31_2020,5
Jul_30_2020,2
Jul_29_2020,0
Jul_28_2020,0
Jul_27_2020,1
Jul_26_2020,1
Jul_25_2020,0
Jul_24_2020,2
Jul_23_2020,0
Jul_22_2020,0
Jul_21_2020,0
Jul_20_2020,0
Jul_19_2020,0
Jul_18_2020,2
Jul_17_2020,1
Jul_16_2020,2
Jul_15_2020,1
Jul_14_2020,0
Jul_13_2020,2
Jul_12_2020,0
Jul_11_2020,1
Jul_10_2020,0
Jul_09_2020,0
Jul_08_2020,1
Jul_07_2020,0
Jul_06_2020,0
Jul_05_2020,1
Jul_04_2020,0
Jul_03_2020,1
Jul_02_2020,2
Jul_01_2020,0
Jun_30_2020,2
Jun_29_2020,0
Jun_28_2020,2
Jun_27_2020,2
Jun_26_2020,3
Jun_25_2020,1
Jun_24_2020,2
Jun_23_2020,1
Jun_22_2020,2
Jun_21_2020,0
Jun_20_2020,0
Jun_19_2020,1
Jun_18_2020,1
Jun_17_2020,3
Jun_16_2020,1
Jun_15_2020,1
Jun_14_2020,1
Jun_13_2020,0
Jun_12_2020,1
Jun_11_2020,2
Jun_10_2020,1
Jun_09_2020,2
Jun_08_2020,1
Jun_07_2020,0
Jun_06_2020,0
Jun_05_2020,1
Jun_04_2020,0
Jun_03_2020,0
Jun_02_2020,0
Jun_01_2020,1
May_31_2020,2
May_30_2020,0
May_29_2020,1
May_28_2020,2
May_27_2020,4
May_26_2020,1
May_25_2020,0
May_24_2020,0
May_23_2020,0
May_22_2020,1
May_21_2020,2
May_20_2020,1
May_19_2020,1
May_18_2020,4
May_17_2020,0
May_16_2020,0
May_15_2020,0
May_14_2020,2
May_13_2020,3
May_12_2020,3
May_11_2020,2
May_10_2020,1
May_09_2020,1
May_08_2020,2
May_07_2020,2
May_06_2020,4
May_05_2020,3
May_04_2020,2
May_03_2020,1
May_02_2020,2
May_01_2020,2
Apr_30_2020,2
Apr_29_2020,0
Apr_28_2020,7
Apr_27_2020,2
Apr_26_2020,6
Apr_25_2020,4
Apr_24_2020,8
Apr_23_2020,5
Apr_22_2020,8
Apr_21_2020,4
Apr_20_2020,5
Apr_19_2020,5
Apr_18_2020,9
Apr_17_2020,15
Apr_16_2020,4
Apr_15_2020,12
Apr_14_2020,11
Apr_13_2020,10
Apr_12_2020,9
Apr_11_2020,11
Apr_10_2020,6
Apr_09_2020,10
Apr_08_2020,22
Apr_07_2020,14
Apr_06_2020,19
Apr_05_2020,14
Apr_04_2020,27
Apr_03_2020,22
Apr_02_2020,37
Apr_01_2020,27
Mar_31_2020,38
Mar_30_2020,33
Mar_29_2020,24
Mar_28_2020,31
Mar_27_2020,35
Mar_26_2020,43
Mar_25_2020,57
Mar_24_2020,42
Mar_23_2020,37
Mar_22_2020,27
Mar_21_2020,23
Mar_20_2020,28
Mar_19_2020,30
Mar_18_2020,23
Mar_17_2020,13
Mar_16_2020,17
Mar_15_2020,8
Mar_14_2020,10
Mar_13_2020,7
Mar_12_2020,3
Mar_11_2020,5
Mar_10_2020,7
Mar_09_2020,3
