Month,Number_of_cases
Jun_25_2020,4
Jun_26_2020,6
Jun_27_2020,10
Jun_28_2020,18
Jun_29_2020,3
Jun_30_2020,2
Jul_1_2020,1
Jul_2_2020,3
Jul_3_2020,5
Jul_4_2020,10
Jul_5_2020,5
Jul_6_2020,5
Jul_7_2020,6
Jul_8_2020,3
Jul_9_2020,6
Jul_10_2020,13
Jul_11_2020,8
Jul_12_2020,14
Jul_13_2020,7
Jul_14_2020,4
Jul_15_2020,5
Jul_16_2020,3
Jul_17_2020,18
Jul_18_2020,9
Jul_19_2020,15
Jul_20_2020,21
Jul_21_2020,15
Jul_22_2020,16
Jul_23_2020,9
Jul_24_2020,21
Jul_25_2020,23
Jul_26_2020,13
Jul_27_2020,7
Jul_28_2020,39
Jul_29_2020,13
Jul_30_2020,8
Jul_31_2020,12
Aug_1_2020,9
Aug_2_2020,14
Aug_3_2020,2
Aug_4_2020,1
Aug_5_2020,21
Aug_6_2020,15
Aug_7_2020,25
Aug_8_2020,7
Aug_9_2020,13
Aug_10_2020,11
Aug_11_2020,9
Aug_12_2020,11
Aug_13_2020,15
Aug_14_2020,20
Aug_15_2020,26
Aug_16_2020,25
Aug_17_2020,12
Aug_18_2020,7
Aug_19_2020,16
Aug_20_2020,5
Aug_21_2020,9
Aug_22_2020,8
Aug_23_2020,10
Aug_24_2020,7
Aug_25_2020,11
Aug_26_2020,6
Aug_27_2020,5
Aug_28_2020,10
Aug_29_2020,11
Aug_30_2020,17
Aug_31_2020,6
Sep_1_2020,14
Sep_2_2020,6
Sep_3_2020,14
Sep_4_2020,11
Sep_5_2020,6
Sep_6_2020,6
Sep_7_2020,62
Sep_8_2020,100
Sep_9_2020,24
Sep_10_2020,45
Sep_11_2020,182
Sep_12_2020,58
Sep_13_2020,47
Sep_14_2020,31
Sep_15_2020,23
Sep_16_2020,62
Sep_17_2020,21
Sep_18_2020,95
Sep_19_2020,20
Sep_20_2020,52
Sep_21_2020,57
Sep_22_2020,82
Sep_23_2020,147
Sep_24_2020,71
Sep_25_2020,111
Sep_26_2020,82
Sep_27_2020,150
Sep_28_2020,115
Sep_29_2020,101
Sep_30_2020,89
Oct_1_2020,260
Oct_2_2020,287
Oct_3_2020,317
Oct_4_2020,293
Oct_5_2020,432
Oct_6_2020,691
Oct_7_2020,489
Oct_8_2020,375
Oct_9_2020,354
Oct_10_2020,374
Oct_11_2020,561
Oct_12_2020,563
Oct_13_2020,660
Oct_14_2020,660
Oct_15_2020,589
Oct_16_2020,629
Oct_17_2020,869
Oct_18_2020,871
Oct_19_2020,865
Oct_20_2020,862
Oct_21_2020,732
Oct_22_2020,847
Oct_23_2020,710
Oct_24_2020,1228
Oct_25_2020,823
Oct_26_2020,1240
Oct_27_2020,835
Oct_28_2020,801
Oct_29_2020,649
Oct_30_2020,799
Oct_31_2020,659
Nov_1_2020,957
Nov_2_2020,834
Nov_3_2020,1054
Nov_4_2020,1032
Nov_5_2020,1009
Nov_6_2020,1755
Nov_7_2020,1168
Nov_8_2020,852
Nov_9_2020,972
Nov_10_2020,869
Nov_11_2020,822
Nov_12_2020,919
Nov_13_2020,1304
Nov_14_2020,1114
Nov_15_2020,1208
Nov_16_2020,1103
Nov_17_2020,1210
Nov_18_2020,660
Nov_19_2020,1290
Nov_20_2020,958
Nov_21_2020,1041
Nov_22_2020,1096
Nov_23_2020,1884
Nov_24_2020,2188
Nov_25_2020,970
Nov_26_2020,935
Nov_27_2020,1109
Nov_28_2020,1315
Nov_29_2020,1309
Nov_30_2020,1212
Dec_1_2020,1472
Dec_2_2020,851
Dec_3_2020,1075
Dec_4_2020,1141
Dec_5_2020,1123
Dec_6_2020,1335
Dec_7_2020,1600
Dec_8_2020,1012
Dec_9_2020,959
Dec_10_2020,2234
Dec_11_2020,1810
Dec_12_2020,1937
Dec_13_2020,1229
Dec_14_2020,1371
Dec_15_2020,1772
Dec_16_2020,1295
Dec_17_2020,1220
Dec_18_2020,1683
Dec_19_2020,1153
Dec_20_2020,1340
Dec_21_2020,2018
Dec_22_2020,2062
Dec_23_2020,1348
Dec_24_2020,1581
Dec_25_2020,1247
Dec_26_2020,2335
Dec_27_2020,1196
Dec_28_2020,1594
Dec_29_2020,1925
Dec_30_2020,1870
Dec_31_2020,2525
Jan_1_2021,2068
Jan_2_2021,2295
Jan_3_2021,1704
Jan_4_2021,1741
Jan_5_2021,2027
Jan_6_2021,2593
