Date,.,Hispanic,Black,White
3/19/1995,ABC/POST,nan,27.0,21
2/22/1995,CBS/NYT,nan,20.0,17
12/01/1994,NES,nan,22.0,20
10/29/1994,CBS/NYT,nan,16.0,22
10/23/1994,ABC/POST,nan,nan,21
6/06/1994,GALLUP,nan,nan,15
1/30/1994,GALLUP,nan,nan,17
1/20/1994,ABC/POST,nan,34.0,21
3/24/1993,GALLUP,nan,nan,20
1/17/1993,ABC/POST,nan,45.0,25
1/14/1993,CBS/NYT,nan,22.0,24
10/23/1992,CBS/NYT,nan,21.0,23
10/15/1992,NES,37.0,27.0,28
6/08/1992,GALLUP,nan,nan,23
10/20/1991,ABC/POST,nan,29.0,36
3/06/1991,CBS/NYT,nan,30.0,49
3/01/1991,ABC/POST,nan,35.0,46
12/01/1990,NES,39.0,22.0,27
10/28/1990,CBS/NYT,nan,26.0,25
9/06/1990,ABC/POST,nan,39.0,43
1/16/1990,ABC/POST,nan,35.0,38
6/29/1989,CBS/NYT,nan,26.0,36
1/15/1989,CBS/NYT,nan,33.0,46
11/10/1988,CBS/NYT,nan,33.0,45
10/15/1988,NES,nan,25.0,43
1/23/1988,ABC/POST,nan,29.0,41
10/18/1987,CBS/NYT,nan,32.0,41
6/01/1987,ABC/POST,nan,34.0,49
3/01/1987,CBS/NYT,nan,20.0,45
1/21/1987,CBS/NYT,nan,27.0,46
1/19/1987,ABC/POST,nan,31.0,47
12/01/1986,NES,nan,21.0,42
11/30/1986,CBS/NYT,nan,23.0,52
9/09/1986,ABC/POST,nan,26.0,42
1/19/1986,CBS/NYT,nan,22.0,45
11/06/1985,CBS/NYT,nan,34.0,52
7/29/1985,ABC/POST,nan,22.0,40
3/21/1985,ABC/POST,nan,29.0,40
2/22/1985,ABC/POST,nan,24.0,46
10/15/1984,NES,nan,33.0,46
12/01/1982,NES,nan,26.0,34
11/07/1980,CBS/NYT,nan,30.0,40
10/15/1980,NES,nan,26.0,25
3/12/1980,CBS/NYT,nan,35.0,24
11/03/1979,CBS/NYT,nan,36.0,29
12/01/1978,NES,nan,29.0,29
10/23/1977,CBS/NYT,nan,28.0,34
4/25/1977,CBS/NYT,nan,34.0,35
10/15/1976,NES,nan,22.0,35
6/15/1976,CBS/NYT,nan,35.0,34
3/01/1976,GALLUP,nan,23.0,34
12/01/1974,NES,nan,19.0,38
10/15/1972,NES,nan,32.0,56
12/01/1970,NES,nan,40.0,55
10/15/1968,NES,nan,62.0,61
12/01/1966,NES,nan,65.0,65
10/15/1964,NES,nan,77.0,77
12/01/1958,NES,nan,62.0,74
