Month,Number_of_cases
September_6_2020,194109
September_5_2020,190665
September_4_2020,187537
September_3_2020,184268
September_2_2020,180646
September_1_2020,177571
August_31_2020,174796
August_30_2020,172053
August_29_2020,169195
August_28_2020,165887
August_27_2020,162884
August_26_2020,160165
August_25_2020,157859
August_24_2020,155412
August_23_2020,153535
August_22_2020,151498
August_21_2020,149408
August_20_2020,147211
August_19_2020,144945
August_18_2020,143043
August_17_2020,141370
August_16_2020,139549
August_15_2020,137468
August_14_2020,135123
August_13_2020,132816
August_12_2020,130718
August_11_2020,128776
August_10_2020,127083
August_9_2020,125396
August_8_2020,123503
August_7_2020,121226
August_6_2020,118753
August_5_2020,116671
August_4_2020,115056
August_3_2020,113134
August_2_2020,111455
August_1_2020,109936
July_31_2020,108376
July_30_2020,106336
July_29_2020,104432
July_28_2020,102051
July_27_2020,100303
July_26_2020,98778
July_25_2020,97286
July_24_2020,95418
July_23_2020,93657
July_22_2020,91751
July_21_2020,89869
July_20_2020,88214
July_19_2020,86521
July_18_2020,84882
July_17_2020,83130
July_16_2020,81668
July_15_2020,80094
July_14_2020,78572
July_13_2020,76981
July_12_2020,75699
July_11_2020,74018
July_10_2020,72347
July_9_2020,70736
July_8_2020,68079
July_7_2020,66226
July_6_2020,64958
July_5_2020,63749
July_4_2020,62142
July_3_2020,60695
July_2_2020,59394
July_1_2020,57770
June_30_2020,56385
June_29_2020,55092
June_28_2020,54010
June_27_2020,52812
June_26_2020,51427
June_25_2020,50187
June_24_2020,49009
June_23_2020,47896
June_22_2020,46845
June_21_2020,45891
June_20_2020,45029
June_19_2020,43803
June_18_2020,42762
June_17_2020,41431
June_16_2020,40400
June_15_2020,39294
June_14_2020,38277
June_13_2020,37420
June_12_2020,36406
June_11_2020,35295
June_10_2020,34316
June_9_2020,33076
June_8_2020,32033
June_7_2020,31186
June_6_2020,30514
June_5_2020,29521
June_4_2020,28818
June_3_2020,28233
June_2_2020,27549
June_1_2020,26940
May_31_2020,26473
May_30_2020,25773
May_29_2020,25216
May_28_2020,24538
May_27_2020,23851
May_26_2020,23165
May_25_2020,22750
May_24_2020,22271
May_23_2020,21745
May_22_2020,20796
May_21_2020,20162
May_20_2020,19189
May_19_2020,18496
May_18_2020,18010
May_17_2020,17514
May_16_2020,17025
May_15_2020,16496
May_14_2020,16006
May_13_2020,15438
May_12_2020,14749
May_11_2020,14265
May_10_2020,14032
May_9_2020,13645
May_8_2020,13112
May_7_2020,12776
May_6_2020,12438
May_5_2020,12071
May_4_2020,11587
May_3_2020,11192
May_2_2020,10843
May_1_2020,10551
April_30_2020,10118
April_29_2020,9771
April_28_2020,9511
April_27_2020,9096
April_26_2020,8802
April_25_2020,8607
April_24_2020,8211
April_23_2020,7775
April_22_2020,7418
April_21_2020,7135
April_20_2020,6760
April_19_2020,6575
April_18_2020,6248
April_17_2020,5923
April_16_2020,5516
April_15_2020,5136
April_14_2020,4839
April_13_2020,4557
April_12_2020,4241
April_11_2020,3842
April_10_2020,3512
April_9_2020,3293
April_8_2020,2956
April_7_2020,2738
April_6_2020,2491
April_5_2020,2273
April_4_2020,2092
April_3_2020,1986
April_2_2020,1790
April_1_2020,1677
March_31_2020,1528
March_30_2020,1414
March_29_2020,1285
March_28_2020,1155
March_27_2020,1046
March_26_2020,893
March_25_2020,790
March_24_2020,685
March_23_2020,579
March_22_2020,514
March_21_2020,450
March_20_2020,369
March_18_2020,227
March_17_2020,172
March_13_2020,69
March_12_2020,34
