Month,Daily_new_cases
Sep_30_2020,1851
Sep_29_2020,1648
Sep_28_2020,1494
Sep_27_2020,1766
Sep_26_2020,1869
Sep_25_2020,1912
Sep_24_2020,1786
Sep_23_2020,1640
Sep_22_2020,1391
Sep_21_2020,1350
Sep_20_2020,1587
Sep_19_2020,1637
Sep_18_2020,1907
Sep_17_2020,1583
Sep_16_2020,1452
Sep_15_2020,1229
Sep_14_2020,1008
Sep_13_2020,1456
Sep_12_2020,1501
Sep_11_2020,1616
Sep_10_2020,1597
Sep_9_2020,1430
Sep_8_2020,1369
Sep_7_2020,1150
Sep_6_2020,1297
Sep_5_2020,1693
Sep_4_2020,1732
Sep_3_2020,1397
Sep_2_2020,1326
Sep_1_2020,975
Aug_31__2020,996
Aug_30__2020,1365
Aug_29__2020,1444
Aug_28_2020,1460
Aug_27__2020,1409
Aug_26__2020,1366
Aug_25__2020,876
Aug_24__2020,953
Aug_23__2020,1209
Aug_22__2020,1071
Aug_21__2020,947
Aug_20__2020,840
Aug_19__2020,642
Aug_18_2020,401
Aug_17_2020,320
Aug_16_2020,477
Aug_15_2020,629
Aug_14_2020,574
Aug_13_2020,522
Aug_12_2020,476
Aug_11_2020,412
Aug_10_2020,259
Aug_9_2020,463
Aug_8_2020,347
Aug_7_2020,552
Aug_6_2020,401
Aug_5_2020,384
Aug_4_2020,190
Aug_3_2020,159
Aug_2__2020,238
Aug_1__2020,295
Jul_31__2020,379
Jul_30__2020,382
Jul_29__2020,288
Jul_28__2020,202
Jul_27__2020,168
Jul_26__2020,254
Jul_25__2020,274
Jul_24__2020,252
Jul_23_2020,306
Jul_22_2020,280
Jul_21__2020,128
Jul_20__2020,190
Jul_19_2020,218
Jul_18__2020,249
Jul_17__2020,231
Jul_16__2020,230
Jul_15__2020,162
Jul_14__2020,114
Jul_13__2020,169
Jul_12__2020,234
Jul_11__2020,188
Jul_10__2020,276
Jul_9__2020,214
Jul_8_2020,193
Jul_7_2020,137
Jul_6_2020,208
Jul_5_2020,192
Jul_4_2020,235
Jul_3_2020,223
Jul_2_2020,201
Jul_1_2020,182
Jun_30_2020,142
Jun_29_2020,126
Jun_28_2020,174
Jun_27_2020,175
Jun_26_2020,255
Jun_25_2020,296
Jun_24_2020,577
Jun_23_2020,113
Jun_22_2020,221
Jun_21_2020,224
Jun_20_2020,264
Jun_19_2020,-148
Jun_18_2020,331
Jun_17_2020,328
Jun_16_2020,210
Jun_15_2020,301
Jun_14_2020,338
Jun_13_2020,346
Jun_12_2020,163
Jun_11_2020,379
Jun_10_2020,202
Jun_9_2020,283
Jun_8_2020,280
Jun_7_2020,197
Jun_6_2020,270
Jun_5_2020,518
Jun_4_2020,177
Jun_3_2020,321
Jun_2_2020,318
Jun_1_2020,200
May_31_2020,333
May_30_2020,416
May_29_2020,516
May_28_2020,593
May_27_2020,584
May_26_2020,397
May_25_2020,300
May_24_2020,531
May_23_2020,669
May_22_2020,652
May_21_2020,642
May_20_2020,665
May_19_2020,813
May_18_2020,425
May_17_2020,675
May_16_2020,875
May_15_2020,789
May_14_2020,992
May_13_2020,888
May_12_2020,1402
May_11_2020,744
May_10_2020,802
May_9_2020,1083
May_8_2020,1327
May_7_2020,1401
May_6_2020,1444
May_5_2020,1071
May_4_2020,1221
May_3_2020,1389
May_2_2020,1900
May_1_2020,1965
Apr_30_2020,1872
Apr_29_2020,2086
Apr_28_2020,2091
Apr_27_2020,1739
Apr_26_2020,2324
Apr_25_2020,2357
Apr_24_2020,3021
Apr_23_2020,2646
Apr_22_2020,3370
Apr_21_2020,2729
Apr_20_2020,2256
Apr_19_2020,3047
Apr_18_2020,3491
Apr_17_2020,3493
Apr_16_2020,3786
Apr_15_2020,2667
Apr_14_2020,2972
Apr_13_2020,3153
Apr_12_2020,4092
Apr_11_2020,4694
Apr_10_2020,3951
Apr_9_2020,4204
Apr_8_2020,3836
Apr_7_2020,3039
Apr_6_2020,3599
Apr_5_2020,4316
Apr_4_2020,4805
Apr_3_2020,4585
Apr_2_2020,4668
Apr_1_2020,4782
Mar_31_2020,4053
Mar_30_2020,4050
Mar_29_2020,5217
Mar_28_2020,5974
Mar_27_2020,5909
Mar_26_2020,6153
Mar_25_2020,5210
Mar_24_2020,5249
Mar_23_2020,4789
Mar_22_2020,5560
Mar_21_2020,6557
Mar_20_2020,5986
Mar_19_2020,5322
Mar_18_2020,4207
Mar_17_2020,3526
Mar_16_2020,3233
Mar_15_2020,3590
Mar_14_2020,3497
Mar_13_2020,2547
Mar_12_2020,2651
Mar_11_2020,2313
Mar_10_2020,977
Mar_9_2020,1797
Mar_8_2020,1429
Mar_7_2020,1247
Mar_6_2020,778
Mar_5_2020,769
Mar_4_2020,587
Mar_3_2020,466
Mar_2_2020,335
Mar_1_2020,573
Feb_29_2020,239
Feb_28_2020,234
Feb_27_2020,185
Feb_26_2020,147
Feb_25_2020,94
Feb_24_2020,72
Feb_23_2020,78
Feb_22_2020,58
