"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
September_10_2016_Tulsa_vs._Ohio_St._(American_Big_Ten_(ABC),2.5,4016.0
September_10_2016_UCF_vs._Michigan_(American_Big_Ten)_(ABC),1.9,2863.0
September_10_2016_Kentucky_vs._Florida_(SEC)_(CBS),1.6,2517.0
September_10_2016_Arkansas_vs._TCU_(SEC_Big_12)_(ESPN),1.5,2470.0
September_10_2016_W._Kentucky_vs._Alabama_(C-USA_SEC)_(ESPN2),1.4,2467.0
September_10_2016_Nevada_vs._Notre_Dame_(MWC_Ind.)_(NBC),1.6,2451.0
September_10_2016_Penn_State_vs._Pittsburgh_(Big_Ten_ACC)_(ESPN),1.6,2388.0
September_10_2016_College_Gameday_(ESPN),0,1861.0
September_10_2016_BYU_vs._Utah_(Ind._Pac-12)_(FOX),1,1693.0
September_10_2016_Virginia_vs._Oregon_(ACC_Pac-12)_(ESPN),1,1579.0
September_10_2016_South_Carolina_vs._Miss._St._(SEC)_(ESPN2),0.8,1426.0
September_10_2016_Wyoming_vs._Nebraska_(MWC_Big_Ten)_(ESPN2),0.6,1126.0
September_10_2016_Texas_Tech_vs._Arizona_St._(Big_12_Pac-12)_(FS1),0.4,834.0
September_10_2016_Jacksonville_St._vs._LSU_(FCS_SEC)_(ESPNU),0,800.0
September_10_2016_Wash._St._vs._Boise_St._(Pac-12_MWC)_(ESPN2),0.4,684.0
September_10_2016_SMU_vs._Baylor_(American_Big_12)_(FS1),0.4,668.0
September_10_2016_CMU_vs._Oklahoma_St._(MAC_Big_12)_(FS1),0.3,519.0
September_10_2016_N.C._State_vs._ECU_(ACC_American)_(ESPNU),0,397.0
September_10_2016_Wake_Forest_vs._Duke_(ACC)_(ESPNU),0,397.0
September_10_2016_E._Michigan_vs._Missouri_(MAC_SEC)_(ESPNU),0,380.0
September_10_2016_Morgan_St._vs._Marshall_(FCS_C-USA)_(beIN),0,6.0
September_15_2016_Houston_vs._Cincinnati_(American)_(ESPN),0,2159.0
September_16_2016_Baylor_vs._Rice_(Big_12_C-USA)_(ESPN),0.9,1454.0
September_16_2016_Arizona_State_vs._UTSA_(Pac-12_C-USA)_(ESPN2),0.4,720.0
September_17_2016_Alabama_vs._Mississippi_(SEC)_(CBS),5,8169.0
September_17_2016_FSU_vs._Louisville_(ACC)_(ABC),4,6216.0
September_17_2016_Ohio_State_vs._Oklahoma_(Big_Ten_Big_12)_(FOX),3.4,5804.0
September_17_2016_Michigan_State_vs._Notre_Dame_(Big_Ten_Ind.)_(NBC),2.9,4987.0
September_17_2016_Oregon_vs._Nebraska_(Pac-12_Big_Ten)_(ABC),2.55,4228.0
September_17_2016_USC_vs._Stanford_(Pac-12)_(ABC),1.8,2877.0
September_17_2016_Texas_vs._California_(Big_Ten_Pac-12)_(ESPN),1.5,2447.0
September_17_2016_Texas_A&M_vs._Auburn_(SEC)_(ESPN),1.2,2088.0
September_17_2016_College_Gameday_(ESPN),0,1957.0
September_17_2016_Miss._State_vs._LSU_(SEC)_(ESPN2),0.7,1191.0
September_17_2016_Pittsburgh_vs._Oklahoma_State_(ACC_Big_12)_(ESPN),0.6,1000.0
September_17_2016_NDSU_vs._Iowa_(FCS_Big_Ten)_(ESPN2),0.6,968.0
September_17_2016_Miami_vs._App._State_(ACC_Sun_Belt)_(ESPN),0.6,955.0
September_17_2016_UCLA_vs._BYU_(Pac-12_Ind.)_(ESPN2),0.5,764.0
September_17_2016_North_Texas_vs._Florida_(C-USA_SEC)_(ESPNU),0,543.0
September_17_2016_Iowa_State_vs._TCU_(Big_12)_(FS1),0.2,280.0
September_17_2016_Boston_College_vs._Virginia_Tech_(ACC)_(ESPNU),0,214.0
September_17_2016_Kansas_vs._Memphis_(Big_12_American)_(ESPNU),0,145.0
September_17_2016_Troy_vs._Southern_Miss_(Sun_Belt_C-USA)_(beIN),0,23.0
September_22_2016_Clemson_vs._Ga._Tech_(ACC)_(ESPN),1.1,1813.0
September_23_2016_TCU_vs._SMU_(Big_12_American)_(ESPN),0.9,1357.0
September_23_2016_USC_vs._Utah_(Pac-12)_(FS1),0.7,1042.0
September_24_2016_Florida_vs._Tennessee_(SEC)_(CBS),3.3,5.54
September_24_2016_LSU_vs._Auburn_(SEC)_(CBS),2.4,4098.0
September_24_2016_Arkansas_vs._Texas_A&M_(SEC)_(ESPN),2.3,3872.0
September_24_2016_Stanford_vs._UCLA_(Pac-12)_(ABC),2.4,3786.0
September_24_2016_Penn_State_vs._Michigan_(Big_Ten)_(ABC),2.4,3764.0
September_24_2016_Georgia_vs._Mississippi_(SEC)_(ESPN),1.7,2696.0
September_24_2016_Duke_vs._Notre_Dame_(ACC_Ind.)_(NBC),1.7,2627.0
September_24_2016_FSU_vs._USF_(ACC_American)_(ABC),1.7,2557.0
September_24_2016_College_Gameday_(ESPN),0,1800.0
September_24_2016_Oklahoma_St._vs._Baylor_(Big_12)_(FOX),1.1,1747.0
September_24_2016_BYU_vs._West_Virginia_(Ind._Big_12)_(ESPN2),0.6,952.0
September_24_2016_Iowa_vs._Rutgers_(Big_Ten)_(ESPN2),0.5,815.0
September_24_2016_Cal_vs._Arizona_St._(Pac-12)_(ESPN2),0.4,643.0
September_24_2016_Pittsburgh_vs._UNC_(ACC)_(ESPNU),0,440.0
September_24_2016_Boise_St._vs._Oregon_St._(Pac-12)_(FS1),0.2,372.0
September_24_2016_Colorado_St._vs._Minnesota_(MWC_Big_Ten)_(ESPNU),0,319.0
September_24_2016_Houston_vs._Texas_St._(American_Sun_Belt)_(ESPNU),0,252.0
September_24_2016_Air_Force_vs._Utah_St._(MWC)_(ESPNU),0,109.0
September_24_2016_UCF_vs._FIU_(American_C-USA)_(beIN),0,16.0
September_29_2016_UConn_vs._Houston_(American)_(ESPN),0.9,1421.0
September_29_2016_Kansas_vs._Texas_Tech_(Big12)_(FS1),0.3,513.0
September_30_2016_Stanford_vs._Washington_(Pac-12)_(ESPN),2,3.33
September_30_2016_Toledo_vs._BYU_(MAC_Ind.)_(ESPN2),0,579.0
October_1_2016_Louisville_vs._Clemson_(ACC)_(ABC),5.5,9294.0
October_1_2016_Wisconsin_vs._Michigan_(Big_Ten)_(ABC),4.3,6851.0
October_1_2016_Georgia_vs._Tennessee_(SEC)_(CBS),2.5,4215.0
October_1_2016_Texas_vs._Oklahoma_St._(Big_12)_(ABC),2.4,3799.0
October_1_2016_Kentucky_vs._Alabama_(SEC)_(ESPN),1.9,3190.0
October_1_2016_Notre_Dame_vs._Syracuse_(Ind._SEC)_(ESPN),1.4,2104.0
October_1_2016_Oklahoma_vs._TCU_(Big_12)_(FOX),1.3,2044.0
October_1_2016_College_Gameday_(ESPN),0,1828.0
October_1_2016_UNC_vs._FSU_(ACC)_(ESPN),1.1,1743.0
October_1_2016_Arizona_St._vs._USC_(Pac-12)_(FOX),0.9,1459.0
October_1_2016_Illinois_vs._Nebraska_(Big_Ten)_(ESPN2),0.7,1146.0
October_1_2016_Miami_vs._Ga._Tech_(ACC)_(ESPN2),0.7,1040.0
October_1_2016_Arizona_vs._UCLA_(Pac-12)_(ESPN),0.7,1027.0
October_1_2016_Memphis_vs._Mississippi_(American_SEC)_(ESPN2),0.3,566.0
October_1_2016_K-State_vs._West_Virginia_(Big_12)_(ESPNU),0,545.0
October_1_2016_Northwestern_vs._Iowa_(Big_Ten)_(ESPNU),0,539.0
October_1_2016_Baylor_vs._Iowa_St._(Big_12)_(FS1),0.3,461.0
October_1_2016_Utah_St._vs._Boise_St._(MWC)_(ESPN2),0.2,358.0
October_1_2016_USF_vs._Cincinnati_(American)_(ESPNU),0,144.0
October_1_2016_Wyoming_vs._Colorado_St._(MWC)_(ESPNU),0,131.0
October_1_2016_FAU_vs._FIU_(C-USA)_(beIN),0,3.0
October_6_2016_Temple_vs._Memphis_(American)_(ESPN),0.4,626.0
October_7_2016_Clemson_vs._Bos._College_(ACC)_(ESPN),1,1659.0
October_7_2016_SMU_vs._Tulsa_(ACC)_(ESPN2),0,410.0
October_8_2016_Tennessee_vs._Texas_A&M_(SEC)_(CBS),3.9,6553.0
October_8_2016_FSU_vs._Miami_(ACC)_(ABC),3.2,5540.0
October_8_2016_Alabama_vs._Arkansas_(SEC)_(ESPN),2.55,4444.0
October_8_2016_Notre_Dame_vs._N.C._State_(Ind._ACC)_(ABC),2.4,3720.0
October_8_2016_VUT_vs._UNC_or_BYU_vs._MSU_(ACC/Ind_B1G_)_(ABC),2,3252.0
October_8_2016_Indiana_vs._Ohio_State_(Big_Ten)_(ESPN),1.9,3218.0
October_8_2016_Texas_vs._Oklahoma_(Big_12)_(FS1),1.7,2788.0
October_8_2016_Auburn_vs._Miss._St._(SEC)_(ESPN),1.2,1918.0
October_8_2016_Washington_vs._Oregon_(Pac-12)_(FOX),1.1,1837.0
October_8_2016_Wash._St._vs._Stanford_(Pac-12)_(ESPN),1.05,1754.0
October_8_2016_Michigan_vs._Rutgers_(Big_Ten)_(ESPN2),0.75,1282.0
October_8_2016_Iowa_vs._Minnesota_(Big_Ten)_(ESPN2),0.7,1048.0
October_8_2016_UCLA_vs._Arizona_St._(Pac-12)_(ESPN2),0.5,783.0
October_8_2016_ABC_Reverse_Mirror_(ESPN2),0.3,507.0
October_8_2016_Arizona_vs._Utah_(Pac-12)_(FS1),0.2,350.0
October_12_2016_App._State_vs._UL-Lafayette_(Sun_Belt)_(ESPN2),0,541.0
October_14_2016_Duke_vs._Louisville_(ACC)_(ESPN),0,1881.0
October_14_2016_Miss._St._vs._BYU_(SEC_Ind.)_(ESPN),1,1475.0
October_14_2016_Memphis_vs._Tulane_(American)_(ESPNU),0,185.0
October_15_2016_Ohio_State_vs._Wisconsin_(Big_Ten)_(ABC),5.2,8964.0
October_15_2016_Alabama_vs._Tennessee_(SEC)_(CBS),3.9,6582.0
October_15_2016_N.C._State_vs._Clemson_(ACC)_(ABC),3,4506.0
October_15_2016_UNC_vs._MIA_or_NEB_vs._IND_(ACC_Big_Ten)_(ABC),2.3,3713.0
October_15_2016_Stanford_vs._Notre_Dame_(Pac-12_Ind.)_(NBC),1.8,2870.0
October_15_2016_Mississippi_vs._Arkansas_(SEC)_(ESPN),1.45,2540.0
October_15_2016_Kansas_St._vs._Oklahoma_(Big_12)_(ESPN),1.2,1775.0
October_15_2016_UCLA_vs._Wash._St._(Pac-12)_(ESPN),0.9,1311.0
October_15_2016_Wake_Forest_vs._FSU_(ACC)_(ESPN),0.6,961.0
October_15_2016_USC_vs._Arizona_(Pac-12)_(FOX),0.6,871.0
October_15_2016_W._Virginia_vs._Texas_Tech_(Big_12)_(FS1),0.5,834.0
October_15_2016_Iowa_vs._Purdue_(Big_Ten)_(ESPN2),0.4,631.0
October_15_2016_Tulsa_vs._Houston_(American)_(ESPN2),0.3,454.0
October_15_2016_ABC_reverse_mirror_(ESPN2),0.3,449.0
October_15_2016_Kansas_vs._Baylor_(Big_12)_(FS1),0.3,364.0
October_15_2016_Colorado_St._vs._Boise_St._(MWC)_(ESPN2),0.2,344.0
October_15_2016_Minnesota_vs._Maryland_(Big_Ten)_(ESPNU),0,312.0
October_15_2016_Va._Tech_vs._Syracuse_(ACC)_(ESPNU),0,295.0
October_15_2016_Temple_vs._UCF_(American)_(ESPNU),0,100.0
October_15_2016_UTSA_vs._Rice_(C-USA)_(beIN),0,13.0
October_20_2016_Miami_vs._Va._Tech_(ACC)_(ESPN),0,1400.0
October_20_2016_BYU_vs._Boise_St._(Ind._MWC)_(ESPN),0,986.0
October_20_2016_Troy_vs._S._Alabama_(Sun_Belt)_(ESPNU),0,165.0
October_21_2016_Oregon_vs._California_(Pac-12)_(ESPN),0,1516.0
October_21_2016_USF_vs._Temple_(American)_(ESPN),0,1300.0
October_21_2016_SJSU_vs._SDSU_(MWC)_(ESPNU),0,199.0
October_22_2016_Texas_A&M_vs._Alabama_(SEC)_(CBS),5.05,8455.0
October_22_2016_Ohio_State_vs._Penn_State_(Big_Ten)_(ABC),3.9,6478.0
October_22_2016_Wisconsin_vs._Iowa_(Big_Ten)_(ESPN),2,3241.0
October_22_2016_TCU/WVU_or_PUR/NEB_(Big_12_Big_Ten)_(ABC),1.9,3183.0
October_22_2016_Mississippi_vs._LSU_(SEC)_(ESPN),1.6,2669.0
October_22_2016_Oklahoma_vs._Texas_Tech_(Big_12)_(FOX),1.4,2343.0
October_22_2016_Arkansas_vs._Auburn_(SEC)_(ESPN),1.25,2130.0
October_22_2016_College_Gameday_from_Alabama_(ESPN),0,1813.0
October_22_2016_Utah_vs._UCLA_(Pac-12)_(FOX),0.9,1368.0
October_22_2016_Texas_vs._Kansas_St._(Big_12)_(ESPN),0.8,1295.0
October_22_2016_ESPN_Goal_Line_(ESPN),0.4,631.0
October_22_2016_ABC_Reverse_Mirror_(ESPN2),0.3,517.0
October_22_2016_Houston_vs._SMU_(American)_(ESPN2),0.3,473.0
October_22_2016_Oklahoma_St._vs._Kansas_(Big_12)_(FS1),0.3,454.0
October_22_2016_Wyoming_vs._Nevada_(MWC)_(ESPN2),0.2,282.0
October_22_2016_Rutgers_vs._Minnesota_(Big_Ten)_(ESPNU),0,274.0
October_22_2016_Tenn._St._vs._Vanderbilt_(FCS_SEC)_(ESPNU),0,152.0
October_22_2016_Tulane_vs._Tulsa_(American)_(ESPNU),0,69.0
October_22_2016_Charlotte_vs._Marshall_(C-USA)_(beIN),0,42.0
October_27_2016_Va._Tech_vs._Pittsburgh_(ACC)_(ESPN),1.2,1848.0
October_27_2016_Cal_vs._USC_(Pac-12)_(ESPN),0.8,1107.0
October_27_2016_App._State_vs._Ga._Southern_(Sun_Belt)_(ESPNU),0,105.0
October_28_2016_Navy_vs._USF_(American)_(ESPN2),0,556.0
October_28_2016_Air_Force_vs._Fresno_St._(MWC)_(ESPN2),0,435.0
October_29_2016_Clemson_vs._FSU_(ACC)_(ABC),3.2,5380.0
October_29_2016_Michigan_vs._Michigan_St._(Big_Ten)_(ESPN),2.9,4647.0
October_29_2016_Florida_vs._Georgia_(SEC)_(CBS),2.6,4454.0
October_29_2016_Nebraska_vs._Wisconsin_(Big_Ten)_(ESPN),2.15,3770.0
October_29_2016_Northwestern_vs._Ohio_State_(Big_Ten)_(ESPN),2.2,3657.0
October_29_2016_Baylor_vs._Texas_(Big_12)_(ABC),2.2,3513.0
October_29_2016_LOU_vs._UVA/PSU_vs._PUR_(ACC/Big_Ten)_(ABC),1.95,2920.0
October_29_2016_Miami_vs._Notre_Dame_(ACC_Ind.)_(NBC),1.7,2634.0
October_29_2016_West_Virginia_vs._Oklahoma_St._(Big_12)_(FOX),1.3,1963.0
October_29_2016_Tennessee_vs._S._California_(SEC)_(ESPN2),0.9,1519.0
October_29_2016_Washington_vs._Utah_(Pac-12)_(FS1),0.9,1376.0
October_29_2016_Wash._St._vs._Oregon_St._(Pac-12)_(ESPN2),0.5,815.0
October_29_2016_Kansas_vs._Oklahoma_(Big_12)_(FS1),0.4,636.0
October_29_2016_Texas_Tech_vs._TCU_(Big_12)_(ESPN2),0.3,505.0
October_29_2016_ABC_reverse_mirror_(ESPN2),0.3,486.0
October_29_2016_Stanford_vs._Arizona_(Pac-12)_(FS1),0.2,370.0
November_1_2016_W._Michigan_vs._Ball_St._(MAC)_(ESPN2),0,321.0
November_1_2016_BGSU_vs._N._Illinois_(MAC)_(ESPNU),0,46.0
November_2_2016_Toldeo_vs._Akron_(MAC)_(ESPN2),0,217.0
November_3_2016_Oklahoma_vs._Iowa_St._(Big_12)_(ESPN),0,1399.0
November_3_2016_UCLA_vs._Colorado_(Pac-12)_(FS1),0,536.0
November_3_2016_Ark._State_vs._Georgia_St._(Sun_Belt)_(ESPNU),0,82.0
November_4_2016_SJSU_vs._Boise_St._(MWC)_(ESPN2),0.4,658.0
November_4_2016_Temple_vs._UConn_(American)_(ESPN2),0,523.0
November_5_2016_Alabama_vs._LSU_(SEC)_(CBS),5.8,10385.0
November_5_2016_Nebraska_vs._Ohio_St._(Big_Ten)_(ABC),2.8,4969.0
November_5_2016_Florida_vs._Arkansas_(SEC)_(CBS),2.6,4261.0
November_5_2016_SYR/CLEM_or_OKST/KST_(ACC_Big_12)_(ABC),1.7,2595.0
November_5_2016_Notre_Dame_vs._Navy_(Ind._American)_(CBS),1.6,2420.0
November_5_2016_Wisconsin_vs._N'Western_(Big_Ten)_(ABC),1.6,2397.0
November_5_2016_Maryland_vs._Michigan_(Big_Ten)_(ESPN),1.5,2320.0
November_5_2016_Vanderbilt_vs._Auburn_(SEC)_(ESPN),1.3,2057.0
November_5_2016_Washington_vs._Cal_(Pac-12)_(ESPN),1.2,2007.0
November_5_2016_College_Gameday_(ESPN),0,1623.0
November_5_2016_Oregon_vs._USC_(Pac-12)_(ESPN),0.9,1477.0
November_5_2016_TCU_vs._Baylor_(Big_12)_(FOX),0.9,1365.0
November_5_2016_Texas_vs._Texas_Tech_(Big_12)_(FS1),0.65,1051.0
November_5_2016_FSU_vs._N.C._State_(ACC)_(ESPNU),0,828.0
November_5_2016_Kansas_vs._West_Virginia_(Big_12)_(ESPN2),0.4,827.0
November_5_2016_Louisville_vs._Boston_College_(ACC)_(ESPN2),0.4,653.0
November_5_2016_Oregon_vs._Stanford_(Pac-12)_(FS1),0.4,592.0
November_5_2016_ABC_reverse_mirror_(ESPN2),0.3,451.0
November_5_2016_Va._Tech_vs._Duke_(ACC)_(ESPNU),0,338.0
November_5_2016_Utah_St._vs._Wyoming_(MWC)_(ESPN2),0.2,325.0
November_5_2016_Ga._Southern_vs._Mississippi_(Sun_Belt_SEC)_(ESPNU),0,209.0
November_5_2016_FIU_vs._WKU_(C-USA)_(beIN),0,2.0
November_8_2016_CFP_Rankings_Show_(ESPN),0,696.0
November_8_2016_W._Michigan_vs._Kent_St._(MAC)_(ESPN2),0,487.0
November_9_2016_Toledo_vs._N._Illinois_(MAC)_(ESPN),0,446.0
November_9_2016_Bowling_Green_vs._Akron_(MAC)_(ESPNU),0,98.0
November_10_2016_UNC_vs._Duke_(ACC)_(ESPN),0,1551.0
November_10_2016_Utah_vs._Arizona_St._(Pac-12)_(FS1),0.3,512.0
November_10_2016_UL-Lafayette_vs._Southern_(Sun_Belt)_(ESPNU),0,70.0
November_11_2016_Bos._College_vs._FSU_(ACC)_(ESPN2),0,1152.0
November_12_2016_Michigan_vs._Iowa_(Big_Ten)_(ABC),3.8,6.44
November_12_2016_Auburn_vs._Georgia_(SEC)_(CBS),2.9,4992.0
November_12_2016_Pittsburgh_vs._Clemson_(ACC)_(ABC),3,4926.0
November_12_2016_USC_vs._Washington_(Pac-12)_(FOX),2.5,4.3
November_12_2016_PSU/IND_or_BAY/OKLA_(Big_Ten_Big_12)_(ABC),2.4,3751.0
November_12_2016_Miss._St._vs._Alabama_(SEC)_(ESPN),2,3257.0
November_12_2016_S._Carolina_vs._Florida_(SEC)_(CBS),1.5,2450.0
November_12_2016_LSU_vs._Arkansas_(SEC)_(ESPN),1.4,2351.0
November_12_2016_Ohio_State_vs._Maryland_(Big_Ten)_(ESPN),1.45,2291.0
November_12_2016_College_Gameday_from_Seattle_(ESPN),0,1870.0
November_12_2016_Army_vs._Notre_Dame_(Ind.)_(NBC),1,1515.0
November_12_2016_West_Virginia_vs._Texas_(Big_12)_(FS1),0.7,1269.0
November_12_2016_Cal_vs._Wash._St._(Pac-12)_(ESPN),0.7,1005.0
November_12_2016_Wake_Forest_vs._Louisville_(ACC)_(ESPN2),0.6,986.0
November_12_2016_Texas_Tech_vs._Okla._St._(Big_12)_(FS1),0.6,901.0
November_12_2016_Illinois_vs._Wisconsin_(Big_Ten)_(ESPN2),0.5,811.0
November_12_2016_ABC_reverse_mirror_(ESPN2),0.3,512.0
November_12_2016_Ga._Tech_vs._Va._Tech_(ACC)_(ESPNU),0,377.0
November_12_2016_Colorado_vs._Arizona_(Pac-12)_(FS1),0.2,374.0
November_12_2016_New_Mexico_vs._Utah_State_(MWC)_(ESPN2),0.2,268.0
November_12_2016_USF_vs._Memphis_(American)_(ESPNU),0,169.0
November_12_2016_Colorado_St._vs._Air_Force_(MWC)_(ESPNU),0,128.0
November_12_2016_Cincinnati_vs._UCF_(American)_(ESPNU),0,112.0
November_15_2016_CFP_Rankings_Show_(ESPN),1.7,2651.0
November_15_2016_Ohio_vs._C._Michigan_(MAC)_(ESPN2),0,386.0
November_15_2016_Kent_State_vs._Bowl._Green_(MAC)_(ESPNU),0,74.0
November_16_2016_Ball_State_vs._Toledo_(MAC)_(ESPN2),0,423.0
November_16_2016_N._Illinois_vs._E._Michigan_(MAC)_(ESPNU),0,135.0
November_17_2016_Louisville_vs._Houston_(ACC_American)_(ESPN),1.5,2432.0
November_17_2016_Ark._State_vs._Troy_(Sun_Belt)_(ESPNU),0,109.0
November_18_2016_UNLV_vs._Boise_State_(MWC)_(ESPN2),0.5,763.0
November_19_2016_Ohio_State_vs._Michigan_State_(Big_Ten)_(ESPN),3.7,5843.0
November_19_2016_Indiana_vs._Michigan_(Big_Ten)_(ESPN),2.9,4769.0
November_19_2016_Oklahoma_St._vs._W._Virginia_(Big_12)_(ABC),2.3,3825.0
November_19_2016_FSU/SYR_or_TEX/KAN_(ACC_Big_12)_(ABC),1.7,2568.0
November_19_2016_Missouri_vs._Tennessee_(SEC)_(CBS),1.5,2453.0
November_19_2016_Va._Tech_vs._Notre_Dame_(ACC_Ind.)_(NBC),1.5,2449.0
November_19_2016_Chattanooga_vs._Alabama_(FCS_SEC)_(ESPN2),1.5,2437.0
November_19_2016_USC_vs._UCLA_(Pac-12)_(ESPN),1.4,2301.0
November_19_2016_Arizona_St._vs._Washington_(Pac-12)_(FOX),1.3,2181.0
November_19_2016_Wash._St._vs._Colorado_(Pac-12)_(FOX),1.3,2114.0
November_19_2016_College_Gameday_from_WMU_(ESPN),0,2082.0
November_19_2016_Clemson_vs._Wake_Forest_(ACC)_(ESPN),1.2,2076.0
November_19_2016_Wisconsin_vs._Purdue_(Big_Ten)_(ABC),1.3,1850.0
November_19_2016_Arkansas_vs._Mississippi_(SEC)_(ESPNU),0,715.0
November_19_2016_K-State_vs._Baylor_(Big_12)_(ESPN2),0.3,544.0
November_19_2016_New_Mexico_vs._Colorado_St._(MWC)_(ESPN2),0.3,514.0
November_19_2016_Oklahoma_St._vs._TCU_(Big_12)_(FS1),0.3,508.0
November_19_2016_ABC_reverse_mirror_(ESPN),0.3,441.0
November_19_2016_Texas_Tech_vs._Iowa_State_(Big_12)_(FS1),0.2,346.0
November_19_2016_UTSA_vs._Texas_A&M_(C-USA_SEC)_(ESPNU),0,277.0
November_19_2016_Buffalo_vs._W._Michigan_(MAC)_(ESPNU),0,187.0
November_19_2016_So._Miss_vs._No._Texas_(C-USA)_(beIN),0,12.0
November_22_2016_CFP_Rankings_Show_(ESPN),0,991.0
November_22_2016_Akron_vs._Ohio_(MAC)_(ESPNU),0,277.0
November_24_2016_LSU_vs._Texas_A&M_(SEC)_(ESPN),1.3,2774.0
November_25_2016_Nebraska_vs._Iowa_(Big_Ten)_(ABC),2.4,4169.0
November_25_2016_Houston_vs._Memphis_(American)_(ABC),1.9,3093.0
November_25_2016_Washington_vs._Wash._St._(Pac-12)_(FOX),1.7,2818.0
November_25_2016_Arkansas_vs._Missouri_(SEC)_(CBS),1.5,2498.0
November_25_2016_Baylor_vs._Texas_Tech_(Big_12)_(ESPN),0,1787.0
November_25_2016_Arizona_St._vs._Arizona_(Pac-12)_(ESPN),1,1672.0
November_25_2016_N.C._State_vs._UNC_(ACC)_(ESPN),0,1384.0
November_25_2016_TCU_vs._Texas_(Big_12)_(FS1),0,986.0
November_25_2016_Toledo_vs._W._Michigan_(MAC)_(ESPN2),0.4,665.0
November_25_2016_Cincinnati_vs._Tulsa_(American)_(ESPN2),0,526.0
November_26_2016_Michigan_vs._Ohio_State_(Big_Ten)_(ABC),9.4,16841.0
November_26_2016_Auburn_vs._Alabama_(SEC)_(CBS),4.5,8242.0
November_26_2016_Florida_vs._FSU_(SEC_ACC)_(ABC),3.6,6437.0
November_26_2016_Notre_Dame_vs._USC_(Ind._Pac-12)_(ABC),3.4,5695.0
November_26_2016_Michigan_St._vs._Penn_State_(Big_Ten)_(ESPN),2,3715.0
November_26_2016_Utah_vs._Colorado_(Pac-12)_(FOX),1.7,3060.0
November_26_2016_S._Carolina_vs._Clemson_(SEC_ACC)_(ESPN),1.5,2656.0
November_26_2016_College_Gameday_from_Ohio_State_(ESPN),0,2614.0
November_26_2016_Kentucky_vs._Louisville_(SEC_ACC)_(ESPN),0.9,1564.0
November_26_2016_College_Gameday_bonus_coverage_(ESPN),0,862.0
November_26_2016_W._Virginia_vs._Iowa_St._(Big_12)_(FS1),0.3,594.0
November_26_2016_UCLA_vs._Cal_(Pac-12)_(ESPN2),0.4,579.0
November_26_2016_Duke_vs._Miami_(ACC)_(ESPN2),0.3,505.0
November_26_2016_Virginia_vs._Va._Tech_(ACC)_(ESPN2),0.3,453.0
November_26_2016_Wyoming_vs._New_Mexico_(MWC)_(ESPN2),0.2,333.0
November_26_2016_Utah_State_vs._BYU_(MWC_Ind.)_(ESPNU),0,320.0
November_26_2016_Kansas_vs._K-State_(Big_12)_(FS1),0.2,264.0
November_26_2016_Grambling_vs._Southern_(SWAC)_(NBCSN),0.1,200.0
November_26_2016_Purdue_vs._Indiana_(Big_Ten)_(ESPNU),0,181.0
November_26_2016_WKU_vs._Marshall_(C-USA)_(ESPNU),0,133.0
