Month,Number_of_tests
Aug_26_2020,2449
Aug_25_2020,2850
Aug_24_2020,2352
Aug_23_2020,1656
Aug_22_2020,1711
Aug_21_2020,2403
Aug_20_2020,3290
Aug_19_2020,2530
Aug_18_2020,3182
Aug_17_2020,2695
Aug_16_2020,2159
Aug_15_2020,3538
Aug_14_2020,3342
Aug_13_2020,2801
Aug_12_2020,3210
Aug_11_2020,3305
Aug_10_2020,3450
Aug_9_2020,3161
Aug_8_2020,2599
Aug_7_2020,3024
Aug_6_2020,3001
Aug_5_2020,2979
Aug_4_2020,1746
Aug_3_2020,3035
Aug_2_2020,3240
Aug_1_2020,3188
Jul_31_2020,2511
Jul_30_2020,2488
Jul_29_3030,1890
Jul_28_3030,1810
Jul_27_3030,1584
Jul_26_2020,1334
Jul_25_2020,1725
Jul_24_2020,1704
Jul_23_2020,1645
Jul_22_2020,2171
Jul_21_2020,877
Jul_20_2020,1634
Jul_19_2020,1229
Jul_18_2020,1450
Jul_17_2020,1649
Jul_16_2020,1167
Jul_15_2020,2055
Jul_14_2020,2170
Jul_13_2020,1964
Jul_12_2020,2149
Jul_11_2020,2103
Jul_10_2020,1467
Jul_09_2020,2300
Jul_08_2020,1472
Jul_07_2020,1909
Jul_06_2020,1504
Jul_05_2020,1964
Jul_04_2020,1951
Jul_03_2020,1887
Jul_02_2020,1944
Jul_01_2020,1003
Jun_30_2020,2041
Jun_29_2020,1880
Jun_28_2020,1615
Jun_27_2020,1140
Jun_26_2020,1273
Jun_25_2020,992
Jun_24_2020,558
Jun_23_2020,1499
Jun_22_2020,887
Jun_21_2020,779
Jun_20_2020,1025
Jun_19_2020,844
Jun_18_2020,741
Jun_17_2020,700
Jun_16_2020,1027
Jun_15_2020,876
Jun_14_2020,14
Jun_13_2020,60
Jun_12_2020,79
Jun_11_2020,69
Jun_10_2020,65
Jun_09_2020,41
Jun_08_2020,68
Jun_07_2020,7
Jun_06_2020,27
Jun_05_2020,538
Jun_04_2020,550
Jun_03_2020,325
Jun_02_2020,199
Jun_01_2020,18
May_31_2020,16
May_30_2020,97
May_29_2020,534
May_28_2020,350
May_27_2020,528
May_26_2020,526
May_25_2020,231
May_24_2020,12
May_23_2020,58
May_22_2020,491
May_21_2020,70
May_20_2020,597
May_19_2020,441
May_18_2020,305
May_17_2020,7
May_16_2020,133
May_15_2020,523
May_14_2020,593
May_13_2020,551
May_12_2020,284
May_11_2020,578
May_10_2020,18
May_09_2020,935
May_08_2020,515
May_07_2020,462
May_06_2020,620
May_05_2020,318
May_04_2020,868
May_03_2020,71
May_02_2020,404
May_01_2020,867
Apr_30_2020,722
Apr_29_2020,840
Apr_28_2020,508
Apr_27_2020,688
Apr_26_2020,25
Apr_25_2020,381
Apr_24_2020,685
Apr_23_2020,193
Apr_22_2020,625
Apr_21_2020,637
Apr_20_2020,688
Apr_19_2020,381
Apr_18_2020,1671
Apr_17_2020,1555
Apr_16_2020,1332
Apr_15_2020,818
Apr_14_2020,1047
Apr_13_2020,851
Apr_12_2020,235
Apr_11_2020,618
Apr_10_2020,510
Apr_09_2020,1502
Apr_08_2020,1676
Apr_07_2020,1955
Apr_06_2020,1112
Apr_05_2020,2486
Apr_04_2020,1754
Apr_03_2020,1445
Apr_02_2020,1265
Apr_01_2020,1414
Mar_31_2020,1612
Mar_30_2020,1420
Mar_29_2020,1000
Mar_28_2020,849
Mar_27_2020,1022
Mar_26_2020,998
Mar_25_2020,888
Mar_24_2020,967
Mar_23_2020,459
Mar_22_2020,183
Mar_21_2020,350
Mar_20_2020,579
Mar_19_2020,1311
Mar_18_2020,1828
Mar_17_2020,1400
Mar_16_2020,1707
Mar_15_2020,1075
Mar_14_2020,323
Mar_13_2020,357
Mar_12_2020,253
Mar_11_2020,149
Mar_10_2020,169
Mar_09_2020,98
Mar_08_2020,37
Mar_07_2020,58
Mar_06_2020,57
Mar_05_2020,62
Mar_04_2020,81
Mar_03_2020,45
Mar_02_2020,48
Mar_01_2020,22
Feb_29_2020,32
Feb_28_2020,13
Feb_27_2020,23
