Month,Number_of_patients
Jun_05_2020,85
Jun_04_2020,97
Jun_03_2020,100
Jun_02_2020,99
Jun_01_2020,103
May_31_2020,98
May_30_2020,100
May_29_2020,106
May_28_2020,110
May_27_2020,107
May_26_2020,112
May_25_2020,116
May_24_2020,115
May_23_2020,118
May_22_2020,119
May_21_2020,122
May_20_2020,127
May_19_2020,141
May_18_2020,144
May_17_2020,133
May_16_2020,140
May_15_2020,137
May_14_2020,147
May_13_2020,164
May_12_2020,177
May_11_2020,198
May_10_2020,196
May_09_2020,194
May_08_2020,205
May_07_2020,199
May_06_2020,209
May_05_2020,228
May_04_2020,252
May_03_2020,243
May_02_2020,232
May_01_2020,249
Apr_30_2020,255
Apr_29_2020,267
Apr_28_2020,284
Apr_27_2020,310
Apr_26_2020,285
Apr_25_2020,290
Apr_24_2020,320
Apr_23_2020,319
Apr_22_2020,324
Apr_21_2020,335
Apr_20_2020,336
Apr_19_2020,319
Apr_18_2020,317
Apr_17_2020,350
Apr_16_2020,353
Apr_15_2020,362
Apr_14_2020,380
Apr_13_2020,388
Apr_12_2020,396
Apr_11_2020,408
Apr_10_2020,401
Apr_09_2020,433
Apr_08_2020,453
Apr_07_2020,472
Apr_06_2020,497
Apr_05_2020,498
Apr_04_2020,503
Apr_03_2020,516
Apr_02_2020,531
Apr_01_2020,535
Mar_31_2020,529
Mar_30_2020,533
Mar_29_2020,499
Mar_28_2020,459
Mar_27_2020,430
Mar_26_2020,386
Mar_25_2020,350
Mar_24_2020,301
Mar_23_2020,254
Mar_22_2020,232
Mar_21_2020,206
Mar_20_2020,186
Mar_19_2020,153
Mar_18_2020,129
Mar_17_2020,82
Mar_16_2020,62
Mar_15_2020,28
Mar_14_2020,23
Mar_13_2020,23
Mar_12_2020,19
