Month,Number_of_cases
Jun_11_2020,1087
Jun_10_2020,1087
Jun_09_2020,1087
Jun_08_2020,1087
Jun_07_2020,1087
Jun_06_2020,1087
Jun_05_2020,1087
Jun_04_2020,1087
Jun_03_2020,1087
Jun_02_2020,1085
Jun_01_2020,1084
May_31_2020,1077
May_30_2020,1076
May_29_2020,1071
May_28_2020,1068
May_27_2020,1051
May_26_2020,1051
May_25_2020,1051
May_24_2020,1051
May_23_2020,1048
May_22_2020,1048
May_21_2020,1046
May_20_2020,1045
May_19_2020,1044
May_18_2020,1043
May_17_2020,1037
May_16_2020,1037
May_15_2020,1035
May_14_2020,1032
May_13_2020,1032
May_12_2020,1032
May_11_2020,1032
May_10_2020,1032
May_09_2020,1032
May_08_2020,1030
May_07_2020,1026
May_06_2020,1025
May_05_2020,1022
May_04_2020,1018
May_03_2020,1013
May_02_2020,1009
May_01_2020,998
Apr_30_2020,994
Apr_29_2020,980
Apr_28_2020,975
Apr_27_2020,967
Apr_26_2020,949
Apr_25_2020,939
Apr_24_2020,922
Apr_23_2020,918
Apr_22_2020,909
Apr_21_2020,901
Apr_20_2020,884
Apr_19_2020,879
Apr_18_2020,864
Apr_17_2020,864
Apr_16_2020,822
Apr_15_2020,780
Apr_14_2020,747
Apr_13_2020,726
Apr_12_2020,707
Apr_11_2020,685
Apr_10_2020,671
Apr_09_2020,643
Apr_08_2020,628
Apr_07_2020,623
Apr_06_2020,596
Apr_05_2020,574
Apr_04_2020,553
Apr_03_2020,495
Apr_02_2020,455
Apr_01_2020,423
Mar_31_2020,394
Mar_30_2020,312
Mar_29_2020,312
Mar_28_2020,278
Mar_27_2020,227
Mar_26_2020,197
Mar_25_2020,173
Mar_24_2020,114
Mar_23_2020,89
Mar_22_2020,75
Mar_21_2020,60
Mar_20_2020,54
Mar_19_2020,39
Mar_18_2020,29
Mar_17_2020,24
Mar_16_2020,20
Mar_15_2020,18
Mar_14_2020,18
Mar_13_2020,16
Mar_12_2020,7
Mar_11_2020,7
Mar_10_2020,5
Mar_09_2020,2
Mar_08_2020,2
Mar_03_2020,1
