Month,EUR/GBP_exchange_rate
Nov_2006,0.67
Oct_2006,0.67
Sep_2006,0.68
Aug_2006,0.68
Jul_2006,0.69
Jun_2006,0.69
May_2006,0.68
Apr_2006,0.69
Mar_2006,0.69
Feb_2006,0.68
Jan_2006,0.69
Dec_2005,0.68
Nov_2005,0.68
Oct_2005,0.68
Sep_2005,0.68
Aug_2005,0.69
Jul_2005,0.69
Jun_2005,0.67
May_2005,0.68
Apr_2005,0.68
Mar_2005,0.69
Feb_2005,0.69
Jan_2005,0.7
Dec_2004,0.7
Nov_2004,0.7
Oct_2004,0.69
Sep_2004,0.68
Aug_2004,0.67
Jul_2004,0.67
Jun_2004,0.66
May_2004,0.67
Apr_2004,0.67
Mar_2004,0.67
Feb_2004,0.68
Jan_2004,0.69
Dec_2003,0.7
Nov_2003,0.69
Oct_2003,0.7
Sep_2003,0.7
Aug_2003,0.7
Jul_2003,0.7
Jun_2003,0.7
May_2003,0.71
Apr_2003,0.69
Mar_2003,0.68
Feb_2003,0.67
Jan_2003,0.66
Dec_2002,0.64
Nov_2002,0.64
Oct_2002,0.63
Sep_2002,0.63
Aug_2002,0.64
Jul_2002,0.64
Jun_2002,0.64
May_2002,0.63
Apr_2002,0.61
Mar_2002,0.62
Feb_2002,0.61
Jan_2002,0.62
Dec_2001,0.62
Nov_2001,0.62
Oct_2001,0.62
Sep_2001,0.62
Aug_2001,0.63
Jul_2001,0.61
Jun_2001,0.61
May_2001,0.61
Apr_2001,0.62
Mar_2001,0.63
Feb_2001,0.63
Jan_2001,0.63
Dec_2000,0.61
Nov_2000,0.6
Oct_2000,0.59
Sep_2000,0.61
Aug_2000,0.61
Jul_2000,0.62
Jun_2000,0.63
May_2000,0.6
Apr_2000,0.6
Mar_2000,0.61
Feb_2000,0.61
Jan_2000,0.62
Dec_1999,0.63
Nov_1999,0.64
Oct_1999,0.65
Sep_1999,0.65
Aug_1999,0.66
Jul_1999,0.66
Jun_1999,0.65
May_1999,0.66
Apr_1999,0.67
Mar_1999,0.67
Feb_1999,0.69
Jan_1999,0.7
