Month,Number_of_users
Aug_18_2020,52723143
Aug_17_2020,52679545
Aug_16_2020,52664855
Aug_15_2020,52602380
Aug_14_2020,52551477
Aug_13_2020,52532141
Aug_12_2020,52479010
Aug_11_2020,52443982
Aug_10_2020,52397682
Aug_09_2020,52353235
Aug_08_2020,52321780
Aug_07_2020,52281159
Aug_06_2020,52265582
Aug_05_2020,52217981
Aug_04_2020,52162047
Aug_03_2020,52135255
Aug_02_2020,52092347
Aug_01_2020,52071410
Jul_31_2020,52027242
Jul_30_2020,51961031
Jul_29_2020,51933930
Jul_28_2020,51874740
Jul_27_2020,51838178
Jul_26_2020,51769259
Jul_25_2020,51711047
Jul_24_2020,51682492
Jul_23_2020,51621718
Jul_22_2020,51592769
Jul_21_2020,51531460
Jul_20_2020,51479974
Jul_19_2020,51453168
Jul_18_2020,51412778
Jul_17_2020,51381463
Jul_16_2020,51328847
Jul_15_2020,51275890
Jul_14_2020,51249204
Jul_13_2020,51191262
Jul_12_2020,51162951
Jul_11_2020,51114667
Jul_10_2020,51072983
Jul_09_2020,51048695
Jul_08_2020,50985962
Jul_07_2020,50969947
Jul_06_2020,50922841
Jul_05_2020,50883886
Jul_04_2020,50849128
Jul_03_2020,50807793
Jul_02_2020,50790551
Jul_01_2020,50744373
Jun_30_2020,50681131
Jun_29_2020,50658095
Jun_28_2020,50611531
Jun_27_2020,50586619
Jun_26_2020,50544849
Jun_25_2020,50493134
Jun_24_2020,50472691
Jun_23_2020,50425787
Jun_22_2020,50408653
Jun_21_2020,50330643
Jun_20_2020,50285579
Jun_19_2020,50266762
Jun_18_2020,50229741
Jun_17_2020,50198891
Jun_16_2020,50152553
Jun_15_2020,50100072
Jun_14_2020,50074411
Jun_13_2020,50040130
Jun_12_2020,50019999
Jun_11_2020,49977636
Jun_10_2020,49927417
Jun_09_2020,49902586
Jun_08_2020,49861053
Jun_07_2020,49841267
Jun_06_2020,49793766
Jun_05_2020,49752400
Jun_04_2020,49727947
Jun_03_2020,49685422
Jun_02_2020,49670547
Jun_01_2020,49625835
May_31_2020,49592093
May_30_2020,49567665
May_29_2020,49534814
May_28_2020,49514712
May_27_2020,49477299
May_26_2020,49426707
May_25_2020,49399326
May_24_2020,49345089
May_23_2020,49324029
May_22_2020,49277711
May_21_2020,49212502
May_20_2020,49187869
May_19_2020,49137349
May_18_2020,49113120
May_17_2020,49049206
May_16_2020,48993306
May_15_2020,48958162
May_14_2020,48896393
May_13_2020,48863513
May_12_2020,48797754
May_11_2020,48729910
May_10_2020,48692339
May_09_2020,48596833
May_08_2020,48559037
May_07_2020,48457904
May_06_2020,48397755
May_05_2020,48373011
May_04_2020,48321491
May_03_2020,48305123
May_02_2020,48260410
May_01_2020,48204375
Apr_30_2020,48177765
Apr_29_2020,48126954
Apr_28_2020,48106471
Apr_27_2020,48066177
Apr_26_2020,48022351
Apr_25_2020,47999969
Apr_24_2020,47960512
Apr_23_2020,47940056
Apr_22_2020,47888302
Apr_21_2020,47848102
Apr_20_2020,47826032
Apr_19_2020,47784041
Apr_18_2020,47766528
Apr_17_2020,47718896
Apr_16_2020,47680568
Apr_15_2020,47658673
Apr_14_2020,47608982
Apr_13_2020,47599472
Apr_12_2020,47546055
Apr_11_2020,47507377
Apr_10_2020,47485935
Apr_09_2020,47442611
Apr_08_2020,47407422
Apr_07_2020,47363453
Apr_06_2020,47318103
Apr_05_2020,47299719
Apr_04_2020,47246268
Apr_03_2020,47229273
Apr_02_2020,47182415
Apr_01_2020,47141605
Mar_31_2020,47119552
Mar_30_2020,47079555
Mar_29_2020,47065538
Mar_28_2020,47018650
Mar_27_2020,46981608
Mar_26_2020,46960435
Mar_25_2020,46916457
Mar_24_2020,46891751
Mar_23_2020,46852372
Mar_22_2020,46807621
Mar_21_2020,46783958
Mar_20_2020,46734135
Mar_19_2020,46721606
Mar_18_2020,46687059
Mar_17_2020,46656942
Mar_16_2020,46627376
Mar_15_2020,46597964
Mar_14_2020,46585354
Mar_13_2020,46547238
Mar_12_2020,46501162
Mar_11_2020,46489183
Mar_10_2020,46459055
Mar_09_2020,46449125
Mar_08_2020,46419723
Mar_07_2020,46395508
Mar_06_2020,46380703
Mar_05_2020,46352991
Mar_04_2020,46341874
Mar_03_2020,46301596
Mar_02_2020,46278908
Mar_01_2020,46269405
Feb_29_2020,46244645
Feb_28_2020,46235497
Feb_27_2020,46192585
Feb_26_2020,46168931
Feb_25_2020,46153596
Feb_24_2020,46128902
Feb_23_2020,46109417
Feb_22_2020,46084962
Feb_21_2020,46058779
Feb_20_2020,46048457
Feb_19_2020,46008665
Feb_18_2020,45996296
Feb_17_2020,45966449
Feb_16_2020,45935320
Feb_15_2020,45923950
Feb_14_2020,45887470
Feb_13_2020,45871353
Feb_12_2020,45840572
Feb_11_2020,45811899
Feb_10_2020,45790139
Feb_09_2020,45758715
Feb_08_2020,45743857
Feb_07_2020,45717091
Feb_06_2020,45681753
Feb_05_2020,45666254
Feb_04_2020,45629234
Feb_03_2020,45615989
Feb_02_2020,45560812
Feb_01_2020,45515614
Jan_30_2020,45449711
Jan_29_2020,45424562
Jan_28_2020,45400163
Jan_27_2020,45382348
Jan_26_2020,45342388
Jan_25_2020,45330479
Jan_24_2020,45304737
Jan_23_2020,45277170
Jan_21_2020,45245218
Jan_06_2020,44818309
Dec_22_2019,44511642
Dec_16_2019,44366315
Dec_15_2019,44334112
Dec_14_2019,44284401
Dec_13_2019,44275601
Dec_12_2019,44215604
Dec_11_2019,44191771
Dec_10_2019,44156366
Dec_09_2019,44114786
Dec_08_2019,44090494
Dec_07_2019,44063902
Dec_06_2019,44046973
Dec_05_2019,44015479
Dec_04_2019,43969171
Dec_03_2019,43952690
Dec_02_2019,43916129
Dec_01_2019,43894096
Nov_30_2019,43868014
Nov_29_2019,43832183
Nov_28_2019,43814072
Nov_27_2019,43775853
Nov_26_2019,43757758
Nov_25_2019,43719529
Nov_24_2019,43691200
Nov_23_2019,43673397
Nov_22_2019,43629133
Nov_21_2019,43590972
Nov_20_2019,43540281
Nov_19_2019,43496329
Nov_18_2019,43469103
Nov_17_2019,43432543
Nov_16_2019,43405928
Nov_15_2019,43362660
Nov_14_2019,43340606
Nov_13_2019,43329451
Nov_12_2019,43290714
Nov_11_2019,43276453
Nov_10_2019,43255998
Nov_09_2019,43234112
Nov_08_2019,43223051
Nov_07_2019,43192066
Nov_06_2019,43171028
Nov_05_2019,43135749
Nov_04_2019,43113602
Nov_03_2019,43096329
Nov_02_2019,43079151
Nov_01_2019,43068083
Oct_31_2019,43041665
Oct_30_2019,43001793
Oct_29_2019,42988925
Oct_28_2019,42960046
Oct_27_2019,42930326
Oct_26_2019,42919695
Oct_25_2019,42883807
Oct_24_2019,42867855
Oct_23_2019,42840461
Oct_22_2019,42811391
Oct_21_2019,42782968
Oct_20_2019,42753917
Oct_19_2019,42744436
Oct_18_2019,42723564
Oct_17_2019,42696924
Oct_16_2019,42682592
Oct_15_2019,42657221
Oct_14_2019,42646165
Oct_13_2019,42620103
Oct_12_2019,42587356
Oct_11_2019,42573061
Oct_10_2019,42532981
Oct_09_2019,42517937
Oct_08_2019,42490195
Oct_07_2019,42459598
Oct_06_2019,42444892
Oct_05_2019,42426179
Oct_04_2019,42410916
Oct_03_2019,42383274
Oct_02_2019,42331656
Oct_01_2019,42324310
Sep_30_2019,42290501
Sep_29_2019,42277810
Sep_28_2019,42258154
Sep_27_2019,42232966
Sep_26_2019,42220428
Sep_25_2019,42192222
Sep_24_2019,42175142
Sep_23_2019,42152608
Sep_22_2019,42129293
Sep_21_2019,42115357
Sep_20_2019,42094530
Sep_19_2019,42083769
Sep_18_2019,42051065
Sep_17_2019,42022852
Sep_16_2019,42003731
Sep_15_2019,41975759
Sep_14_2019,41964046
Sep_13_2019,41941175
Sep_12_2019,41908663
Sep_11_2019,41889438
Sep_10_2019,41836598
Sep_09_2019,41824085
Sep_08_2019,41780635
Sep_07_2019,41761011
Sep_06_2019,41747915
Sep_05_2019,41716385
Sep_04_2019,41703335
Sep_03_2019,41668600
Sep_02_2019,41646706
Sep_01_2019,41634225
Aug_31_2019,41607742
Aug_30_2019,41592076
Aug_29_2019,41560675
Aug_28_2019,41537123
Aug_27_2019,41527053
Aug_26_2019,41494075
Aug_25_2019,41475558
Aug_24_2019,41446648
Aug_23_2019,41417686
Aug_22_2019,41398204
Aug_21_2019,41364598
Aug_20_2019,41350046
Aug_19_2019,41318338
Aug_18_2019,41293513
Aug_17_2019,41283032
Aug_16_2019,41259967
Aug_15_2019,41247827
Aug_14_2019,41223963
Aug_13_2019,41196100
Aug_12_2019,41183316
Aug_11_2019,41163965
Aug_10_2019,41154148
Aug_09_2019,41124397
Aug_08_2019,41102794
Aug_07_2019,41082395
Aug_06_2019,41046814
Aug_05_2019,41037416
Aug_04_2019,41004944
Aug_03_2019,40976607
Aug_02_2019,40962543
Aug_01_2019,40932463
Jul_31_2019,40912756
Jul_30_2019,40882285
Jul_29_2019,40845935
Jul_28_2019,40837155
Jul_27_2019,40798884
Jul_26_2019,40782340
Jul_25_2019,40757378
Jul_24_2019,40731162
Jul_23_2019,40701838
Jul_22_2019,40662060
Jul_21_2019,40649378
Jul_20_2019,40616475
Jul_19_2019,40565937
Jul_18_2019,40548548
Jul_17_2019,40510036
Jul_16_2019,40495727
Jul_15_2019,40468090
Jul_14_2019,40437295
Jul_13_2019,40416566
Jul_12_2019,40391193
Jul_11_2019,40376174
Jul_10_2019,40331604
Jul_09_2019,40291530
Jul_08_2019,40274329
Jul_07_2019,40248974
Jul_06_2019,40239382
Jul_05_2019,40211632
Jul_04_2019,40167671
Jul_03_2019,40147457
Jul_02_2019,40118376
Jul_01_2019,40102759
Jun_30_2019,40074020
Jun_29_2019,40043461
Jun_28_2019,40028293
Jun_27_2019,39976932
Jun_26_2019,39950040
Jun_25_2019,39905434
Jun_24_2019,39846905
Jun_23_2019,39828832
Jun_22_2019,39763959
Jun_21_2019,39736780
Jun_20_2019,39684115
Jun_19_2019,39612973
Jun_18_2019,39595836
Jun_17_2019,39542281
Jun_16_2019,39515478
Jun_15_2019,39484147
Jun_14_2019,39417837
Jun_13_2019,39393001
Jun_12_2019,39346519
Jun_11_2019,39320919
Jun_10_2019,39258189
Jun_09_2019,39228975
Jun_08_2019,39212746
Jun_07_2019,39167819
Jun_06_2019,39133717
Jun_05_2019,39088420
Jun_04_2019,39031297
Jun_03_2019,39002339
Jun_02_2019,38949291
Jun_01_2019,38919827
May_31_2019,38863173
May_30_2019,38799864
May_29_2019,38732673
May_28_2019,38653016
May_27_2019,38614230
May_26_2019,38546220
May_25_2019,38479143
May_24_2019,38435288
May_23_2019,38371156
May_22_2019,38331595
May_21_2019,38220876
May_20_2019,38139223
May_19_2019,38100124
May_18_2019,38021565
May_17_2019,37984542
May_16_2019,37897095
May_15_2019,37796874
May_14_2019,37737816
May_13_2019,37651694
May_12_2019,37606748
May_11_2019,37525865
May_10_2019,37453552
May_09_2019,37407949
May_08_2019,37290470
May_07_2019,37220274
May_06_2019,37102193
May_05_2019,36995377
May_04_2019,36928545
May_03_2019,36831277
May_02_2019,36772309
May_01_2019,36684160
Apr_30_2019,36566166
Apr_29_2019,36492141
Apr_28_2019,36382749
Apr_27_2019,36353202
Apr_26_2019,36206706
Apr_25_2019,36102750
Apr_24_2019,36036958
Apr_23_2019,35922952
Apr_22_2019,35874712
Apr_21_2019,35797760
Apr_20_2019,35741771
Apr_19_2019,35702989
Apr_18_2019,35615315
Apr_17_2019,35567392
Apr_16_2019,35517163
Apr_15_2019,35463346
Apr_14_2019,35442101
Apr_13_2019,35385785
Apr_12_2019,35360462
Apr_11_2019,35273143
Apr_10_2019,35179532
Apr_09_2019,35132330
Apr_08_2019,35018635
Apr_07_2019,34993614
Apr_06_2019,34947189
Apr_05_2019,34897352
Apr_04_2019,34880081
Apr_03_2019,34795309
Apr_02_2019,34742292
Apr_01_2019,34677285
Mar_31_2019,34648863
Mar_30_2019,34596866
Mar_29_2019,34555934
Mar_28_2019,34538449
Mar_27_2019,34501495
Mar_26_2019,34487434
Mar_25_2019,34446117
Mar_24_2019,34422472
Mar_23_2019,34414490
Mar_22_2019,34381875
Mar_21_2019,34369702
Mar_20_2019,34332751
Mar_19_2019,34302755
Mar_18_2019,34289076
Mar_17_2019,34228418
Mar_16_2019,34220643
Mar_15_2019,34193691
Mar_14_2019,34160884
Mar_13_2019,34147408
Mar_12_2019,34109774
Mar_11_2019,34093874
Mar_10_2019,34070536
Mar_09_2019,34039077
Mar_08_2019,34030077
Mar_07_2019,33983677
Mar_06_2019,33965310
Mar_05_2019,33935919
Mar_04_2019,33901620
Mar_03_2019,33895276
Mar_02_2019,33855840
Mar_01_2019,33819413
Feb_28_2019,33763329
Feb_27_2019,33685182
Feb_26_2019,33651665
Feb_25_2019,33598839
Feb_24_2019,33588036
Feb_23_2019,33544880
Feb_22_2019,33481781
Feb_21_2019,33436941
Feb_20_2019,33401216
Feb_19_2019,33382083
Feb_18_2019,33334229
Feb_17_2019,33302383
Feb_16_2019,33283619
Feb_15_2019,33253739
Feb_14_2019,33243904
Feb_13_2019,33202481
Feb_12_2019,33181316
Feb_11_2019,33157954
Feb_10_2019,33126439
Feb_09_2019,33113419
Feb_08_2019,33076705
Feb_07_2019,33032699
Feb_06_2019,33012933
Feb_05_2019,32982308
Feb_04_2019,32976665
Feb_03_2019,32938852
Feb_02_2019,32883937
Feb_01_2019,32865601
Jan_31_2019,32822187
Jan_30_2019,32808338
Jan_29_2019,32759063
Jan_28_2019,32721256
Jan_27_2019,32704263
Jan_26_2019,32664805
Jan_25_2019,32657809
Jan_24_2019,32619063
Jan_23_2019,32588796
Jan_22_2019,32573283
Jan_21_2019,32551555
Jan_20_2019,32527239
Jan_19_2019,32497585
Jan_18_2019,32469793
Jan_17_2019,32460799
Jan_16_2019,32378271
Jan_15_2019,32361063
Jan_14_2019,32325020
Jan_13_2019,32305283
Jan_12_2019,32274243
Jan_11_2019,32256440
Jan_10_2019,32237325
Jan_09_2019,32205068
Jan_08_2019,32178353
Jan_07_2019,32151304
Jan_06_2019,32131361
Jan_05_2019,32124379
Jan_04_2019,32050012
Jan_03_2019,31955907
Jan_02_2019,31931109
Jan_01_2019,31915864
Dec_31_2018,31906385
Dec_30_2018,31869983
Dec_29_2018,31842640
Dec_28_2018,31834894
Dec_27_2018,31810101
Dec_26_2018,31780906
Dec_25_2018,31753828
Dec_24_2018,31724753
Dec_23_2018,31710311
Dec_22_2018,31674618
Dec_21_2018,31658987
Dec_20_2018,31635631
Dec_19_2018,31611211
Dec_18_2018,31590097
Dec_17_2018,31553828
Dec_16_2018,31543382
Dec_15_2018,31506165
Dec_14_2018,31479846
Dec_13_2018,31470488
Dec_12_2018,31422703
Dec_11_2018,31405807
Dec_10_2018,31381899
Dec_09_2018,31363228
Dec_08_2018,31336330
Dec_07_2018,31302897
Dec_06_2018,31295678
Dec_05_2018,31262139
Dec_04_2018,31220187
Dec_03_2018,31206534
Dec_02_2018,31170693
Dec_01_2018,31156447
Nov_30_2018,31133195
Nov_29_2018,31094364
Nov_28_2018,31069280
Nov_27_2018,31019559
Nov_26_2018,30995269
Nov_25_2018,30936912
Nov_24_2018,30893557
Nov_23_2018,30875886
Nov_22_2018,30821283
Nov_21_2018,30793823
Nov_20_2018,30696672
Nov_19_2018,30638824
Nov_18_2018,30622107
Nov_17_2018,30571025
Nov_16_2018,30530642
Nov_15_2018,30456155
Nov_14_2018,30382233
Nov_13_2018,30361989
Nov_12_2018,30287594
Nov_11_2018,30252409
Nov_10_2018,30186893
Nov_09_2018,30123468
Nov_08_2018,30077554
Nov_07_2018,29973383
Nov_06_2018,29934993
Nov_05_2018,29897874
Nov_04_2018,29874133
Nov_03_2018,29858742
Nov_02_2018,29812097
Nov_01_2018,29790877
Oct_31_2018,29755726
Oct_30_2018,29714480
Oct_29_2018,29697548
Oct_28_2018,29669649
Oct_27_2018,29626751
Oct_26_2018,29603039
Oct_25_2018,29563282
Oct_24_2018,29550182
Oct_23_2018,29510311
Oct_22_2018,29474194
Oct_21_2018,29448174
Oct_20_2018,29413866
Oct_19_2018,29403288
Oct_18_2018,29353694
Oct_17_2018,29323774
Oct_16_2018,29302071
Oct_15_2018,29263528
Oct_14_2018,29250500
Oct_13_2018,29223051
Oct_12_2018,29189434
Oct_11_2018,29174757
Oct_10_2018,29135801
Oct_09_2018,29127362
Oct_08_2018,29098348
Oct_07_2018,29054029
Oct_06_2018,29035110
Oct_05_2018,28999266
Oct_04_2018,28985810
Oct_03_2018,28953426
Oct_02_2018,28923372
Oct_01_2018,28904902
Sep_30_2018,28869795
Sep_29_2018,28850285
Sep_28_2018,28821750
Sep_27_2018,28787814
Sep_26_2018,28757286
Sep_25_2018,28724040
Sep_24_2018,28709882
Sep_23_2018,28688022
Sep_22_2018,28651311
Sep_21_2018,28636779
Sep_20_2018,28606677
Sep_19_2018,28587322
Sep_18_2018,28547101
Sep_17_2018,28510991
Sep_16_2018,28493640
Sep_15_2018,28465338
Sep_14_2018,28445015
Sep_13_2018,28423952
Sep_12_2018,28389175
Sep_11_2018,28369956
Sep_10_2018,28347198
Sep_09_2018,28335693
Sep_08_2018,28300934
Sep_07_2018,28269613
Sep_06_2018,28254834
Sep_05_2018,28227517
Sep_04_2018,28204944
Sep_03_2018,28173304
Sep_02_2018,28138959
Sep_01_2018,28125272
Aug_31_2018,28093491
Aug_30_2018,28069963
Aug_29_2018,28042893
Aug_28_2018,28009857
Aug_27_2018,27992612
Aug_26_2018,27969117
Aug_25_2018,27953017
Aug_24_2018,27928102
Aug_23_2018,27899774
Aug_22_2018,27887945
Aug_21_2018,27862825
Aug_20_2018,27854758
Aug_19_2018,27811254
Aug_18_2018,27786902
Aug_17_2018,27772301
Aug_16_2018,27723977
Aug_15_2018,27707212
Aug_14_2018,27668860
Aug_13_2018,27628301
Aug_12_2018,27608109
Aug_11_2018,27550271
Aug_10_2018,27531582
Aug_09_2018,27435348
Aug_08_2018,27405577
Aug_06_2018,27274485
Aug_01_2018,27029819
Jul_28_2018,26821446
Jul_24_2018,26621015
Jul_19_2018,26402293
Jul_15_2018,26269542
Jul_11_2018,26143287
Jul_07_2018,26002911
Jul_02_2018,25817295
Jun_28_2018,25646590
Jun_24_2018,25528628
Jun_20_2018,25406196
Jun_16_2018,25330948
Jun_11_2018,25248022
Jun_07_2018,25170037
Jun_02_2018,25077722
May_29_2018,24987926
May_25_2018,24917053
May_21_2018,24840357
May_16_2018,24766914
May_12_2018,24695265
May_07_2018,24617482
May_03_2018,24533581
Apr_25_2018,24359095
Apr_21_2018,24282954
Apr_16_2018,24208592
Apr_12_2018,24134804
Apr_08_2018,24074017
Apr_04_2018,24003136
Mar_30_2018,23933319
Mar_26_2018,23855295
Mar_22_2018,23782053
Mar_18_2018,23708988
Mar_13_2018,23624840
Mar_09_2018,23541841
Mar_05_2018,23454702
Feb_28_2018,23360712
Feb_24_2018,23266988
Feb_19_2018,23173715
Feb_15_2018,23068639
Feb_11_2018,22983191
Feb_07_2018,22883357
Feb_02_2018,22775834
Jan_29_2018,22649022
Jan_25_2018,22518982
Jan_21_2018,22421059
Jan_17_2018,22258673
Jan_13_2018,22080990
Jan_09_2018,21915902
Jan_05_2018,21696080
Dec_31_2017,21506448
Dec_27_2017,21326723
Dec_23_2017,21127708
Dec_19_2017,20843609
Dec_14_2017,20538020
Dec_10_2017,20193317
Dec_07_2017,19859625
Dec_03_2017,19610796
Nov_29_2017,19336323
Nov_25_2017,19100508
Nov_21_2017,18948510
Nov_17_2017,18818280
Nov_13_2017,18685373
Nov_09_2017,18557651
Nov_05_2017,18390054
Nov_01_2017,18226988
Oct_28_2017,18059350
Oct_24_2017,17939646
Oct_20_2017,17785376
Oct_15_2017,17639093
Oct_11_2017,17497046
Oct_08_2017,17423034
Oct_04_2017,17332159
Sep_30_2017,17255044
Sep_27_2017,17191431
Sep_24_2017,17104249
Sep_15_2017,16896609
Sep_12_2017,16817240
Sep_08_2017,16710035
Sep_04_2017,16584713
Aug_31_2017,16461924
Aug_26_2017,16337365
Aug_23_2017,16253048
Aug_19_2017,16126574
Aug_15_2017,16003014
Aug_10_2017,15885221
Aug_06_2017,15783380
Aug_01_2017,15695040
Jul_10_2017,15198322
Jul_05_2017,15087440
Jul_02_2017,14992878
Jun_27_2017,14864429
Jun_22_2017,14759006
Jun_15_2017,14587846
May_31_2017,14191518
May_16_2017,13754432
May_01_2017,13419295
Apr_16_2017,13157931
Apr_01_2017,12905207
Mar_17_2017,12639003
Mar_02_2017,12352066
Feb_15_2017,12009557
Jan_31_2017,11676600
Jan_16_2017,11353117
Jan_01_2017,10992405
Dec_17_2016,10691889
Dec_02_2016,10314020
Nov_17_2016,9919854
Nov_02_2016,9559978
Oct_18_2016,9263916
Oct_03_2016,8999227
Sep_18_2016,8765726
Sep_03_2016,8555129
Aug_19_2016,8364568
Aug_04_2016,8183832
Jul_20_2016,8015050
Jul_05_2016,7846764
Jun_20_2016,7681746
Jun_05_2016,7514984
May_21_2016,7307727
May_06_2016,7116743
Apr_21_2016,6910345
Apr_06_2016,6737269
Mar_22_2016,6530896
Mar_07_2016,6319893
Feb_21_2016,6130000
Feb_06_2016,5953042
Jan_22_2016,5780498
Jan_07_2016,5528591
Dec_23_2015,5343955
Dec_08_2015,5132084
Nov_23_2015,4945865
Nov_08_2015,4782986
Oct_24_2015,4619591
Oct_09_2015,4478025
Sep_24_2015,4325864
Sep_09_2015,4208444
Aug_25_2015,4113830
Aug_10_2015,3961954
Jul_26_2015,3865405
Jul_11_2015,3739207
Jun_26_2015,3637953
Jun_11_2015,3551064
May_27_2015,3472705
May_12_2015,3391659
Apr_27_2015,3315533
Apr_12_2015,3239625
Mar_28_2015,3161766
Mar_13_2015,3094389
Feb_26_2015,3020872
Feb_11_2015,2922162
Jan_27_2015,2849577
Jan_12_2015,2779043
Dec_28_2014,2710429
Dec_13_2014,2643050
Nov_28_2014,2569340
Nov_13_2014,2493727
Oct_29_2014,2417787
Oct_14_2014,2342157
Sep_29_2014,2267085
Sep_14_2014,2193477
Aug_30_2014,2107985
Aug_15_2014,2027773
Jul_31_2014,1937615
Jul_16_2014,1860837
Jul_01_2014,1795938
Jun_16_2014,1735471
Jun_01_2014,1675841
May_17_2014,1620557
May_02_2014,1568687
Apr_17_2014,1512017
Apr_02_2014,1455667
Mar_18_2014,1395653
Mar_03_2014,1334887
Feb_16_2014,1256708
Feb_01_2014,1169501
Jan_17_2014,1069475
Jan_02_2014,976051
Dec_18_2013,888153
Dec_03_2013,755687
Nov_18_2013,583044
Nov_03_2013,521533
Oct_19_2013,480756
Oct_04_2013,458047
Sep_19_2013,437254
Sep_04_2013,419671
Aug_20_2013,398725
Aug_05_2013,376431
Jul_21_2013,358155
Jul_06_2013,341371
Jun_21_2013,320559
Jun_06_2013,301864
May_22_2013,281617
May_07_2013,258958
Apr_22_2013,233959
Apr_07_2013,189100
Mar_23_2013,151985
Mar_08_2013,134908
Feb_21_2013,121141
Feb_06_2013,108911
Jan_22_2013,97978
Jan_07_2013,82264
Dec_23_2012,70669
Dec_08_2012,49068
Nov_23_2012,43500
Nov_08_2012,38724
Oct_24_2012,34857
Oct_09_2012,30263
Sep_24_2012,25702
Sep_09_2012,22353
Aug_25_2012,19477
Aug_10_2012,16625
Jul_26_2012,14609
Jul_11_2012,12257
Jun_26_2012,10473
Jun_11_2012,8946
May_27_2012,7697
May_12_2012,6612
Apr_27_2012,5566
Apr_12_2012,4348
Mar_28_2012,3415
Mar_13_2012,2794
Feb_27_2012,2213
Feb_12_2012,1772
Jan_28_2012,1242
Jan_13_2012,740
Dec_29_2011,400
Dec_14_2011,153
Nov_29_2011,2
