Month,Number_of_cases
May_01_2020,5895
Apr_30_2020,5537
Apr_29_2020,5268
Apr_28_2020,5042
Apr_27_2020,4782
Apr_26_2020,4534
Apr_25_2020,4319
Apr_24_2020,4092
Apr_23_2020,3891
Apr_22_2020,3659
Apr_21_2020,3490
Apr_20_2020,3333
Apr_19_2020,3144
Apr_18_2020,3032
Apr_17_2020,2844
Apr_16_2020,2673
Apr_15_2020,2505
Apr_14_2020,2350
Apr_13_2020,2190
Apr_12_2020,2065
Apr_11_2020,1939
Apr_10_2020,1794
Apr_09_2020,1699
Apr_08_2020,1560
Apr_07_2020,1450
Apr_06_2020,1322
Apr_05_2020,1173
Apr_04_2020,1070
Apr_03_2020,985
Apr_02_2020,865
Apr_01_2020,779
Mar_31_2020,710
Mar_30_2020,656
Mar_29_2020,609
Mar_28_2020,576
Mar_27_2020,536
Mar_26_2020,495
Mar_25_2020,456
Mar_24_2020,402
Mar_23_2020,366
Mar_22_2020,327
Mar_21_2020,294
Mar_20_2020,285
Mar_19_2020,256
Mar_18_2020,196
Mar_17_2020,196
Mar_16_2020,150
Mar_15_2020,110
Mar_14_2020,109
Mar_13_2020,80
Mar_12_2020,67
Mar_11_2020,60
Mar_10_2020,59
Mar_09_2020,55
Mar_08_2020,49
Mar_07_2020,15
Mar_06_2020,15
Mar_05_2020,3
Mar_04_2020,2
Mar_03_2020,2
Mar_02_2020,2
Mar_01_2020,2
Feb_29_2020,1
Feb_28_2020,1
Feb_27_2020,1
Feb_26_2020,1
Feb_25_2020,1
Feb_24_2020,1
Feb_23_2020,1
Feb_22_2020,1
Feb_21_2020,1
Feb_20_2020,1
Feb_19_2020,1
Feb_18_2020,1
Feb_17_2020,1
Feb_16_2020,1
Feb_15_2020,1
Feb_14_2020,1
