place_of_contraction,Number_of_cases
Bergen_New_Bridge_Medical_Center_—_Paramus_N.J.,120
Local_community_—_New_Rochelle_N.Y.,119
JFK_Hartwyck_nursing_home_—_Edison_N.J.,118
Northern_Correctional_Institution_—_Somers_Conn.,118
Central_Detention_Facility_—_Washington_District,116
G._Robert_Cotton_Correctional_Facility_—_Jackson_Mich.,114
New_Jersey_Veterans_Memorial_Home_at_Menlo_Park_—_Edison_N.J.,114
Bayshore_Healthcare_Center_nursing_home_—_Holmdel_N.J.,113
California_Institution_for_Men_—_Chino_Calif.,111
Heritage_Specialty_Care_nursing_home_—_Cedar_Rapids_Iowa,111
Oakland_Rehabilitation_and_Healthcare_Center_—_Oakland_N.J.,111
Macomb_Correctional_Facility_—_Lenox_Township_Mich.,110
Biogen_conference_—_Boston_Mass.,109
Accordius_Health_nursing_home_—_Harrisonburg_Va.,106
Windermere_Health_and_Rehabilitation_Center_—_Augusta_Ga.,106
Shapiro_Developmental_Center_—_Kankakee_Ill.,105
Grand_Princess_cruise_in_March,103
Lompoc_Prison_Complex_—_Lompoc_Calif.,103
Gateway_Care_and_Rehabilitation_Center_—_Hayward_Calif.,102
JBS_meatpacking_plant_—_Greeley_Colo.,102
Elkton_Prison_Complex_—_Lisbon_Ohio,100
Wynne_Unit_prison_—_Huntsville_Texas,100
Pleasant_View_Nursing_Home_—_Mount_Airy_Md.,99
Brakley_Park_senior_care_facility_—_Phillipsburg_N.J.,98
Crowne_Health_Care_nursing_home_—_Mobile_Ala.,98
Durham_Nursing_and_Rehabilitation_Center_—_Durham_N.C.,97
PruittHealth_Macon_nursing_home_—_Macon_Ga.,97
Los_Angeles_County_prison_—_Lancaster_Calif.,94
Sapphire_of_Tucson_Nursing_and_Rehab_—_Tucson_Ariz.,94
Tomoka_Correctional_Institution_—_Daytona_Beach_Fla.,94
Wayne_Scott_Unit_prison_—_Angleton_Texas,94
HudsonView_Center_for_Rehab_and_Healthcare_—_North_Bergen_N.J.,93
Life_Care_Center_nursing_home_—_Richland_Wash.,93
Plainfield_Correctional_Facility_—_Plainfield_Ind.,93
Women's_Huron_Valley_Correctional_Facility_—_Ypsilanti_Mich.,92
Crystal_Lake_Rehabilitation_and_Healthcare_Center_—_Bayville_N.J.,90
Hackensack_Meridian_Health_Prospect_Heights_Care_Center_—_Hackensack_N.J.,90
Saint_Elizabeths_psychiatric_hospital_—_D.C.,90
Tyson_Foods_plant_—_Goodlettsville_Tenn.,90
Central_Arkansas_Community_Correction_Center_—_Little_Rock_Ark.,89
Travel_in_Europe,88
Arbor_Terrace_at_Cascade_senior_living_facility_—_Atlanta_Ga.,86
Kane_Community_assisted_living_center_at_Glen_Hazel_—_Pittsburgh_Pa.,86
Milan_Prison_Complex_—_Milan_Mich.,84
Hackensack_Meridian_Health_Nursing_and_Rehab_at_Brick_—_Brick_N.J.,83
The_Resort_at_Texas_City_nursing_home_—_Texas_City_Texas,83
Correctional_Reception_Center_—_Orient_Ohio,82
Hampton_Ridge_Healthcare_and_Rehab_—_Toms_River_N.J.,82
Covenant_Living_at_Windsor_Park_long-term_care_—_Carol_Stream_Ill.,81
Life_Care_Center_of_Nashoba_Valley_—_Littleton_Mass.,81
Symphony_of_Joliet_nursing_home_—_Joliet_Ill.,81
Joe-Anne_Burgin_Nursing_Home_—_Cuthbert_Ga.,80
Grace_Living_Center_nursing_home_—_Norman_Okla.,77
Cherry_Creek_Nursing_Center_—_Aurora_Colo.,76
Dr._Lane_Murray_Unit_prison_—_Gatesville_Texas,76
Veranda_Rehabilitation_and_Healthcare_—_Harlingen_Texas,76
New_Lisbon_Developmental_Center_—_New_Lisbon_N.J.,75
Oak_Hill_Center_nursing_home_—_Pawtucket_R.I.,75
Southeast_Nursing_and_Rehabilitation_Center_—_San_Antonio_Texas,75
Edna_Mahan_Correctional_Facility_for_Women_—_Clinton_N.J.,74
Milford_Center_nursing_home_—_Milford_Del.,74
Altercare_Alliance_nursing_home_—_Alliance_Ohio,73
Augusta_Health_and_Rehabilitation_Center_—_Augusta_Maine,73
Country_Villa_South_Convalescent_—_Los_Angeles_Calif.,73
Stringfellow_Unit_prison_—_Rosharon_Texas,73
Walter_Reuther_Psychiatric_Hospital_—_Westland_Mich.,73
Healthcare_at_Foster_Creek_assisted_living_facility_—_Portland_Ore.,71
Horizon_Health_and_Rehabilitation_Center_—_Las_Vegas_Nev.,71
Garden_Crest_Rehabilitation_Center_—_Los_Angeles_Calif.,70
Hospital_Galveston_—_Galveston_Texas,70
Multi-Service_Center_South_homeless_shelter_—_San_Francisco_Calif.,70
Abbott_Terrace_Health_Center_—_Waterbury_Conn.,69
CareOne_at_Evesham_senior_care_facility_—_Marlton_N.J.,69
Hunterdon_Developmental_Center_—_Clinton_N.J.,69
Sunrise_View_Assisted_Living_—_Everett_Wash.,69
Telford_Unit_prison_—_New_Boston_Texas,69
Birchwood_Terrace_rehabilitation_center_—_Burlington_Vt.,68
East_Jersey_State_Prison_—_Rahway_N.J.,68
Golden_Hill_Rehab_Pavilion_—_Milford_Conn.,67
Haynesville_Correctional_Center_—_Haynesville_Va.,67
Nassau_jail_—_East_Meadow_N.Y.,67
Preakness_Healthcare_Center_—_Wayne_N.J.,67
Summerset_assisted_living_facility_—_Atlanta_Ga.,67
Wayne_Nursing_&_Rehabilitation_Center_—_Wayne_W.Va.,66
Bucks_County_jail_—_Doylestown_Pa.,65
Dawson_Health_and_Rehabilitation_—_Dawson_Ga.,65
Juniper_Village_memory_care_—_Aurora_Colo.,65
Koester_Pavilion_nursing_home_and_rehab_—_Troy_Ohio,65
Louisiana_State_Penitentiary_—_Angola_La.,64
Wedgwood_Gardens_Care_Center_—_Freehold_N.J.,64
Brighton_Care_Center_—_Pasadena_Calif.,63
Burlington_Health_and_Rehabilitation_—_Burlington_Vt.,63
Deerfield_Correctional_Center_—_Capron_Va.,63
Valley_House_Rehabilitation_Center_—_Santa_Clara_Calif.,63
Central_Gardens_Covalescent_—_San_Franciso_Calif.,62
Adviniacare_long-term_care_—_Wilmington_Mass.,61
Bergen_County_Healthcare_Center_—_Rockleigh_N.J.,61
Frontier_Health_and_Rehabilitation_—_St._Charles_Mo.,60
Early_Memorial_Nursing_Facility_—_Blakely_Ga.,59
Golden_Crest_Nursing_Centre_—_North_Providence_R.I.,59
Crossview_Care_Center_nursing_home_—_Pineview_Ga.,58
Encompass_Health_Rehabilitation_Hospital_of_Toms_River_—_Toms_River_N.J.,58
Grimes_Center_senior_care_facility_—_New_Haven_Conn.,58
Massachusetts_Correctional_Institution-Shirley_—_Shirley_Mass.,58
Virginia_Correctional_Center_for_Women_—_Goochland_Va.,58
Cedar_Crest_Nursing_&_Rehab_—_Sunnyvale_Calif.,57
Rome_Health_and_Rehabilitation_Center_—_Rome_Ga.,57
The_Laurels_of_Chatham_skilled_nursing_facility_and_rehabilitation_center_—_Pittsboro_N.C.,57
West_Park_Neurology_and_Rehabilitation_Center_—_Cleveland_Ohio,57
Autry_State_Prison_—_Pelham_Ga.,56
Life_Care_Center_of_Raynham_nursing_home_—_Raynham_Mass.,56
Mennonite_Home_personal_care_and_skilled_nursing_—_Lancaster_Pa.,56
Powder_Springs_Transitional_Care_and_Rehab_—_Powder_Springs_Ga.,56
Yazoo_Prison_Complex_—_Yazoo_City_Miss.,56
Blackwater_River_Correctional_Facility_—_Milton_Fla.,55
Cobble_Hill_Health_Center_assisted_living_—_Brooklyn_N.Y.,55
Pelham_Parkway_nursing_home_—_Pelham_Ga.,55
State_Correctional_Institution_at_Phoenix_—_Collegeville_Pa.,55
Stollwood_Convalescent_Hospital_—_Woodland_Calif.,55
Butner_Prison_Complex_—_Butner_N.C.,54
Chateau_Nursing_and_Rehabilitation_Center_—_Willowbrook_Ill.,54
Hollywood_Premier_Healthcare_Center_nursing_home_—_Los_Angeles_Calif.,54
Memorial_Care_Center_nursing_home_—_Belleville_Ill.,54
Louisburg_Healthcare_&_Rehabilitation_Center_—_Louisburg_N.C.,53
Southern_State_Correctional_Facility_—_Maurice_River_Township_N.J.,53
Travel_in_Egypt,53
Centennial_Healthcare_Center_nursing_home_—_Greeley_Colo.,52
Leisure_Chateau_Care_and_Rehabilitation_Center_—_Lakewood_N.J.,52
Regency_Canyon_Lakes_rehabilitation_and_nursing_—_Kennewick_Wash.,52
Sumter_Correctional_Institution_—_Bushnell_Fla.,52
Victoria_Manor_long-term_care_—_Cape_May_N.J.,52
Eldercare_Health_and_Rehabilitation_long-term_care_facility_—_Ripley_W.Va.,51
Gardena_Convalescent_Center_—_Gardena_Calif.,51
Reche_Canyon_Rehabilitation_&_Health_Care_Center_—_Colton_Calif.,51
Sierra_Rehabilitation_and_Care_Community_—_Lakewood_Colo.,51
Signature_HealthCARE_—_Cookeville_Tenn.,51
Suwannee_Health_and_Rehabilitation_—_Live_Oak_Fla.,51
Fishkill_Correctional_Facility_—_Fishkill_N.Y.,50
Pendleton_Correctional_Facility_—_Pendleton_Ind.,50
Premier_Estates_assisted_living_—_Toledo_Iowa,50
PruittHealth_-_Carolina_Point_nursing_home_—_Durham_N.C.,50
