Month,Weekly_hours_of_work_in_millions
Jul_88,878.3
Jun_88,876.2
May_88,874.0
Apr_88,871.9
Mar_88,869.4
Feb_88,866.9
Jan_88,863.9
Dec_87,860.8
Nov_87,857.9
Oct_87,855.0
Sep_87,852.3
Aug_87,849.5
Jul_87,846.3
Jun_87,843.3
May_87,840.5
Apr_87,838.1
Mar_87,836.4
Feb_87,835.0
Jan_87,833.8
Dec_86,832.9
Nov_86,832.1
Oct_86,831.1
Sep_86,829.9
Aug_86,828.8
Jul_86,828.1
Jun_86,827.4
May_86,827.1
Apr_86,827.1
Mar_86,827.2
Feb_86,827.4
Jan_86,827.3
Dec_85,827.7
Nov_85,827.9
Oct_85,827.6
Sep_85,827.6
Aug_85,827.5
Jul_85,827.0
Jun_85,826.6
May_85,826.3
Apr_85,825.9
Mar_85,825.0
Feb_85,824.0
Jan_85,823.1
Dec_84,821.9
Nov_84,820.5
Oct_84,819.1
Sep_84,817.7
Aug_84,816.2
Jul_84,814.8
Jun_84,813.4
May_84,811.7
Apr_84,810.0
Mar_84,808.2
Feb_84,806.5
Jan_84,804.8
Dec_83,802.8
Nov_83,801.0
Oct_83,798.6
Sep_83,796.1
Aug_83,793.8
Jul_83,792.0
Jun_83,790.8
May_83,790.5
Apr_83,791.1
Mar_83,791.7
Feb_83,792.9
Jan_83,794.5
Dec_82,796.3
Nov_82,798.2
Oct_82,800.2
Sep_82,802.2
Aug_82,804.2
Jul_82,805.7
Jun_82,807.0
May_82,808.5
Apr_82,809.4
Mar_82,810.2
Feb_82,810.6
Jan_82,811.5
Dec_81,812.7
Nov_81,814.4
Oct_81,816.2
Sep_81,817.8
Aug_81,819.5
Jul_81,821.5
Jun_81,823.7
May_81,826.5
Apr_81,829.6
Mar_81,832.8
Feb_81,836.4
Jan_81,840.3
Dec_80,844.6
Nov_80,848.7
Oct_80,853.2
Sep_80,857.4
Aug_80,861.6
Jul_80,865.3
Jun_80,868.2
May_80,870.7
Apr_80,873.1
Mar_80,875.1
Feb_80,877.1
Jan_80,878.7
Dec_79,879.8
Nov_79,880.3
Oct_79,880.5
Sep_79,880.6
Aug_79,880.5
Jul_79,880.1
Jun_79,879.6
May_79,879.2
Apr_79,878.8
Mar_79,878.6
Feb_79,878.3
Jan_79,877.6
Dec_78,876.6
Nov_78,874.9
Oct_78,873.4
Sep_78,872.0
Aug_78,871.2
Jul_78,870.6
Jun_78,870.2
May_78,869.8
Apr_78,869.5
Mar_78,869.0
Feb_78,868.4
Jan_78,868.1
Dec_77,867.8
Nov_77,867.7
Oct_77,867.6
Sep_77,867.3
Aug_77,867.2
Jul_77,866.7
Jun_77,866.7
May_77,866.2
Apr_77,866.0
Mar_77,865.6
Feb_77,864.9
Jan_77,864.3
Dec_76,863.4
Nov_76,862.4
Oct_76,861.6
Sep_76,861.0
Aug_76,860.6
Jul_76,860.3
Jun_76,860.1
May_76,860.2
Apr_76,860.2
Mar_76,860.8
Feb_76,861.5
Jan_76,862.7
Dec_75,863.6
Nov_75,864.7
Oct_75,865.9
Sep_75,867.4
Aug_75,868.9
Jul_75,870.1
Jun_75,871.4
May_75,873.1
Apr_75,874.8
Mar_75,876.9
Feb_75,879.0
Jan_75,881.4
Dec_74,883.5
Nov_74,885.3
Oct_74,887.1
Sep_74,888.1
Aug_74,888.7
Jul_74,889.0
Jun_74,889.6
May_74,890.0
Apr_74,890.9
Mar_74,891.6
Feb_74,892.8
Jan_74,893.6
Dec_73,893.9
Nov_73,894.1
Oct_73,894.0
Sep_73,893.7
Aug_73,893.4
Jul_73,893.8
Jun_73,894.2
May_73,894.1
Apr_73,893.1
Mar_73,890.6
Feb_73,887.7
Jan_73,884.4
Dec_72,881.9
Nov_72,879.8
Oct_72,878.3
Sep_72,876.7
Aug_72,875.0
Jul_72,873.7
Jun_72,873.1
May_72,872.0
Apr_72,870.7
Mar_72,868.7
Feb_72,866.1
Jan_72,863.5
Dec_71,861.7
Nov_71,860.8
Oct_71,860.8
Sep_71,861.3
Aug_71,862.3
Jul_71,862.6
Jun_71,862.8
May_71,862.5
Apr_71,862.7
Mar_71,864.3
