Month,Chrome,Safari,Samsung_internet,Firefox,Opera,UC_Browser,Android,Edge,Nokia,IE_Mobile
Nov_15,50.76,28.09,0,0.31,1.24,1.81,14.44,0.03,0.06,2.52
Sep_15,47.83,27.46,0,1.27,1.44,1.87,16.6,0.02,0.08,2.69
Jul_15,45.41,27.72,0,1.53,1.25,1.99,18.71,0.01,0.1,2.54
May_15,44.48,27.62,0,1.65,1.04,1.6,20.28,0,0.1,2.51
Mar_15,43.68,26.94,0,1.54,0.98,1.18,22.37,0,0.15,2.44
Jan_15,41.66,27.44,0,1.5,0.9,0.9,24.41,0,0.15,2.28
Nov_14,43.93,25,0,1.26,0.66,0.39,25.63,0,0.13,2.25
Sep_14,40.82,24.19,0,1.65,0.77,0.22,29.35,0,0.19,2.05
Jul_14,35.08,26,0,1.76,0.95,0.14,32.92,0,0.21,2.14
May_14,28.77,28.47,0,1.61,0.86,0.14,36.47,0,0.2,2.03
Mar_14,22.98,30.07,0,1.41,1.29,0.27,40.6,0,0.35,2.5
Jan_14,16.01,31.5,0,1.43,1.29,0.26,45.64,0,0.42,2.63
Nov_13,11.68,32.25,0,1.47,1.39,0.36,49,0,0.48,2.4
Sep_13,8.73,32.15,0,1.39,1.81,0.37,51.54,0,0.62,2.25
Jul_13,6.55,34.04,0,1.43,1.89,0.4,51.17,0,0.73,2.27
May_13,4.47,34.66,0,1.29,3.16,0.34,5139,0,0.92,1.96
Mar_13,3.19,34.5,0,1.21,3.69,0.29,52.24,0,0.99,1.82
Jan_13,2.03,34.94,0,1.22,4.74,0.28,51.26,0,1.12,2.13
Nov_12,1.08,36.38,0,1.13,5.11,0.25,50.11,0,1.32,2.07
Sep_12,0.89,36.63,0,1.07,7.12,0.16,47.34,0,1.61,2.08
Jul_12,1.13,39.45,0,0.56,7.85,0.14,43.8,0,1.8,1.92
May_12,0.14,42.3,0,0.71,10.82,0.16,37.88,0,2.27,1.64
Mar_12,0.1,47.67,0,0.73,6.47,0.13,36.01,0,3.04,1.61
Jan_12,0,47.48,0,0.78,5.67,0.1,36.46,0,3.11,1.45
Nov_11,0,48.59,0,0.44,6.24,0.11,34.16,0,3.73,1.55
Sep_11,0,49.64,0,0,5.68,0.03,32.62,0,4.5,1.68
Jul_11,0,53.37,0,0,5.76,0.01,27.46,0,4.77,1.68
May_11,0,56.16,0,0,5.2,0,24.73,0,4.91,1.52
Mar_11,0,57.49,0,0,5.63,0,21.91,0,5.79,1.16
Jan_11,0,58.78,0,0,5.82,0,19.72,0,5.86,0.67
Nov_10,0,59.85,0,0,6.46,0,16.15,0,7.03,0
Sep_10,0,59.03,0,0,7.91,0,13.11,0,8.18,0
Jul_10,0,59.84,0,0,9.27,0,9.17,0,9.23,0
May_10,0,62.36,0,0,8.69,0,5.8,0,12.44,0
Mar_10,0,62.98,0,0,6.95,0,5.56,0,12.12,0
Jan_10,0,64.99,0,0,6.32,0,3.48,0,12.6,0
Nov_09,0,62.12,0,0,6.82,0,3.53,0,14.81,0
Sep_09,0,61.23,0,0,8.29,0,3.38,0,14.82,0
Jul_09,0,66.02,0,0,8.29,0,1.45,0,13.07,0
May_09,0,70.94,0,0,6.37,0,0.25,0,11.66,0
Mar_09,0,72.37,0,0,5.14,0,0.9,0,11.23,0
Jan_09,0,65.11,0,0,7.04,0,0.08,0,13.43,0
