Date,.,Greatest,Silent,Boomer,Gen_X,Millennial
3/6/1991,CBS/NYT,36.0,40.0,50.0,58.0,nan
3/1/1991,ABC/POST,38.0,41.0,45.0,58.0,nan
12/1/1990,NES,27.0,27.0,27.0,36.0,nan
10/28/1990,CBS/NYT,20.0,22.0,25.0,34.0,nan
9/6/1990,ABC/POST,37.0,41.0,42.0,51.0,nan
1/16/1990,ABC/POST,37.0,34.0,38.0,48.0,nan
6/29/1989,CBS/NYT,28.0,37.0,36.0,38.0,nan
1/15/1989,CBS/NYT,42.0,37.0,46.0,52.0,nan
11/10/1988,CBS/NYT,38.0,40.0,47.0,47.0,nan
10/15/1988,NES,41.0,43.0,39.0,42.0,nan
1/23/1988,ABC/POST,33.0,32.0,42.0,58.0,nan
10/18/1987,CBS/NYT,30.0,39.0,46.0,nan,nan
6/1/1987,ABC/POST,45.0,46.0,48.0,57.0,nan
3/1/1987,CBS/NYT,36.0,36.0,46.0,nan,nan
1/21/1987,CBS/NYT,39.0,37.0,46.0,56.0,nan
1/19/1987,ABC/POST,43.0,41.0,43.0,nan,nan
12/1/1986,NES,40.0,40.0,38.0,31.0,nan
11/30/1986,CBS/NYT,47.0,45.0,48.0,nan,nan
9/9/1986,ABC/POST,37.0,35.0,43.0,nan,nan
1/19/1986,CBS/NYT,36.0,43.0,44.0,nan,nan
11/6/1985,CBS/NYT,50.0,46.0,48.0,nan,nan
7/29/1985,ABC/POST,36.0,32.0,41.0,nan,nan
3/21/1985,ABC/POST,38.0,34.0,39.0,nan,nan
2/22/1985,ABC/POST,38.0,39.0,45.0,nan,nan
10/15/1984,NES,42.0,41.0,47.0,nan,nan
12/1/1982,NES,33.0,31.0,34.0,nan,nan
11/7/1980,CBS/NYT,38.0,40.0,38.0,nan,nan
10/15/1980,NES,26.0,22.0,27.0,nan,nan
3/12/1980,CBS/NYT,26.0,24.0,28.0,nan,nan
12/1/1978,NES,26.0,29.0,32.0,nan,nan
10/15/1976,NES,31.0,32.0,38.0,nan,nan
3/1/1976,GALLUP,32.0,31.0,35.0,nan,nan
12/1/1974,NES,32.0,36.0,43.0,nan,nan
10/15/1972,NES,49.0,57.0,56.0,nan,nan
12/1/1970,NES,50.0,59.0,59.0,nan,nan
10/15/1968,NES,55.0,71.0,73.0,nan,nan
12/1/1966,NES,62.0,72.0,nan,nan,nan
10/15/1964,NES,74.0,82.0,nan,nan,nan
12/1/1958,NES,72.0,77.0,nan,nan,nan
