title,dataPath,imgPath,caption,first_caption,chartType,release date,Region,survey time period,xAxis,yAxis,URL,columns,length,File_No
"
                        Contemporary artworks with the highest auction price worldwide between July 2018 and June 2019 (in million U.S. dollars)*
                    ",out/two_col/data/16101.csv,out/two_col/imgs/16101.png, This statistic shows the contemporary artworks with the highest auction price worldwide in 2019. Jeff Koons had the highest hammer price with his piece 'Rabbit' in 2019 at over 91 million U.S. dollars. , This statistic shows the contemporary artworks with the highest auction price worldwide in 2019. Jeff Koons had the highest hammer price with his piece 'Rabbit' in 2019 at over 91 million U.S. dollars. ,bar,Oct-19,Worldwide,July 2018 to June 2019,Unnamed: 0,Top hammer price in million U.S. dollars,https://www.statista.com/statistics/245115/top-10-hammer-prices-for-contemporary-artists/,,,two_col-16101.txt
"
                        Revenue from retail sales of natural or artificial plants and flowers in the United Kingdom (UK) from 2008 to 2018 
                    
                            (in million GBP)
                        ",out/two_col/data/15287.csv,out/two_col/imgs/15287.png," This statistic shows the total annual turnover of the retail sales of natural or artificial plants and flowers in the United Kingdom from 2008 to 2018. In 2009 turnover from the retail sale of plants and flowers dropped from 4.19 billion British pounds (GBP) in 2008 to 2.97 billion GBP in 2009. Since then sales have somewhat recovered, reaching around 3.8 million GBP in 2013. This number rose in 2015, where figures reached 4.8 billion British pounds. "," This statistic shows the total annual turnover of the retail sales of natural or artificial plants and flowers in the United Kingdom from 2008 to 2018. In 2009 turnover from the retail sale of plants and flowers dropped from 4.19 billion British pounds (GBP) in 2008 to 2.97 billion GBP in 2009. Since then sales have somewhat recovered, reaching around 3.8 million GBP in 2013. This number rose in 2015, where figures reached 4.8 billion British pounds. ",column,May-20,United Kingdom,2008 to 2018,Unnamed: 0,Revenue in million GBP,https://www.statista.com/statistics/309713/plants-and-flowers-retail-sales-turnover-united-kingdom-uk/,,,two_col-15287.txt
"
                        Global mine production of palladium from 2015 to 2019, by country 
                    
                            (in metric tons)
                        ",out/multi_col/data/284.csv,out/multi_col/imgs/284.png," This statistic shows the global mine production of palladium from 2015 to 2019, sorted by major producing countries. The mine production in Russia reached an amount of some 86 metric tons in 2019. The average price of palladium was 950 U.S. dollars per ounce in 2019. Palladium is a metal, close to platinum in chemical composition, used primarily within catalytic converters, a key component of internal combustion engines that power the majority of motor vehicles produced worldwide. Mine production of palladium globally Almost two thirds of global palladium usage is attributed to catalytic converter production. Other areas of application for palladium are electronics, jewellery, medical purposes, dentistry, hydrogen purification, groundwater treatment, and other chemical applications. Palladium is a key component of fuel cells, which are used to convert chemical energy from fuel into electricity. Worldwide mine production of palladium fell in 2014 from higher levels in the years before. In 2018, some 210 metric tons of palladium was produced worldwide. Russia was the leading palladium producing country in 2018, followed by South Africa, Canada, and the United States. The top world palladium consumers are North America and China. The United States and China are also the two individual countries with the largest global market shares of auto production. "," This statistic shows the global mine production of palladium from 2015 to 2019, sorted by major producing countries. The mine production in Russia reached an amount of some 86 metric tons in 2019. The average price of palladium was 950 U.S. dollars per ounce in 2019. Palladium is a metal, close to platinum in chemical composition, used primarily within catalytic converters, a key component of internal combustion engines that power the majority of motor vehicles produced worldwide. ",bar,20-Feb,Worldwide,2015 to 2019,,,https://www.statista.com/statistics/273647/global-mine-production-of-palladium/,"['Unnamed: 0', '2015', '2016', '2017', '2018', '2019*']",487.0,multi_col-284.txt
"
                        Percentage of the population who suffered from eating disorders worldwide from 1990 to 2017
                    ",out/two_col/data/25280.csv,out/two_col/imgs/25280.png," This statistic depicts the percentage of the population who had eating disorders worldwide from 1990 to 2017. According to the data, the rate of eating disorders increased from .18 percent in 1990 to .21 percent in 2017. "," This statistic depicts the percentage of the population who had eating disorders worldwide from 1990 to 2017. According to the data, the rate of eating disorders increased from .18 percent in 1990 to .21 percent in 2017. ",bar,Aug-19,Worldwide,1990 to 2017,Unnamed: 0,Percentage of people,https://www.statista.com/statistics/1035184/percentage-of-people-with-eating-disorders-worldwide/,,,two_col-25280.txt
"
                        Share of children participating in swimming, diving or lifesaving activities in the last 4 weeks in England from 2010 to 2018
                    ",out/multi_col/data/4424.csv,out/multi_col/imgs/4424.png,"Swimming is the most popular sport among 5 to 10 year olds in England by far. In an annual governmental survey, it was found that half of children in said age group had been participating in either swimming, diving or lifesaving activities. The second most popular type of sport was football, which becomes more popular overall as children get older. Among 11 to 15 year olds roughly a third had been swimming in the past four weeks, however almost half had been playing football at this point. 17 million people participate in outdoor water sport activities Water sports un the United Kingdom (UK) show a variety of activities that people take part in. In 2018, approximately 17 million people took part in outdoor water sport activity. There has been an increase in outdoor swimming overall, yet a decrease in people who go swimming on a regular basis. 1.2 million recreational boats owned in the UK Recreational boating represents a big part of the outdoor recreation and water sports market in the UK. Approximately 700 thousand households own 1.2 million boats, of which the most popular type is the canoe/kayak, followed by small sailing boats. Half of boating activity takes place during summer time and 43 percent people do not always use a lifejacket. ","Swimming is the most popular sport among 5 to 10 year olds in England by far. In an annual governmental survey, it was found that half of children in said age group had been participating in either swimming, diving or lifesaving activities. The second most popular type of sport was football, which becomes more popular overall as children get older. Among 11 to 15 year olds roughly a third had been swimming in the past four weeks, however almost half had been playing football at this point. ",column,18-Aug,United Kingdom (England),2010/11 to 2017/18**,,,https://www.statista.com/statistics/421132/swimming-childrens-sport-involvment-england-uk/,"['Unnamed: 0', '5-10 years', '11-15 years']",495.0,multi_col-4424.txt
"
                        Amount of freight transported by all inland modes of transportation in the United Kingdom from 2006 to 2018 
                    
                            (in million tonne-kilometers)
                        ",out/two_col/data/26113.csv,out/two_col/imgs/26113.png," This statistic shows the total amount of freight transported annually in the United Kingdom (UK) by all inland modes of transport between 2006 and 2018, including freight trains, road transportation and inland shipping. A slight decrease in the amount of freight transported can be observed over the time period shown. In 2018, around 178.4 billion tonne-kilometers of freight were transported within the UK. "," This statistic shows the total amount of freight transported annually in the United Kingdom (UK) by all inland modes of transport between 2006 and 2018, including freight trains, road transportation and inland shipping. A slight decrease in the amount of freight transported can be observed over the time period shown. In 2018, around 178.4 billion tonne-kilometers of freight were transported within the UK. ",column,2020,United Kingdom,2006 to 2018,Unnamed: 0,Transport volume in million tonne-kilometers,https://www.statista.com/statistics/436009/uk-total-tonne-kilometres-of-freight-transported/,,,two_col-26113.txt
"
                        Number of hotels in Paris in 2016, by arrondissement
                    ",out/two_col/data/20605.csv,out/two_col/imgs/20605.png," This statistic presents the number of hotels in Paris in 2016, by arrondissement. That year, there were roughly 100 hotels in the 6th arrondissement. In addition to that, almost 150 were in the 8th arrondissement. As the same time in the French capital, the occupancy rate of hotels in April was higher than 65 percent. "," This statistic presents the number of hotels in Paris in 2016, by arrondissement. That year, there were roughly 100 hotels in the 6th arrondissement. In addition to that, almost 150 were in the 8th arrondissement. As the same time in the French capital, the occupancy rate of hotels in April was higher than 65 percent. ",bar,Jun-17,France,2016,Unnamed: 0,Number of hotels,https://www.statista.com/statistics/748611/number-of-hotel-room-paris-rating/,,,two_col-20605.txt
"
                        Year-on-year growth in online sales due to coronavirus in Canada in March to May 2020, by sector
                    ",out/multi_col/data/2963.csv,out/multi_col/imgs/2963.png," Online sales of household appliances, electronics, building materials, and DIY have rocketed since the outbreak of the coronavirus pandemic in Canada. Sales within this sector increased by 625 percent between March 11 and May 3, 2020, compared to the same period in 2019. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page. "," Online sales of household appliances, electronics, building materials, and DIY have rocketed since the outbreak of the coronavirus pandemic in Canada. Sales within this sector increased by 625 percent between March 11 and May 3, 2020, compared to the same period in 2019.  For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page. ",bar,20-May,Canada,"March 11 to May 3, 2020",,,https://www.statista.com/statistics/1111235/coronavirus-growth-online-sales-canada-segment/,"['Unnamed: 0', 'YoY vs. same period 2019', 'April 27th - May 3rd 2020 vs. pervious week']",392.0,multi_col-2963.txt
"
                        Number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020 
                    
                            (in millions)
                        ",out/two_col/data/18028.csv,out/two_col/imgs/18028.png, The statistic shows the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. The figure for unique mobile subscribers in this region is forecasted to top 2 billion by 2016. , The statistic shows the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. The figure for unique mobile subscribers in this region is forecasted to top 2 billion by 2016. ,column,Jul-15,APAC,2008 to 2015,Unnamed: 0,Unique mobile subscribers in millions,https://www.statista.com/statistics/376698/unique-mobile-subscribers-asia-pacific/,,,two_col-18028.txt
"
                        Compared to 20 or 30 years ago, do you think people are more rude, less rude, or about the same?
                    ",out/two_col/data/4674.csv,out/two_col/imgs/4674.png," This statistic shows the results of a survey conducted among adult Americans in 2016 on whether they believe that people are more rude nowadays than they were some decades ago. During the survey, 74 percent of respondents said they believe people are more rude than they were 20 or 30 years ago. "," This statistic shows the results of a survey conducted among adult Americans in 2016 on whether they believe that people are more rude nowadays than they were some decades ago. During the survey, 74 percent of respondents said they believe people are more rude than they were 20 or 30 years ago. ",column,Apr-16,United States,"March 17-23, 2016",Unnamed: 0,Share of respondents,https://www.statista.com/statistics/539628/rudeness-survey-united-states/,,,two_col-4674.txt
"
                        Number of  insecticide-treated mosquito nets distributed by UNICEF worldwide 
                    
                            (in millions)
                        ",out/two_col/data/15461.csv,out/two_col/imgs/15461.png, The graph shows a time series of the number of mosquito nets distributed by UNICEF worldwide in the years 2000 to 2008. , The graph shows a time series of the number of mosquito nets distributed by UNICEF worldwide in the years 2000 to 2008. ,line,Jun-09,Worldwide,2000-2008,Unnamed: 0,Number of distributed mosquito nets (in millions),https://www.statista.com/statistics/263312/globally-distributed-mosquito-nets-by-unicef-in-millions/,,,two_col-15461.txt
"
                        Direct contribution of travel and tourism to GDP in India from 2012 to 2028 
                    
                            (in billion U.S. dollars)
                        ",out/two_col/data/6256.csv,out/two_col/imgs/6256.png," In 2017, the direct contribution of travel and tourism sector to India's GDP was over 91 billion U.S. dollars. This was estimated to increase to 98 billion U.S. dollars in 2018 and forecast to be 194 billion U.S. dollars by 2028. India had the second highest tourism GDP contribution in Asia-Pacific in 2017. Ever-growing industry Travel and tourism is one of India’s largest economic sectors, ranking eighth among the leading countries in terms of direct contribution to GDP. As a dynamic sector, it was estimated to provide employment to over 81 million people in 2018, including both direct and indirect employment. Even though a variety of skilled jobs are offered in this sector, employment under passenger transportation has been the highest through the years. Tourism as revenue machinery Most of the tourism revenue in India comes from domestic tourists. However, India has witnessed an exponential rise in foreign exchange earnings since 2000, along with an increased inflow of foreign tourists into the country. Even though India is not among the top ten countries with the highest foreign tourism revenue, it is not too far behind. In recent years, the government has implemented new visa policies and advertised niche tourism products to boost tourism. "," In 2017, the direct contribution of travel and tourism sector to India's GDP was over 91 billion U.S. dollars. This was estimated to increase to 98 billion U.S. dollars in 2018 and forecast to be 194 billion U.S. dollars by 2028. India had the second highest tourism GDP contribution in Asia-Pacific in 2017. ",column,Oct-19,India,2012 to 2017,Unnamed: 0,Direct contribution in billion U.S. dollars,https://www.statista.com/statistics/313665/direct-contribution-of-travel-and-tourism-to-gdp-in-india/,,,two_col-6256.txt
"
                        Twitter penetration in selected Middle Eastern and North African countries as of March 2013
                    ",out/two_col/data/11458.csv,out/two_col/imgs/11458.png," This statistic provides information on the Twitter penetration in selected Middle Eastern and Northern African countries as of March 2013. As of that month, Kuwait had the highest Twitter usage rate with 7.6 percent of the population using the social network. "," This statistic provides information on the Twitter penetration in selected Middle Eastern and Northern African countries as of March 2013. As of that month, Kuwait had the highest Twitter usage rate with 7.6 percent of the population using the social network. ",bar,Jun-13,"Africa, MENA",Mar-13,Unnamed: 0,Share of population using Twitter,https://www.statista.com/statistics/238545/twitter-penetration-in-selected-mena-countries/,,,two_col-11458.txt
"
                        U.S. auto sales from 1990 to 2019 
                    
                            (in millions)
                        ",out/two_col/data/7439.csv,out/two_col/imgs/7439.png," This statistic represents auto sales in the United States from 1990 through 2019. In 2019, approximately 4.73 million autos were sold to individual customers and corporate fleets in the United States. "," This statistic represents auto sales in the United States from 1990 through 2019. In 2019, approximately 4.73 million autos were sold to individual customers and corporate fleets in the United States. ",line,Jan-20,United States,1990 to 2019,Unnamed: 0,Passenger car sales in millions,https://www.statista.com/statistics/183601/us-sales-of-passenger-cars-since-1990/,,,two_col-7439.txt
"
                        Forecast volume of sheep meat consumed in the European Union (EU 28) from 2015 to 2028*   
                    
                            (in 1,000 tonnes)
                        ",out/two_col/data/11975.csv,out/two_col/imgs/11975.png," This statistic illustrates the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of sheep meat will increase to 0.75 million tonnes by 2028. "," This statistic illustrates the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of sheep meat will increase to 0.75 million tonnes by 2028. ",column,2019,Europe,2015 to 2018,Unnamed: 0,Volume in thousand tonnes,https://www.statista.com/statistics/545582/sheep-meat-consumption-volume-european-union-28/,,,two_col-11975.txt
"
                        Hong Kong: Population growth  from 2009 to 2019 
                    
                            (compared to previous year)
                        ",out/two_col/data/16177.csv,out/two_col/imgs/16177.png," This statistic shows the population growth in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.75 percent, compared to the previous year. "," This statistic shows the population growth in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.75 percent, compared to the previous year. ",column,Oct-20,Hong Kong,2009 to 2019,Unnamed: 0,Population growth compared to previous year,https://www.statista.com/statistics/604454/population-growth-in-hong-kong/,,,two_col-16177.txt
"
                        Number of employees of the television company Sky Italia in Italy from 2011 to 2017
                    ",out/two_col/data/22943.csv,out/two_col/imgs/22943.png," The statistic shows the number of employees of the television company Sky Italia from 2011 to 2017. The number of employees of Sky Italia has permanently increased passing from 2,467 in 2011 to 2,867 in 2017. "," The statistic shows the number of employees of the television company Sky Italia from 2011 to 2017. The number of employees of Sky Italia has permanently increased passing from 2,467 in 2011 to 2,867 in 2017. ",column,Apr-18,Italy,2011 to 2017,Unnamed: 0,Number of employees,https://www.statista.com/statistics/662633/sky-italia-number-of-emplyees-italy/,,,two_col-22943.txt
"
                        Average age at the time of college graduation in Canada from 2000 to 2010
                    ",out/two_col/data/10673.csv,out/two_col/imgs/10673.png," The graph shows the average age of college graduates in Canada from 2000 to 2010. In 2010, the average age, at the time of college graduation, was 28 years in Canada. "," The graph shows the average age of college graduates in Canada from 2000 to 2010. In 2010, the average age, at the time of college graduation, was 28 years in Canada. ",column,Dec-14,Canada,2000-2010,Unnamed: 0,Average age in years,https://www.statista.com/statistics/451754/average-college-graduation-age-in-canada/,,,two_col-10673.txt
"
                        How concerned are you about the following issues?
                    ",out/two_col/data/27132.csv,out/two_col/imgs/27132.png," This survey ranks social issues by level of public concern in the United Kingdom (UK) in 2012. Of respondents, 89 percent were concerned about unemployment. "," This survey ranks social issues by level of public concern in the United Kingdom (UK) in 2012. Of respondents, 89 percent were concerned about unemployment. ",bar,Jun-13,United Kingdom,"February 21 to April 18, 2013",Unnamed: 0,Share of respondents concerned,https://www.statista.com/statistics/285503/social-issues-of-concern-in-the-united-kingdom-uk/,,,two_col-27132.txt
"
                        Leading countries for total premiums written on the insurance market in Europe in 2018, by country 
                    
                            (in billion euros)
                        ",out/two_col/data/17896.csv,out/two_col/imgs/17896.png," Insurance premiums are the amount paid to an insurance company for an insurance policy and make up the primary revenue source for insurers. In 2018, the United Kingdom (UK), France and Germany were the three largest European markets. Insurance penetration The insurance penetration rate shows how the sector relates to the economy of the country and is calculated as the ratio of insurance premiums written to the GDP of the country. In the UK, insurance penetration was 14.3 percent, the highest in Europe. Market concentration The importance of the sector to the economy can also be seen in the market concentration. Bigger markets are less concentrated, meaning that the largest companies make up a smaller share of the market. In Germany, for instance, the leading three life and non-life insurers made up 24 and 26 percent of the market share, respectively. Germany also led the ranking by number of domestic insurers. "," Insurance premiums are the amount paid to an insurance company for an insurance policy and make up the primary revenue source for insurers. In 2018, the United Kingdom (UK), France and Germany were the three largest European markets. ",bar,Aug-20,Europe,2018,Unnamed: 0,Premiums written in billion euros,https://www.statista.com/statistics/820843/insurance-europe-total-premiums-written/,,,two_col-17896.txt
"
                        Did you use mobile internet on a device in the past 3 months?*
                    ",out/multi_col/data/5631.csv,out/multi_col/imgs/5631.png," This statistic shows the responses to the survey question: ""Did you use mobile internet on a device in the past three months?"" This figure illustrates the share of individuals using mobile internet with different devices in 2019, by origin. As of 2019, 23.9 percent of the individuals with an immigrant background in the Netherlands said they used mobile internet on a tablet. "," This statistic shows the responses to the survey question: ""Did you use mobile internet on a device in the past three months?"" This figure illustrates the share of individuals using mobile internet with different devices in 2019, by origin. As of 2019, 23.9 percent of the individuals with an immigrant background in the Netherlands said they used mobile internet on a tablet. ",table,19-Oct,Netherlands,2019,,,https://www.statista.com/statistics/575391/mobile-internet-usage-in-the-netherlands-by-device-and-origin/,"['Unnamed: 0', 'Total', 'Mobile phone or smartphone', 'Laptop', 'Tablet', 'Other mobile device']",378.0,multi_col-5631.txt
"
                        Effectiveness of recruitment channels worldwide in 2018, by effectiveness score
                    ",out/two_col/data/22160.csv,out/two_col/imgs/22160.png," This statistic displays the effectiveness of recruitment channels worldwide in 2018, ranked using an effectiveness score. During the survey, the second most effective recruitment channel was internal recruitment, with a score of 15.42. The effectiveness score is calculated through dividing the portion of overall hires due to a channel by the portion of overall applications received from that channel. "," This statistic displays the effectiveness of recruitment channels worldwide in 2018, ranked using an effectiveness score. During the survey, the second most effective recruitment channel was internal recruitment, with a score of 15.42.  The effectiveness score is calculated through dividing the portion of overall hires due to a channel by the portion of overall applications received from that channel. ",bar,Mar-19,Worldwide,2018,Unnamed: 0,Effectiveness score,https://www.statista.com/statistics/881148/effectiveness-of-recruitment-channels-worldwide/,,,two_col-22160.txt
"
                        U.S. customer satisfaction with Google from 2002 to 2020 
                    
                            (index score)
                        ",out/two_col/data/3510.csv,out/two_col/imgs/3510.png," This graph shows the American Customer Satisfaction Index (ACSI) score of customer satisfaction with the search engine Google from 2002 to 2020. In the most recently reported period, the customer satisfaction score of the online search provider was 79 out of 100 index points. "," This graph shows the American Customer Satisfaction Index (ACSI) score of customer satisfaction with the search engine Google from 2002 to 2020. In the most recently reported period, the customer satisfaction score of the online search provider was 79 out of 100 index points. ",line,Aug-20,United States,2002 to 2020,Unnamed: 0,Index score (100-point scale),https://www.statista.com/statistics/185966/us-customer-satisfaction-with-google/,,,two_col-3510.txt
"
                        Frequency of Twitter use in the United States as of 3rd quarter 2020
                    ",out/two_col/data/7441.csv,out/two_col/imgs/7441.png," As of the third quarter of 2020, it was found that 52 percent of Twitter users in the United States accessed the social platform on a daily basis. Overall, 96 percent of responding Twitter users claimed that they used the platform monthly. "," As of the third quarter of 2020, it was found that 52 percent of Twitter users in the United States accessed the social platform on a daily basis. Overall, 96 percent of responding Twitter users claimed that they used the platform monthly. ",column,Sep-20,United States,Q3 2020,Unnamed: 0,Share of respondents,https://www.statista.com/statistics/234245/twitter-usage-frequency-in-the-united-states/,,,two_col-7441.txt
