number,File_No,title,img,data,Gold Standard,TAB-BART,TAB-T5,OCR-T5
10,two_col-16101.txt,Contemporary artworks with the highest auction price worldwide between July 2018 and June 2019 (in million U.S. dollars)*,statista/dataset/imgs/two_col-16101.png,statista/dataset/data/two_col-16101.csv,This statistic shows the contemporary artworks with the highest auction price worldwide in 2019. Jeff Koons had the highest hammer price with his piece 'Rabbit' in 2019 at over 91 million U.S. dollars.,"This statistic shows the most expensive contemporary artworks with the highest auction price worldwide between July 2018 and June 2019. Between July 2018 to June 2019, the top auction price for the discography of Jean-Michel Basquiat was 20.9 million U.S. dollars.","This statistic shows the contemporary artworks with the highest auction price worldwide between July 2018 and June 2019. Jeff Koons's sculpture ""The Rabbit"" had the highest auction price in June 2019, at 91.08 million U.S. dollars.","This statistic shows the contemporary artworks with the highest auction price worldwide between July 2018 and June 2019. According to the source, Jeff Koons' ""Rainbow"" ranked first with an auction price of 91 million U.S. dollars, followed by Jean-Michel Pollo's ""Fritoy"" at 257 million U.S. dollars."
11,two_col-15287.txt,Revenue from retail sales of natural or artificial plants and flowers in the United Kingdom (UK) from 2008 to 2018 (in million GBP),statista/dataset/imgs/two_col-15287.png,statista/dataset/data/two_col-15287.csv,"This statistic shows the total annual turnover of the retail sales of natural or artificial plants and flowers in the United Kingdom from 2008 to 2018. In 2009 turnover from the retail sale of plants and flowers dropped from 4.19 billion British pounds (GBP) in 2008 to 2.97 billion GBP in 2009. Since then sales have somewhat recovered, reaching around 3.8 million GBP in 2013. This number rose in 2015, where figures reached 4.8 billion British pounds.","This statistic shows the revenue from the retail sale of natural or artificial plants and flowers in the United Kingdom (UK) from 2008 to 2018. In 2018, the retail sales of natural and artificial flowers amounted to approximately 4.3 billion British pounds.","This statistic shows the total revenue generated from the retail sales of natural or artificial plants and flowers in the United Kingdom (UK) from 2008 to 2018. In 2018, retail sales of plants and flowers generated a total revenue of approximately 4.2 billion British pounds.",This statistic shows the revenue from retail sales of natural or artificial plants and flowers in the United Kingdom (UK) from 2008 to 2018. Retail sales of natural or artificial plants and flowers generated a revenue of approximately 4.8 billion British pounds in 2018.
12,multi_col-284.txt,"Global mine production of palladium from 2015 to 2019, by country (in metric tons)",statista/dataset/imgs/multi_col-284.png,statista/dataset/data/multi_col-284.csv,"This statistic shows the global mine production of palladium from 2015 to 2019, sorted by major producing countries. The mine production in Russia reached an amount of some 86 metric tons in 2019. The average price of palladium was 950 U.S. dollars per ounce in 2019. Palladium is a metal, close to platinum in chemical composition, used primarily within catalytic converters, a key component of internal combustion engines that power the majority of motor vehicles produced worldwide.","This statistic outlines the global mine production of palladium from 2015 to 2019, by country. In 2019, the United States produced some 13.6 metric tons from mines.","This statistic shows the global mine production of palladium from 2015 to 2019, by country. In 2019, Russia produced some 86 metric tons of palladium.","This statistic shows the global mine production of palladium from 2015 to 2019, by country. In 2019, the U.S. mine production of palladium amounted to approximately 2.9 metric tons."
13,two_col-25280.txt,Percentage of the population who suffered from eating disorders worldwide from 1990 to 2017,statista/dataset/imgs/two_col-25280.png,statista/dataset/data/two_col-25280.csv,"This statistic depicts the percentage of the population who had eating disorders worldwide from 1990 to 2017. According to the data, the rate of eating disorders increased from .18 percent in 1990 to .21 percent in 2017.","This statistic depicts the percentage of the population who suffered from an eating disorder worldwide from 1990 to 2017. According to the data, in 2017, some 0.21 percent of the world population suffered from a eating disorder.","This statistic shows the percentage of the population who suffered from eating disorders worldwide from 1990 to 2017. According to the data, 0.21 percent of the population suffered from an eating disorder as of 2017.","This statistic shows the percentage of the population who suffered from eating disorders worldwide from 1990 to 2017. In 2017, around 0.25 percent of the population suffered from eating disorders."
14,multi_col-4424.txt,"Share of children participating in swimming, diving or lifesaving activities in the last 4 weeks in England from 2010 to 2018",statista/dataset/imgs/multi_col-4424.png,statista/dataset/data/multi_col-4424.csv,"Swimming is the most popular sport among 5 to 10 year olds in England by far. In an annual governmental survey, it was found that half of children in said age group had been participating in either swimming, diving or lifesaving activities. The second most popular type of sport was football, which becomes more popular overall as children get older. Among 11 to 15 year olds roughly a third had been swimming in the past four weeks, however almost half had been playing football at this point.","This statistic presents the share of children who recently participated in swimming, diving or lifesaving activities in England, according to annual surveys conducted between 2010/11 and 2017/18. According to the most recent survey conducted in 2018, approximately 49.5 percent of 5-10 year olds, 11-15 year olds and under had participated swimming in the 4 weeks prior to the survey.","This statistic displays the share of children who participated in swimming, diving or lifesaving activities in the last 4 weeks in England from 2010 to 2018. In the period 2017/18, approximately 30 percent of children aged 11 to 15 participated in lifesaving activities.","This statistic shows the share of children participating in swimming, diving or lifesaving activities in the last 4 weeks in England from 2010 to 2018. The share of children participating in swimming, diving or lifesaving activities increased from 24.9 percent in 2010 to 53.5 percent in 2018."
15,two_col-26113.txt,Amount of freight transported by all inland modes of transportation in the United Kingdom from 2006 to 2018 (in million tonne-kilometers),statista/dataset/imgs/two_col-26113.png,statista/dataset/data/two_col-26113.csv,"This statistic shows the total amount of freight transported annually in the United Kingdom (UK) by all inland modes of transport between 2006 and 2018, including freight trains, road transportation and inland shipping. A slight decrease in the amount of freight transported can be observed over the time period shown. In 2018, around 178.4 billion tonne-kilometers of freight were transported within the UK.","This statistic shows the total amount of freight transported annually in the United Kingdom (UK) by all inland modes of transport between 2006 and 2018, in million tonne-kilometers. In the period under consideration, transport volume presented a trend of decline. In 2018, total freight transport amounted to a total of 171.84 billion tonne (kilometers).","This statistic shows the total amount of freight transported annually in the United Kingdom (UK) by all inland modes of transport between 2006 and 2018, including freight trains, road transport and inland shipping. In 2018, around 178.4 billion tonne-kilometers of freight were transported within the UK.","This statistic shows the total amount of freight transported by all inland modes of transport in the United Kingdom from 2006 to 2018. In 2018, the total amount of freight transported by all inland modes of transport amounted to approximately 204 billion tonne-kilometers."
16,two_col-20605.txt,"Number of hotels in Paris in 2016, by arrondissement",statista/dataset/imgs/two_col-20605.png,statista/dataset/data/two_col-20605.csv,"This statistic presents the number of hotels in Paris in 2016, by arrondissement. That year, there were roughly 100 hotels in the 6th arrondissement. In addition to that, almost 150 were in the 8th arrondissement. As the same time in the French capital, the occupancy rate of hotels in April was higher than 65 percent.","This statistic shows the number of hotels in Paris in 2016, by arrondissement. In 2016, there were 76 hotels in the Parisian capital.","This statistic shows the number of hotels in Paris in 2016, by arrondissement. In the first half of 2016, there were 76 hotels in the Parisian capital.","This statistic shows the number of hotels in Paris in 2016, by arrondissement. In 2016, there were 76 hotels in the 1st arrondissement of Paris."
17,multi_col-2963.txt,"Year-on-year growth in online sales due to coronavirus in Canada in March to May 2020, by sector",statista/dataset/imgs/multi_col-2963.png,statista/dataset/data/multi_col-2963.csv,"Online sales of household appliances, electronics, building materials, and DIY have rocketed since the outbreak of the coronavirus pandemic in Canada. Sales within this sector increased by 625 percent between March 11 and May 3, 2020, compared to the same period in 2019.  For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","In the week ending May 3rd, 2020, online sales of household appliances, electronics, building materials and DIY in Canada increased by 625 percent compared to the same week in 2019. This statistic shows the year-on-year growth in online sales in Canada in March to May 2020, by sector.","In the week of April 27th to May 3, 2020, online sales in the household appliances, electronics, building materials and DIY sector in Canada increased by 625 percent compared to the same period in 2019. The online retail sales sector in the country experienced a decrease of 61 percent in the week ending May 3, 2020.","This statistic shows the year-on-year growth in online sales due to the coronavirus (COVID-19) pandemic in Canada in March to May 2020, by sector. In the week ending April 27th, online sales in the clothing sector grew by 75 percent compared to the same period in 2019. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
18,two_col-18028.txt,Number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020 (in millions),statista/dataset/imgs/two_col-18028.png,statista/dataset/data/two_col-18028.csv,The statistic shows the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. The figure for unique mobile subscribers in this region is forecasted to top 2 billion by 2016.,"The statistic shows the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. In 2020, there were approximately 2.73 billion unique mobile subscriptions in the APAC region.","This statistic presents the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. In 2020, there were approximately 2.37 billion unique mobile subscribers in the Asia Pacific region.","This statistic shows the number of unique mobile subscribers in the Asia Pacific region from 2008 to 2020. In 2020, there were approximately 2.37 billion unique mobile subscribers in the Asia Pacific region."
19,two_col-4674.txt,"Compared to 20 or 30 years ago, do you think people are more rude, less rude, or about the same?",statista/dataset/imgs/two_col-4674.png,statista/dataset/data/two_col-4674.csv,"This statistic shows the results of a survey conducted among adult Americans in 2016 on whether they believe that people are more rude nowadays than they were some decades ago. During the survey, 74 percent of respondents said they believe people are more rude than they were 20 or 30 years ago.","This statistic shows the results of a 2013 survey among adult Americans on whether they think people are more rude, less rude, or about the same. 74 percent of respondents stated that they think that people were more rude in 2013 than they were ten years ago.","This statistic shows the results of a survey among adult Americans on whether they think people are more rude, less rude, or about the same as 20 or 30 years ago. 74 percent of respondents stated they think people are more rude than 20 or 30 years ago.","This statistic shows the results of a survey among adult Americans on whether they think people are more rude, less rude, or about the same as 20 or 30 years ago. During the survey, 74 percent of respondents stated they think people are more rude than 20 or 30 years ago."
20,two_col-15461.txt,Number of insecticide-treated mosquito nets distributed by UNICEF worldwide (in millions),statista/dataset/imgs/two_col-15461.png,statista/dataset/data/two_col-15461.csv,The graph shows a time series of the number of mosquito nets distributed by UNICEF worldwide in the years 2000 to 2008.,"This statistic shows the number of insecticide-treated mosquito nets distributed by UNICEF worldwide in million. In 2008, UNICEFs distributed some 20 million insecticide treated mosquito nets.","This statistic shows the number of insecticide-treated mosquito nets distributed by UNICEF worldwide in 2008. In 2008, UNICEF distributed 20 million insecticide-treated mosquito nets.","This statistic shows the number of insecticide-treated mosquito nets distributed by UNICEF worldwide in 2000. In 2000, UNICEF distributed 25 million insecticide-treated mosquito nets."
21,two_col-6256.txt,Direct contribution of travel and tourism to GDP in India from 2012 to 2028 (in billion U.S. dollars),statista/dataset/imgs/two_col-6256.png,statista/dataset/data/two_col-6256.csv,"In 2017, the direct contribution of travel and tourism sector to India's GDP was over 91 billion U.S. dollars. This was estimated to increase to 98 billion U.S. dollars in 2018 and forecast to be 194 billion U.S. dollars by 2028. India had the second highest tourism GDP contribution in Asia-Pacific in 2017.","This statistic described the direct contribution of travel and tourism to GDP in India from 2012 to 2017, with an estimate for 2018 and a forecast for 2028. According to the source, the direct travel contribution of tourism to the GDP of India was estimated to be around 91.27 billion U.S. dollars in 2017.","This statistic describes the direct contribution of travel and tourism to GDP in India from 2012 to 2018, with an additional forecast for 2028. In 2017, the direct contribution of travel and tourism to GDP in India was around 91.27 billion U.S. dollars.","In 2018, the direct contribution of travel and tourism to GDP in India amounted to around 98.17 billion U.S. dollars. This was forecasted to increase to around 194.9 billion U.S. dollars by 2028."
22,two_col-11458.txt,Twitter penetration in selected Middle Eastern and North African countries as of March 2013,statista/dataset/imgs/two_col-11458.png,statista/dataset/data/two_col-11458.csv,"This statistic provides information on the Twitter penetration in selected Middle Eastern and Northern African countries as of March 2013. As of that month, Kuwait had the highest Twitter usage rate with 7.6 percent of the population using the social network.","This statistic gives information on the Twitter penetration in selected Middle Eastern and North African countries as of March 2013. During this period of time, it was found that 7.6 percent of the population in Kuwait used the social network.","This statistic presents the share of the population using Twitter in selected Middle Eastern and North African countries as of March 2013. During the survey period, it was found that 7.6 percent of the Kuwaiti population used Twitter.","This statistic presents the Twitter penetration in selected Middle Eastern and North African countries as of March 2013. During the measured period, it was found that 76 percent of the population in Kuwait used Twitter."
23,two_col-7439.txt,U.S. auto sales from 1990 to 2019 (in millions),statista/dataset/imgs/two_col-7439.png,statista/dataset/data/two_col-7439.csv,"This statistic represents auto sales in the United States from 1990 through 2019. In 2019, approximately 4.73 million autos were sold to individual customers and corporate fleets in the United States.","In 2019, about 4.73 million passenger cars were sold in the United States. This is a slight decrease from the previous year, when around 5.3 million passenger vehicles were sold.","This statistic represents U.S. auto sales between 1990 and 2019. In 2019, U.S. passenger car sales amounted to about 4.73 million units.","In 2019, U.S. auto sales amounted to about 9.4 million units, up from 9.4 million units in the previous year. The number of cars sold in the U.S. has been steadily increasing since the beginning of the decade."
24,two_col-11975.txt,"Forecast volume of sheep meat consumed in the European Union (EU 28) from 2015 to 2028* (in 1,000 tonnes)",statista/dataset/imgs/two_col-11975.png,statista/dataset/data/two_col-11975.csv,"This statistic illustrates the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of sheep meat will increase to 0.75 million tonnes by 2028.","This statistic illustrates the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of lamb meat was forecast to amount to approximately 743 thousand tonnes by 2028, an increase from 724 thousand tonnes in 2015.","This statistic illustrates the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of sheep meat will increase to approximately 747 thousand tonnes by 2028.","This statistic shows the forecast volume of sheep meat consumed in the European Union-28 from 2015 to 2028. According to the data, the estimated consumption volume of sheep meat will increase to approximately 724 thousand tonnes by 2028."
25,two_col-16177.txt,Hong Kong: Population growth from 2009 to 2019 (compared to previous year),statista/dataset/imgs/two_col-16177.png,statista/dataset/data/two_col-16177.csv,"This statistic shows the population growth in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.75 percent, compared to the previous year.","This statistic shows the population change in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.75 percent compared to the previous year.","This statistic shows the population growth in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.75 percent compared to the previous year.","This statistic shows the population change in Hong Kong from 2009 to 2019. In 2019, Hong Kong's population increased by approximately 0.62 percent compared to the previous year."
26,two_col-22943.txt,Number of employees of the television company Sky Italia in Italy from 2011 to 2017,statista/dataset/imgs/two_col-22943.png,statista/dataset/data/two_col-22943.csv,"The statistic shows the number of employees of the television company Sky Italia from 2011 to 2017. The number of employees of Sky Italia has permanently increased passing from 2,467 in 2011 to 2,867 in 2017.","This statistic illustrates the number of employees of the television company Sky Italia in Italy from 2011 to 2017. According to data, the number increased over the period, from 2,767 employees in 2011 to 2,867 employees in 2017.","This statistic shows the number of employees of the television company Sky Italia in Italy from 2011 to 2017. In 2017, Sky Italia employed 2,867 people.","This statistic shows the number of employees of the television company Sky Italia in Italy from 2011 to 2017. In 2017, Sky Italia employed 2,867 people."
27,two_col-10673.txt,Average age at the time of college graduation in Canada from 2000 to 2010,statista/dataset/imgs/two_col-10673.png,statista/dataset/data/two_col-10673.csv,"The graph shows the average age of college graduates in Canada from 2000 to 2010. In 2010, the average age, at the time of college graduation, was 28 years in Canada.","This statistic shows the average age at the time of college graduation in Canada from 2000 to 2010. In 2010, the average graduation age in Canada was 28 years.","This statistic shows the average age at the time of college graduation in Canada from 2000 to 2010. In 2010, the average age of graduation in Canada was 28 years.","This statistic shows the average age at the time of college graduation in Canada from 2000 to 2010. In 2010, the average age at the time of college graduation in Canada was 27 years old."
28,two_col-27132.txt,How concerned are you about the following issues?,statista/dataset/imgs/two_col-27132.png,statista/dataset/data/two_col-27132.csv,"This survey ranks social issues by level of public concern in the United Kingdom (UK) in 2012. Of respondents, 89 percent were concerned about unemployment.","This statistic shows the level of concern about certain issues in the United Kingdom (UK) in March 2014. During the survey period, 89 percent of respondents stated that they were concerned about unemployment.","This statistic shows the share of respondents concerned about environmental issues in the United Kingdom (UK) in 2014. During the survey, 79 percent of respondents stated that they were concerned about unemployment.","This statistic shows the share of respondents concerned about the following issues in the United Kingdom (UK) in 2015. During the survey, 89 percent of respondents stated that they were concerned about unemployment."
29,two_col-17896.txt,"Leading countries for total premiums written on the insurance market in Europe in 2018, by country (in billion euros)",statista/dataset/imgs/two_col-17896.png,statista/dataset/data/two_col-17896.csv,"Insurance premiums are the amount paid to an insurance company for an insurance policy and make up the primary revenue source for insurers. In 2018, the United Kingdom (UK), France and Germany were the three largest European markets.","The United Kingdom (UK) was the European country with the highest total value of total premiums written on the European insurance market in 2018, at approximately 341.6 billion euros. France came second, with premiums written amounting to 219.43 billion euros, followed by Germany at 202.4 billion.","This statistic displays the leading European countries for total premiums written on the insurance market in 2018, by country. In this year, the United Kingdom had the highest total premiums written with 341.61 billion euros.","This statistic shows the leading countries for total premiums written on the insurance market in Europe in 2018, by country. In that year, the United Kingdom was the leading country for total premiums written on the insurance market in Europe with a value of 341.61 billion euros."
30,multi_col-5631.txt,Did you use mobile internet on a device in the past 3 months?*,statista/dataset/imgs/multi_col-5631.png,statista/dataset/data/multi_col-5631.csv,"This statistic shows the responses to the survey question: ""Did you use mobile internet on a device in the past three months?"" This figure illustrates the share of individuals using mobile internet with different devices in 2019, by origin. As of 2019, 23.9 percent of the individuals with an immigrant background in the Netherlands said they used mobile internet on a tablet.","This statistic shows the mobile internet penetration in the Netherlands in 2019, by mobile device type. In 2019, 84.5 percent of the Dutch native population accessed the internet via their mobile phone or smartphone within the past three months.","This statistic displays the usage penetration of mobile internet in the Netherlands in 2013. The majority of respondents, 84.5 percent, used a mobile phone or smartphone in the past 3 months.",This statistic shows the results of a survey on mobile internet usage in the Netherlands in 2019. During the survey period it was found that 84.6 percent of immigrants used mobile internet on a device in the past 3 months.
31,two_col-22160.txt,"Effectiveness of recruitment channels worldwide in 2018, by effectiveness score",statista/dataset/imgs/two_col-22160.png,statista/dataset/data/two_col-22160.csv,"This statistic displays the effectiveness of recruitment channels worldwide in 2018, ranked using an effectiveness score. During the survey, the second most effective recruitment channel was internal recruitment, with a score of 15.42.  The effectiveness score is calculated through dividing the portion of overall hires due to a channel by the portion of overall applications received from that channel.","This statistic shows the effectiveness of recruitment channels worldwide in 2018, ranked by effectiveness score. In 2018, the effectiveness score of the hiring manager recruitment channel was 19.35.","This statistic shows the effectiveness of recruitment channels worldwide in 2018, by effectiveness score. During the survey period, the effectiveness score of internal mobility campaigns was 15.42.","This statistic shows the effectiveness of recruitment channels worldwide in 2018, by effectiveness score. In that year, internal mobility was the most effective recruitment channel with a score of 15.42, followed by custom campaigns with a score of 8.39."
32,two_col-3510.txt,U.S. customer satisfaction with Google from 2002 to 2020 (index score),statista/dataset/imgs/two_col-3510.png,statista/dataset/data/two_col-3510.csv,"This graph shows the American Customer Satisfaction Index (ACSI) score of customer satisfaction with the search engine Google from 2002 to 2020. In the most recently reported period, the customer satisfaction score of the online search provider was 79 out of 100 index points.","This timeline shows the American Customer Satisfaction Index (ACSI) score of customer satisfaction with Google from 2002 to 2020. In 2020, customer satisfaction was 79 out of 100 ASCI points.","This statistic shows the customer satisfaction with Google from 2002 to 2020. In 2020, Google's customer satisfaction score was 79 out of 100 points.","This statistic shows the U.S. customer satisfaction with Google from 2002 to 2020. In 2020, the customer satisfaction with Google was measured with an index score of 88."
