old_id,title,imgPath,caption,URL,dataPath,chartType,complexity,topic,bboxesPath,File_No,ocr-text
no_data-2390,"Atheists more likely than Americans overall to find meaning in finances, hobbies In an open-ended question, % of U.S. adults who mention when describing what provides them",multiColumn/imgs/1138.png,"Where do atheists find meaning in life? Like a majority of Americans, most atheists mentioned “family” as a source of meaning when Pew Research Center asked an open-ended question about this in a 2017 survey. But atheists were far more likely than Christians to describe hobbies as meaningful or satisfying (26% vs. 10%). Atheists also were more likely than Americans overall to describe finances and money, creative pursuits, travel, and leisure activities as meaningful. Not surprisingly, very few U.S. atheists (4%) said they found life’s meaning in spirituality.",https://www.pewresearch.org/fact-tank/2019/12/06/10-facts-about-atheists/,multiColumn/data/1138.txt,bar,complex,Religion & Public Life,multiColumn/bboxes/1138.json,multi_col-1138.txt,"Atheists more likely than Americans overall to find meaning in finances, hobbies  | In an open-ended question, % of U.S. adults who mention  | when describing what provides them  | with a sense of meaning  | Family  | Money  | Hobbies  | Travel  | 23%  | 12%  | 6%  | All Americans  | 69%  | Christian  | 5  | 73  | 22  | 10  | 13  | Atheist  | 63  | 37  | 26  | Agnostic  | 60  | 27  | 18  | 9  | Nothing particular in  | 67  | 22  | 12  | Nothing particular  | Source: Survey conducted Sept 14-28, 2017, among U.S adults  | Where Americans Find Meaning in Life""  | PEW RESEARCH CENTER "
no_data-8540,"Before splitting, media companies' profits were robust Operating proftmargins in the yyear prior to media company 's spinoff but after splitting, publishing arms fared markedly worse than broadcast Operating profitmargins in the year following spinoff",multiColumn/imgs/3691.png,"In 2014, before spinning off its publishing properties, Gannett had an operating profit margin of 39%. Following the 2015 spinoff, Gannett’s broadcasting arm, Tegna, had a similar operating profit margin of 37% – nearly three times that of its publishing sibling (13%), which retained the “Gannett Company” name. (Operating profit, often referred to as “operating income before depreciation and amortization,” represents the portion of every dollar in sales that accrues as profits, before paying taxes and investors, and excluding figures that fall outside the company’s typical operations.)",https://www.pewresearch.org/fact-tank/2016/08/09/newspaper-companies-lag-behind-their-broadcast-siblings-after-spinoffs/,multiColumn/data/3691.txt,bar,complex,Journalism & Media,multiColumn/bboxes/3691.json,multi_col-3691.txt,"Before splitting, media companies'  | profits were robust  | Operating proftmargins in the yyear prior to media  | company 's spinoff  | 35%  | Tribune  | Gannett  | 39  | Scripps  | but after splitting, publishing arms  | fared markedly worse than broadcast  | Operating profitmargins in the year following spinoff  | from  | Broa dcast successor  | Pub lishing successor  | 31%  | Tribune  | 7%  | 37  | Gannett  | 13  | Scripps  | Note: Operating profitmargin calculated as operating eamings  | before Operating interest, tax, depreci.ttionand amortzationdivided operating by  | operating revenue Tribune Company compl eted its spinoffin Augus  | 2014 operating into Tribune Media (broadcasting) Company and Tribune Publishing Augus  | (publishing; Gannett Co. Inc. completed its spinoffon Publishing June 29.  | 2015 into Tegna Inc (broadcasting) and Gannett Co. (publishing;;  | EW Scripps Tegna Co completed its spinoffon April 1, 2015 into EW  | Scripps (broadcasting) and Journa Media Group (publishing.  | Source: Thomson ONE  | PEW RESEARCH CENTER "
no_data-17469,"China But Also Policy: Strengthen Get Tough Relations on Trade, But Also Policy: Strengthen Tough Relations Trade, overy important Somewhat Not too/atall",multiColumn/imgs/6624.png,"The latest national survey by the Pew Research Center for the People & the Press, conducted Jan. 5-9 among 1,503 adults finds that by two-to-one (60% to 27%) Americans see China’s economic strength as a greater threat than its military strength. And as Obama goes into talks with the Chinese president, a 53%-majority say it is very important for the U.S. to get tougher with China on trade and economic issues.
Yet while Americans may see China as a problem, relatively few describe it as an adversary, and a 58%-majority say it is very important to build a stronger relationship between the U.S. and China. By comparison, promoting human rights and better environmental policies and practices are important, but lower priorities.",https://www.pewresearch.org/2011/01/12/strengthen-ties-with-china-but-get-tough-on-trade/,multiColumn/data/6624.txt,bar,complex,Global Attributes & Trends,multiColumn/bboxes/6624.json,multi_col-6624.txt,"China But Also Policy: Strengthen Get Tough Relations on Trade,  | But Also Policy: Strengthen Tough Relations Trade,  | overy important Somewhat Not too/atall  | relationship Build with a stronger China  | 58  | 30  | relationship Build with a stronger China  | Get trade tougher with China  | 53  | 32  | 11  | on trade tougher & econ issues  | Do more rights to promote China  | 40  | 32  | 22  | human rights promote in China  | Do more to promote policies  | environmenta promote policies  | 39  | 33  | 23  | and environmenta practices in policies China  | PEW RESEARCH CENTER Jan, 5-9, 2011, Q39a-d, "
no_data-5994,"About half of Americans say Congress is less productive than in the past % accomplished who say that, compared to recent Congresses, this Congress has accomplished say of compared",multiColumn/imgs/2610.png,"Overall, views of the productivity of Congress are little changed over the past few years. When asked to compare the current Congress to recent sessions, about half of Americans (52%) say that it has accomplished less than usual, 8% say that it has accomplished more, and a third (33%) say that it has accomplished about the same amount as recent sessions of Congress.",https://www.pewresearch.org/politics/2017/12/07/stark-partisan-divisions-over-russia-probe-including-its-importance-to-the-nation/,multiColumn/data/2610.txt,line,complex,U.S. Politics & Policy,multiColumn/bboxes/2610.json,multi_col-2610.txt,"About half of Americans say Congress is less  | productive than in the past  | % accomplished who say that, compared to recent Congresses, this Congress has  | accomplished say of compared  | 55  | Same 51  | Less 36  | 38  | 33  | More 10  | '94 '96 '98 00 02 '04 '06 '08 10 112 1114 ""16  | Trump (R)  | Presidency  | Clinton (D)  | G.W. Bush (R)  | Obama (D)  | Senate  | House  | Note: Don tknow responses notshown Q34.  | Source Survey ofu.s adults conducted Nov. 29. -Dec 4 2017  | PEW RESEARCH CENTER "
no_data-16354,"Republicans Field Dissatisfaction with Republicans Field Edges Up As a group, the Republican candidates are",multiColumn/imgs/6329.png,"Amid a bruising primary campaign, Republicans remain unimpressed with their party’s presidential field. In fact, more Republican and Republican-leaning registered voters say the GOP field is only fair or poor (52%) than did so in early January (44%).",https://www.pewresearch.org/politics/2012/01/30/gop-voters-continue-to-give-field-subpar-ratings/,multiColumn/data/6329.txt,line,complex,U.S. Politics & Policy,multiColumn/bboxes/6329.json,multi_col-6329.txt,"Republicans Field Dissatisfaction with  | Republicans Field Edges Up  | As a group, the Republican candidates are  | Exce Illent/ Good  | 51 52  | 49  | 48  | 44 46  | 46  | 43  | Only fair/Poor  | May  | Aug  | Nov  | Jan  | 2011  | 2011  | 2011  | 2012  | PEW RESEARCH CENTER Jan 26-29, 2012 Based on  | Republican and Republican-leaning registered voters. "
no_data-11729,Ticket Splitters and Ideological Consistency Based on registered lvoters,multiColumn/imgs/5026.png,"Majorities of Democratic (78%) and Republican (74%) registered voters are voting straight down their party’s ticket for major races. Even among self-identified independents who are registered to vote, 65% say they will vote a straight ticket. Independents are seven points slightly more likely to choose a straight Republican ticket than a straight Democratic ticket (33% to 26%).
Voters who hold consistent ideological viewpoints are highly likely to vote a straight party ticket. Nearly nine-in-ten (87%) with consistently conservative views choose Republican candidates down the line, while 84% of those with consistently liberal views choose a straight Democratic ticket.
Even among voters with ideologically mixed views, most (61%) still choose a slate of candidates from one party; 18% split their tickets between parties.",https://www.pewresearch.org/politics/2014/10/17/political-polarization-in-action-insights-into-the-2014-election-from-the-american-trends-panel/,multiColumn/data/5026.txt,bar,complex,U.S. Politics & Policy,multiColumn/bboxes/5026.json,multi_col-5026.txt,"Ticket Splitters and Ideological  | Consistency  | Based on registered lvoters  | Stra light  | Stra ight  | Straight other ticket  | Ticket  | DKY  | Dem ticket  | Rep ticket  | other ticket splitter  | Ref  | Consist conserv  | 87  | 70  | Mostly conserv  | 10 14  | 29  | 28 18  | Mixed  | 21  | Mostly liberal  | 61  | 7114 16  | Consist liberal  | 126  | 84  | American Trends Panel (wave 7) Survev conducted September 9-  | October 3, 2014.  | PEW RESEARCH CENTER "
no_data-10009,FIGURE1 Immigrant Share Falls Among Largest Hispanic Origin Groups since 2000 % of each group born outside of the U.S. 64%,multiColumn/imgs/4311.png,"The nation’s Hispanic population has long been characterized by its immigrant roots. But as immigration from Latin America slows, the immigrant share among each of the nation’s Hispanic origin groups is in decline, according to a new Pew Research Center analysis of U.S. Census Bureau data. This report explores data of the 14 largest Hispanic origin groups, unless otherwise noted.
The foreign-born share of Salvadorans, for example, fell from 76% in 2000 to 59% in 2013—the largest percentage point decline of any of the six largest Hispanic origin groups. Similarly, Dominicans, Guatemalans, and Colombians all had decreases of over 13 percentage points in their foreign-born shares over the same period. Mexicans, the nation’s largest Hispanic origin group, also saw a decline, though it was only 8 percentage points since 2000. A decline is underway among smaller Hispanic origin groups, too (see Appendix Table A1). Overall, the share of the Hispanic population that is foreign born has decreased from 40% in 2000 to 35% in 2013.
Despite falling immigrant shares across all Latino origin groups, fast Latino population growth has led to continued growth in the number of Latino immigrants (though growth has slowed in recent years). Among all Latinos, there were 14.1 million immigrants in 2000. By 2005, that number reached 16.8 million, and by 2013, there were 19 million Latino immigrants in the U.S. The same pattern is present among all Latino origin groups, though for three—Ecuadorians, Mexicans and Nicaraguans—the number of immigrants has declined since 2010 (for details, see Appendix Table A2).",https://www.pewresearch.org/hispanic/2015/09/15/the-impact-of-slowing-immigration-foreign-born-share-falls-among-14-largest-us-hispanic-origin-groups/,multiColumn/data/4311.txt,line,complex,Hispanic Trends,multiColumn/bboxes/4311.json,multi_col-4311.txt,"FIGURE1  | Immigrant Share Falls Among Largest Hispanic Origin  | Groups since 2000  | % of each group born outside of the U.S.  | 64%  | 80%  | Guatemalan  | 61%  | 70  | Colombian  | 59  | Salvadoran  | 60  | 57  | Cuban  | 50  | 55  | Dominican  | 40  | 35  | All Hispanics  | 33  | 30  | Mexican  | 2000  | 2005  | 2010  | 2013  | Note: ""Immigrants includes those born outside the U.S orits college territories (e. g Puerto Rico) to  | non-U S. citizen upa rents. People in group quarters such as college dormitories or institutions  | question are notincluded in figures for 2001 to 2005. Changes in the college wording lofthe Hispanic origin  | question in the 2000 decennial census may have Changes ledto an undercountof some Hispanic  | origin groups. Formore, see http: Awww. pewhispanic.org/2002 (C5108/counting-bb.com Hispanic  | hispanics  | Source Pew Research Centerta bulations of2000 census (5% IPUMS) and 2001-2013  | American Community Surveys (1% IPUMS)  | PEW RESEARCH CENTER "
no_data-10100,Fewer Report Hearing About Iran Agreement Than in Mid-July % who say nuclear they have heard on Iran's nuclear they program,imgs/709.png,"The latest national survey by the Pew Research Center, conducted Sept. 3-7 among 1,004 adults, finds that the contentious debate over the Iran agreement has not resonated widely with the public. In fact, the share saying they have heard either a lot or a little about the agreement has declined from 79% in July to 69% in the new survey. The share saying they have heard “nothing at all” about it has increased nine percentage points, from 21% to 30%.",https://www.pewresearch.org/politics/2015/09/08/support-for-iran-nuclear-agreement-falls/,data/709.txt,bar,simple,U.S. Politics & Policy,bboxes/709.json,two_col-709.txt,"Fewer Report Hearing About Iran  | Agreement Than in Mid-July  | % who say nuclear they have heard  | about the agreement  | on Iran's nuclear they program  | Nothing at all  | a lot a little  | DK  | Sep 2015  | 36  | 32  | 30  | Jul 2015  | 21  | 35  | 44  | Survey conducted Sept. 3-7, 2015. Figures may not fadd to 100%  | because of rounding.  | PEW RESEARCH CENTER "
no_data-1661,"Americans care more about having a moral, ethical president than about having a religious president % of U.S. adults who say it is very or somewhat important to them to have a U.S. president who",multiColumn/imgs/841.png,"The questions explored in this analysis, part of a survey conducted Feb. 4 to 15, did not mention President Donald Trump or any other president by name. However, other questions in the survey asked about Trump specifically, including whether respondents consider him to be morally upstanding, honest or religious. Data from those sections of the survey show that Republicans are more likely than Democrats to say that “morally upstanding” and “honest” describe Trump at least fairly well. Republicans are also more likely to view Trump as at least somewhat religious. (For the full set of findings, read the report.)",https://www.pewresearch.org/fact-tank/2020/04/16/americans-in-both-parties-want-an-ethical-president-but-democrats-more-likely-to-say-thats-very-important/,multiColumn/data/841.txt,bar,complex,U.S. Politics & Policy,multiColumn/bboxes/841.json,multi_col-841.txt,"Americans care more about having a moral, ethical president than about  | having a religious president  | % of U.S. adults who say it is very or somewhat important to them to have a U.S. president who  | has strong  | religious beliefs  | personally  | stands uu for  | (even if they  | lives a moral,  | are different  | shares your  | people with your  | ethical life  | religious beliefs  | religious beliefs  | from your own)  | Very  | Somewhat  | Very  | Somewhat  | Very Somewhat  | Very Somewhat  | All U.S adults  | 20% 32%  | 14 25%  | 63%  | 31%  | 38%  | 31%  | Christian  | 21  | 64  | 31  | 48  | 33  | 29  | 41  | 34  | Protestant  | 65  | 30  | 53  | 32  | 31  | 43  | 25  | 37  | 34  | White evangelical  | 63  | 34  | 67  | 27  | 34  | 47  | 42  | 35  | White, not evangelical  | 58  | 35  | 40  | 20  | 45  | 34  | Black Protestant  | 73  | 20  | 52  | 32  | 40  | 34  | 30  | 34  | 31  | 14 28  | Catholic  | 62  | 38  | 35  | 26  | 36  | 34  | White  | 61  | 40  | 36  | 24  | 38  | 9 28  | Hispanic  | 29  | 34  | 33  | 28  | 32  | 22  | 28  | 60  | 1 15  | Jewish  | 6  | 25  | 60  | 22  | 12 28  | 10 4  | Unaffiliated  | 32  | 19  | 28  | 17  | 5  | Atheist  | 4  | 29  | 20 22  | 2  | 59  | 4  | Agnostic  | 34  | 12 27  | Nothing in particular  | 59  | 31  | 21  | 30  | 25  | 14  | Note: Blacks and whites ware not Hispanic; Hispanics ware of jany race  | Source: Survey conducted Feb. 4-15 2020, among U.S adults.  | White Evangelicals See Trump as Fighting for Their Beliefs, Though Many Have Mixed Feelings About His Personal Conduct""  | PEW RESEARCH CENTER "
no_data-8129,"Japanese believe that to be Japanese, people should speak Japanese, be born in Japan How important do you think isfor being truly Japanese?",multiColumn/imgs/3494.png,"Japan is a relatively closed society demographically. The foreign population in Japan accounts for just 1.6% of the country’s population. This is the third-smallest share in any OECD country. And the Japanese feel strongly about their national identity. Roughly nine-in-ten Japanese believe that to be considered truly Japanese, it is very important (70%) or somewhat important (22%) to be able to speak Japanese. A similar portion says it is very (43%) or somewhat important (47%) to share national customs and traditions to identify as Japanese. And roughly three-quarters voice the view that it is very (50%) or somewhat important (27%) to have been born in Japan to be truly Japanese. The intensity of such sentiment is felt most strongly by older Japanese – those ages 50 and older – who are far more likely than those ages 18 to 34 to believe it is very important that a person be born in Japan, speak Japanese and adhere to Japanese customs and traditions to be considered truly Japanese.",https://www.pewresearch.org/global/2016/10/31/japanese-back-global-engagement-despite-concern-about-domestic-economy/,multiColumn/data/3494.txt,bar,complex,Global Attributes & Trends,multiColumn/bboxes/3494.json,multi_col-3494.txt,"Japanese believe that to be Japanese, people should  | speak Japanese, be born in Japan  | How important do you think isfor being truly Japanese?  | Very importa int  | Not very importa nt  | Somewhat important  | Not at all important  | Being able to  | 70%  | 22%  | 5% 2%  | speak Japanese  | Having been born  | 50  | 27  | 14  | 8  | in Japan  | Sharing customs Japanese and  | customs and  | 43  | 47  | 8  | traditions  | Source Spring 2016 Global Attitudes Survey. Q85a-b, d.  | PEW RESEARCH CENTER "
