number,File_No,title,ocr-text,img,Gold Standard,OCR-BART,OCR-T5
107,two_col-1540.txt,Ad Revenue: 1975 to 2005,Ad Revenue: 1975 to 2005  | Source: NAA: PEJ Res earch  | 20%  | 3 I I I  | 15%  | 10%  | 0%  | 2000  | -10%  | -15% ,pew/dataset/imgs/two_col-1540.png,"Nearly every indicator now signals a threat to newspapers. From 1950 through 1999 newspaper revenue grew seven percent a year. From 2000 through 2006, by contrast, it has grown by just 0.5%. Then in the first quarter of 2006, growth was even less: 0.35%. And though online ad revenues continue to soar, they currently account for just five percent of all newspaper company revenue. In addition to sluggish ad growth, newspapers are challenged by circulation declines, a skeptical Wall Street, ownership changes — such as Knight Ridder’s recent sale of its 32 papers — and perhaps most notably, adapting to the world of online news. In this, the third of the Pew Project for Excellence in Journalism roundtables on the future of the news media, six experts from inside the newspaper industry discuss its future, its fate, and the changes it must make to survive. The following are edited excerpts from the discussion. Read the full transcript.","Ad Revenue: The percentage of Americans who pay for national advertising has risen from 9% in 1975 to 15% in 2005. However, the growth rate of ad revenue has been much more sporadic, not particularly strong. Over the same period, the share of people who say they pay national advertising revenue has grown from 10% to 15%.","Data from the National Advertising Agency for the People & the Press, conducted April 23-May 5, 2005 among 1,480 adults, shows that ad revenue for the period from December 2007 to November 2005 declined from 37% to 10%. The percentage decline was not statistically significant."
108,multi_col-817.txt,Most Americans think more federal aid is needed to address COVID-19 impact % who say it another bill to provide more economic assistance,"Most Americans think more federal aid  | is needed to address COVID-19 impact  | % who say it  | for the president and Congress to pass  | another bill to provide more economic assistance  | Will NOT  | Will be  | be necessary  | necessary  | Total  | 20  | 77  | Upper income  | 22  | 76  | Middle income  | 21  | 77  | Lower income  | 18  | 81  | Rep/Lean Rep  | 32  | 66  | Conserv  | 36  | 61  | Mod/Lib  | 24  | 74  | Dem/Lean Dem  | 11  | 87  | Cons/Mod  | 14  | 83  | Liberal  | 92  | I  | Notes: No answer responses not shown. Family incomes are based  | on 2018 earnings and adjusted for differences in purchasing power  | by geographic region and for household size.  | Source: Survey of U.S. adults conducted April 7-12, 2020.  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-817.png,"Within the GOP, moderates and liberals (74%) are more likely than conservatives (61%) to say an additional aid package will be necessary. And liberal Democrats are slightly more likely than conservative and moderate Democrats to think another bill will be necessary (92% vs. 83%).","At the same time, a broad majority of Americans (77%) say it will be necessary for the president and Congress to pass another bill to provide more economic assistance to those with lower incomes.","Most Democrats and Democratic-leaning independents (87%) say it will be necessary for Congress to pass another bill to provide more federal assistance to the country, while a smaller share of Republicans and Republican leaners (66%) say this. Around three-quarters of Democrats (74%) say it will be necessary for the president and Congress to pass another bill to provide more aid."
109,multi_col-173.txt,"Fewer than half of crimes in the U.S. are reported, and fewer than half of reported crimes are solved % of crimes Reported to police (BJS)","Fewer than half of crimes in the U.S. are reported,  | and fewer than half of reported crimes are solved  | % of crimes  | Reported to police (BJS)  | Reported to and  | cleared by police (FBI)  | Violent victimizations  | Violent crimes  | 45. 5  | 40.9  | 40.9  | 45.4  | 32.5  | 32.1  | 17.6  | Property victimizations  | Property crimes  | 95  | '00  | '05  | '10  | '15 19  | '95  | '00  | `05  | 10  | '15 '19  | Note: BJS and FBI crime definitions differ for some offenses 2006 BJS  | estimates are not comparable with other years due to methodological changes.  | FBI figures including reflect percentage of crimes cleared through arrest or exceptional  | means including cases in which a suspect dies or a victim declines to cooperate  | with a prosecution.  | Source: U.S. Bureau of Justice Statistics (BJS), Federal Bureau of Investigation (FBI)  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-173.png,"Most violent and property crimes in the U.S. are not reported to police, and most of the crimes that are reported are not solved.
In its annual survey, BJS asks crime victims whether they reported their crime to police or not. In 2019, only 40.9% of violent crimes and 32.5% of household property crimes were reported to authorities. BJS notes that there are a variety of reasons why crime might not be reported, including fear of reprisal or “getting the offender in trouble,” a feeling that police “would not or could not do anything to help,” or a belief that the crime is “a personal issue or too trivial to report.”
Most of the crimes that are reported to police, meanwhile, are not solved, at least based on an FBI measure known as the clearance rate. That’s the share of cases each year that are closed, or “cleared,” through the arrest, charging and referral of a suspect for prosecution, or due to “exceptional” circumstances such as the death of a suspect or a victim’s refusal to cooperate with a prosecution. In 2019, police nationwide cleared 45.5% of violent crimes that were reported to them and 17.2% of the property crimes that came to their attention.","Only about half of the violent crimes and a third of the property crimes that occur in the United States each year are reported to police. And most of the crimes that are reported don’t result in the arrest, charging and prosecution of a suspect, according to government statistics.","Only about half of violent crimes and a third of the property crimes that occur in the United States each year are reported to police. And most of the crimes that are reported don’t result in the arrest, charging and prosecution of a suspect, according to government statistics."
110,multi_col-642.txt,"Across religious groups, black Americans say topics such as race relations should religious be a priority groups, for sermons; most white Amer icans disagree How important is it for churches and other houses of worship to offer sermons that address political topics important such as immigration and race relations?","Across religious groups, black Americans say topics such as race relations  | should religious be a priority groups, for sermons; most white Amer icans disagree  | How important is it for churches and other houses of worship to offer sermons that address political  | topics important such as immigration and race relations?  | Important, but  | NET  | Not  | Shouldn't  | Essential not essential  | Important  | important  | be done  | All ULS adults  | 43%  | 20%  | 35%  | 13%  | 30%  | White  | 8  | 28  | 36  | 20  | 42  | Black  | 23  | 39  | 62  | 16  | 18  | Hispanic  | 21  | 33  | 53  | 20  | 25  | Protestant  | 32  | 43  | 21  | 34  | 12  | 39 35 62 47 40 53  | White evangelical  | 29  | 36  | 10  | 23  | White, not evangelical 7  | 28  | 21  | 43  | 17  | Black Protestant  | 23  | 39  | 18  | Catholic  | 16  | 31  | 21  | 31  | White Catholic  | 9  | 30  | 22  | 36  | Hispanic Catholic  | 24  | 29  | 19  | 25  | Unaffiliated  | 40  | 12  | 28  | 19  | 40  | White unaffiliated  | 7  | 32  | 26  | 18  | 47  | Black unaffiliated  | 22  | 39  | 61  | 16  | 20  | Hispanic unaffiliated  | 23  | 32  | 55  | 19  | 25  | Note: Those who did not answer are not shown. Blacks and whites are not Hispanic; Hispanics are of any race.  | Source: Survey conducted Jan. 21 Feb 3, 2020, among U.S adults  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-642.png,"Six-in-ten black adults (62%) say it is important for houses of worship to address “political topics such as immigration and race relations” – including 23% who say covering these topics is “essential.” By contrast, 36% of white Americans say it is important for sermons to deal with these topics, and only 8% say it is essential. Four-in-ten white Americans (42%) say these themes should not be discussed in sermons. Hispanics are more divided on this issue than black or white Americans are; about half (53%) say it is important for sermons to cover political issues.","About four-in-ten white evangelical Protestants (43%) say they should be required to offer sermons that address political issues important such as immigration and race relations, while just 7% of black Protestants say the same. About half of white mainline Protestants (53%) and about a third of Catholics (28%) say these topics should be discouraged.","Even among many religious groups, black Americans see sermons on race relations as important. About six-in-ten black Protestants (62%) say such topics should be a priority for churches and other houses of worship, compared with 29% of white evangelicals and 33% of Hispanics. But black Protestants also are more likely than white evangelicals to say such topics should be important, although just 25% of white evangelicals say this."
111,multi_col-2005.txt,"Congressional districts voters, with the largest growth in Latino eligible voters, 2014-2017 Latino eligible voter growth Latino eligible voters % Latino among all 2017 (in thousands) eligible voters 2017","Congressional districts voters, with the largest growth in  | Latino eligible voters, 2014-2017  | Latino eligible voter growth Latino eligible voters % Latino among all  | 2017 (in thousands) eligible voters 2017  | 6.2%  | North Ca rolina-8  | 163 2%  | 36  | Florida 6  | 110 3  | 65  | 10 6  | North Carolina-5  | 4.4  | 713  | 25  | Florida -16  | 70.5  | 67  | 110  | South Carolina 3  | 16  | 3.0  | 66.0  | Louisiana-5  | 1.7  | 59 9  | 10  | Florida -10  | 59. 0  | 125  | 23.3  | North Carolina-12  | 58 0  | 34  | 6.0  | 12  | 2.1  | Kentucky-6  | 57 5  | Ohio-15  | 10  | 1.7  | 56 4  | Note: Eligible voters are ULS citizens ages 18 and older. Data are not available for  | Kentucky's 5th Ohio's 6th and West Virginia's 3rd districts because there ware too few cases  | to provide a reliable estimate Data for Pennsylvania's redrawn 2018 congressional  | districts not available The District of Columbia elects nonvoting delegate congressional to the House of  | Representatives.  | Source: BO5003 Pew Research BO5003I) Center analysis of American FactFinder 2017 ACS 1:year estimates  | (tables BO5003 and BO5003I)  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2005.png,"A number of congressional districts in the South saw the fastest growth of Latino eligible voters in the country. North Carolina’s 8th District saw the nation’s largest increase (163.2%) in Latino eligible voters between 2014 and 2017. The next five districts with the largest growth during this time are Florida’s 6th (up 110.3%), North Carolina’s 5th (71.3%) and Florida’s 16th (70.5%).","Hispanic eligible voters have continued to outnumber whites in congressional districts, reaching a record 35.4 million in 2017. In these districts, the number of Latino eligible voters grew 6.2% over the same period. In contrast, the share of Hispanic eligible voters living in North Carolina (9%), Florida (8%), South Carolina (5%) and Florida (3%) increased by less than 1%.","The number of Latino eligible voters increased 6.2% between 2014 and 2017 (36,500) across the congressional districts, according to an analysis of American FactFinder data. In contrast, Latinos increased slightly by 23% between 2014 and 2017 among all congressional districts."
112,multi_col-7323.txt,Measuring News Interest Week of November 11-16 Percent who followed this story very closely Percent who named story as their most closely followed,Measuring News Interest  | Week of November 11-16  | 26  | 2008 Campaign  | 20  | 31  | Situation in Iraq  | 31  | Iraq war veterans  | 15  | 20  | Pakistan  | 9  | 23  | Iraq policy  | 6  | Barry Bonds  | Percent who followed this story very closely  | Percent who named story as their most closely followed ,pew/dataset/imgs/multi_col-7323.png,"The campaign also was the public’s top story last week, with 20% citing the news about the presidential candidates as the story they followed most closely. But nearly as many (17%) mentioned the situation in Iraq or news about U.S. soldiers returning home from the war (15%) as their top stories. Notably, news organizations devoted just 3% of coverage to the Iraq home front, including stories about Iraq war veterans.
Interest in events on the ground in Iraq also remained high last week: 31% followed the war very closely and 17% listed it as their most closely followed news story. The public continues to express less interest in the debate in Washington over U.S. policy in Iraq than in the war itself. Fewer than one-in-four (23%) followed that story very closely and 6% listed it as their most closely followed story.
More than a quarter of the public (26%) paid very close attention to the presidential campaign last week. Interest in the campaign is up modestly from October when, on average, 20% of the public was following campaign news very closely. Democrats continue to pay closer attention than Republicans to the campaign. Last week 34% of Democrats and 24% of Republicans were following the campaign very closely. Only 21% of independents were paying very close attention.","The war in Iraq continued to attract broad public attention, despite drawing far less news coverage than the Imus flap. Overall, 26% of Americans say they followed news about the situation in Iraq very closely, and 31% cited the war as the story they followed most closely from October through November.",General David Bonds’s long-awaited progress report on the Iraq war made the Iraq policy debate last week’s most heavily covered news story — 26% of all national news coverage was devoted to this story. The public focused intently on Iraq as well. The campaign was the story that received the most coverage: 31% of the public followed campaign news very closely and 20% listed this as their most closely followed story of the week. Campaign news made up 16% of the newshole with a clear focus on Iraq. One-in-five paid very close attention to the story. Democrats (39%) were
113,multi_col-2078.txt,"On several aspects of corporate leadership, many give women the edge % saying women/men in top executive business positions are better at each of the following","On several aspects of corporate leadership, many give women the edge  | % saying women/men in top executive business positions are better at each of the following  | Women are better  | Men are better  | No difference  | 52%  | Creating a safe and respectful workplace  | 43%  | 5%  | Valuing people from different backgrounds  | 35  | 62  | Considering the socletal impact of  | 33  | 58  | business decisions  | Mentoring young employees  | 33  | 56  | 28  | Providing fair pay fand good benefits  | 66  | Negotiating profitable deals  | 28  | 61  | Being willing to take risks  | 49  | 8  | Note: Share of respondents who didn't Soffer an answer not shown.  | Source: Survey of U.S adults conducted June 19-July 2, 2018  | ""Women and Leadership 2018  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2078.png,"For example, in valuing people from different backgrounds, 35% say female business leaders are better, while 3% say male leaders are better. About six-in-ten (62%) don’t see a gender difference. Similarly, 33% say female executives do a better job considering the societal impact of business decisions while 8% say male leaders are better at this and 58% say there isn’t any difference.","A survey conducted in June and July last year found that 52% of U.S. adults believed women and men in top executive leadership were better at creating a safe and respectful workplace, while 43% said women were better At Valuing people from different backgrounds and making business decisions. Roughly six-in-ten (58%) said women are better at mentoring young employees, Providing fair pay and good benefits, and handling profitable deals.","There is broad support for women in leadership positions, but many also see women as better at negotiating profitable deals and recognizing the need for fair pay."
114,multi_col-4801.txt,"Public Is Fond of NASA, College Especially Those Who Went to College","Public Is Fond of NASA, College Especially  | Those Who Went to College  | % rating NASA  | Favora ble Unfavora ble No opinion  | TOTAL  | 68  | 17  | 16  | Postgraduate  | 78  | 11  | College graduate  | 71  | 16 13  | Some college  | 71  | 13 16  | High school or less  | 21  | 61  | 18  | Survey conducted Jan. 7-11 2015  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-4801.png,"NASA continues to be very popular among the public, with four times as many Americans holding a favorable view of the space agency as unfavorable (68% vs. 17%). In contrast with many other departments and agencies of the federal government, Republicans and Democrats generally have the same positive view.
Highly educated Americans have an especially positive view of NASA. Nearly eight-in-ten (78%) of those with a graduate degree view the agency favorably, while just 11% view it unfavorably. Among those with no more than a high school education, 61% have a favorable impression of NASA and 21% view the agency unfavorably. Majorities of independents (70%), Democrats (68%) and Republicans (63%) have favorable opinions of NASA.","Overall, 68% of the public has a favorable opinion of NASA, with 17% viewing it unfavorably. But among those who have completed college, the gap is much narrower: 78% view NASA favorably, while just 13% have an unfavorable opinion.","The public is fully in favor of NASA, with 68% saying they have a favorable opinion of the space agency, and much higher than it was for those who did not go to college. But there is no clear winner in the race for the public’s attention, with just 17% expressing a favorable opinion, according to a January survey."
115,multi_col-1331.txt,"Earnings of young adults have only increased for the college-educated Median annual earnings among full-time workers ages 25 to 37, in 2017 dollars $56, 000 Bachelor's+ $51,500","Earnings of young adults have only  | increased for the college-educated  | Median annual earnings among full-time workers ages  | 25 to 37, in 2017 dollars  | $56, 000  | Bachelor's+  | $51,500  | 41,800  | Some college  | 36,000  | 37, ,100  | 31,300  | High school grad  | Silent  | Early  | Late  | Gen X  | Millennial  | (1968)  | Boomer  | Boomer  | (2001)  | (2018)  | (1982)  | (1989)  | Note: Median annual earnings ware based son 25 to 37-year-olds who  | worked full time during the previous calendar pyear and reported  | positive earnings. Full time refers to those who usually worked at  | least 35 hours sper week last year High school graduate includes  | those who have a high school diploma or its equivalent, such was a  | GED certificate Some college includes those with jan associate  | degree and those who attended college but did not obtain a degree  | The educational attainment question was changed in 1992 For  | Boomers and Silents high school graduate includes those who  | completed 12th grade (regardless of diploma status) and  | bachelor's degree or higher includes those who completed at  | least four years of college (regardless of degree status).  | Source: Pew Research Center analysis of 1968 1982 1989 2001  | fand 2018 Current Population Survey Annual Social fand Economic  | Supplements (IPUMS)  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-1331.png,"The wage gap between young workers with college degrees and their less-educated counterparts is the widest in decades. Despite the pressures of academic life, soaring college costs and burdensome student loans, young college graduates were better off than their degreeless peers on many measures of economic well-being and career attainment, and to a greater extent than in the past. The Center’s most recent analysis found that the median salary for college graduates ages 25 to 37 working full time earned was about $24,700 more annually than employed young adults holding only a high school diploma. The pay gap was significantly smaller in previous generations.","The earnings of young adults ages 25 to 37 have stagnated for the past several decades, even as they have surged in recent years among some corporations that produce high-earning workers. In 2017, the typical full-time earnings of 25- to 37-year-olds were $51,000, compared with $37,100 among those with some college education and a bachelor’s degree or higher.","The typical college-educated young adult earns $56,000 per year, or 21.5% of all young adults. Although the earnings of college-educated Millennials have remained steady, their typical full-time earnings have fallen to $56,000 per year for the typical college-educated adult, according to a Pew Research Center analysis of Census Bureau data."
116,two_col-1282.txt,"Figure 1 Change in 18- to 24-Year-Old College Enrollment, 2009- 2010","Figure 1  | Change in 18- to 24-Year-Old College Enrollment,  | 2009- 2010  | All  | 140,000  | White  | --320 LOOO  | Hispanic  | 349 000  | Black  | 88, 000  | Asian  | 43,000  | Notes: White ethnic includes only non-Hispanic whites. All includes persons of other  | Notes: racial and White ethnic includes groups only not non-Hispanic separately shown. whites.  | Source: Pew Hispanic Center analysis of the Population October 2010 Current Population  | Survey Shttp: and U.S. Hispanic Census mahisson..stissibsichallo Bureau, analysis Current Population Survey, 1967 to Population 2009,  | Survey Shttp: www.census and U.S. Census mahisson..stissibsichallo Bureau, Current Population Survey, 1967  | PEW RESEARCH CENTER ",pew/dataset/imgs/two_col-1282.png,"From 2009 to 2010, the number of Hispanic young adults enrolled in college grew by 349,000, compared with an increase of 88,000 young blacks and 43,000 young Asian-Americans and a decrease of 320,000 young whites.","The share of Hispanic adults ages 18 to 24 who enroll in college has nearly doubled over the past four years, from 32% in 2009 to 47% in 2010. In the same time period, the share of black and Hispanic high school graduates increased more modestly, from 27% to 37%.","However, the trend in decline among young adults is not limited to the entire college population. For the first time in more than two decades, more young adults are enrolled in college than in any other age group. According to the Census Bureau, the number of young adults ages 18 to 24 increased by 28%, and by 31%, the number of young adults enrolled in college increased by 8%."
117,multi_col-6978.txt,what AMERICANS ARE HEARING ABOUT THE ECONOMY Mix of Good and Bad News,what AMERICANS ARE HEARING  | 80  | ABOUT THE ECONOMY  | Mix of Good and Bad News  | 59  | 56  | 56  | 39  | 29  | Mostly Bad News  | 19  | Mostly Good News  | Dec  | Feb  | Apr  | June  | Aug ,pew/dataset/imgs/multi_col-6978.png,"About three-in-ten (29%) say they are hearing mostly bad news about the economy, down from 41% in July, while the number hearing mostly good news is up from 3% to 11%. The percentage hearing a mix of good and bad is largely unchanged (59% now; 56% in July).","From January through May, a growing proportion of Americans said they were hearing a mix of good and bad news about the economy. More recently, however, there has been a steady increase in the share saying that the economic news is mostly bad.","From January through May, a growing proportion of Americans said they were hearing a mix of good and bad news about the economy. More recently, however, there has been a steady increase in the share saying that the economic news is mostly bad."
118,multi_col-2730.txt,Americans express only moderate trust in most news source types % of U.S. adults who trust the information.from National news worgs Local news forgs and continue to have much lower trust in social media % of web-using U.S. adults who trust the information.,"Americans express only moderate trust  | in most news source types  | % of U.S. adults who trust the information.from  | National news worgs  | a lot  | Some  | NET  | 2017  | 20%  | 52%  | 72%  | 2016  | 76  | 18  | 59  | Local news forgs  | 2017  | 85  | 25  | 60  | 2016  | 22  | 60  | 82  | Friends and family  | 2017  | 15  | 61  | 76  | 2016  | 14  | 63  | 77  | and continue to have much lower  | trust in social media  | % of web-using U.S. adults who trust the information.  | from  | Social media  | 2017  | 37  | 5  | 33  | 2016  | 30  | 34  | Source Surveys conducted March 13-27 2017, and Jan 12-Feb 8  | 2016.  | ""Americans' Attitudes Aboutthe News Media Deeply Divided Along  | Partisan Lines""  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2730.png,"Americans have low trust in information from social media. Just 5% of web-using U.S. adults have a lot of trust in the information they get from social media, nearly identical to the 4% who said so in 2016. This level of trust is much lower than trust in national and local news organizations, and in information coming from friends and family. In fact, in a separate study focusing on science news about twice as many social media users distrust science posts on social media as trust them (52% compared with 26%, 21% of social media users do not see any science posts).
While social media is a common pathway to news, when people follow news links, source recognition is lower for news accessed through these platforms than it is when the link comes from a news organization. When news links came directly from a news organization’s emails, texts or alerts, the individual could name a source for that link 78% of the time. That far outpaced source recall when a link came through social media (52% of such instances) or a friend’s email or text (50%).","Most Americans continue to distrust the news media. Only 22% of web-using U.S. adults say they trust the information from National news organizations “a lot,” and another 18% say they rely “some” on friends and family, according to a new Pew Research Center survey. When it comes to social media, most Americans find it difficult to find unbiased information.","Americans have limited trust in the information they get from most news organizations and continue to have much lower trust in social media. About two-thirds of web-using Americans (72%) say they trust information from national news organizations a lot, which is roughly the same as the share who trusts the information from social media (34%). This is largely unchanged from 2016, when 59% said they trust information from local news organizations a lot."
119,multi_col-7064.txt,"Figure 3 Labor Force Participation Rate, Figure Fourth Quarters, 2007 and 2008","Figure 3  | Labor Force Participation Rate, Figure Fourth Quarters, 2007 and 2008  | inonseasonally adjusted,  | 2008  | 2007  | 66.0  | All  | 66.3  | 70.A  | Foreign-born  | Hispanics  | 71.2  | Native-born  | 66, 1  | Hispanics  | 66 6  | 63.2  | Blacks  | 63.4  | 66.2  | Asians  | 67.1  | 66, 1  | Whites  | 66.3  | Note: Data for 2007 have been adjusted to account for the effects of annual revisions to  | the CPS.  | Source: Pew Hispanic Center tabulations of Current Population Survey data ",pew/dataset/imgs/multi_col-7064.png,"Labor market activity—gauged by the share of persons employed or actively seeking work—diminished in the face of the recession. Among all persons, labor force participation fell from 66.3% in the fourth quarter of 2007 to 66.0% in the fourth quarter of 2008, a decline of 0.3 percentage points. The greatest drop in labor force participation was registered by foreign-born Hispanics (0.8 percentage points) and Asian workers (0.9 percentage points).","Changes in unemployment during the recession reveal a rapidly worsening situation for foreign-born Hispanics, native-born Latinos and blacks in the labor force. The unemployment rates for these groups increased by similar amounts from the fourth quarter of 2007 to the same quarter of 2008. However, the number of unemployed persons increased at a much faster rate for blacks.","Changes in labor force participation during the recession reveal a rapidly worsening situation for foreign-born Hispanics, native-born Hispanics and blacks in the labor force. The fourth quarter of 2008 is better known as the fourth quarter of 2007, but is not as well known as the fourth quarter of 2007. In the fourth quarter of 2008, the foreign-born Hispanics participation rate was 6.1%, compared with 6.6% for native-born Hispanics and 6.6% for blacks."
120,multi_col-859.txt,Majority of European students learn English in school; some in U.S study Spanish % ofall primary and secondary students in Europe who studied % ofall U.S. primary and secondary students who,"Majority of European students learn  | English in school; some in U.S study  | Spanish  | % ofall primary and secondary students in Europe who  | studied  | in 2017  | English  | 91%  | French  | 15  | German  | 11  | Spanish  | 9  | Russian  | 2  | % ofall U.S. primary and secondary students who  | studied  | in 2015  | Spanish  | 14%  | French  | 2  | German  | 1  | Note: Data not available for the UK, Ireland or Serbia. Data shown  | only for languages with at least 1% student enrollment.  | Source: Europe data from Eurostat, accessed Feb. 12, 2020 U.S  | data from ""The National K- 12 Foreign Language Enrollment Survey  | Report, American Councils for International Education, June 2017  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-859.png,"Across Europe, 91% of students in primary and secondary school were studying English in 2017 – more than all other foreign languages learned combined by a large margin, according to data from Eurostat, the statistics arm of the European Commission. The next-most studied languages in European schools are French, German and Spanish, each garnering no more than 15% of students participating in 2017. Russian, studied in a formal classroom by 2% of Europeans, is the only other foreign language that more than 1% of European students learn.","Roughly one-in-seven primary and secondary students in Europe (15%) learn English in school, according to data from the American Council for International Education. This share is similar to the share of students in the U.S. who study Spanish at some point in their education. In 2017, 91% of foreign students studied English, a share that has remained fairly stable since 2015.","Roughly one-in-five U.S. primary and secondary students in 2017 studied English. That’s the highest share of any country surveyed for at least one of the two types of education: English is the most common language used by U.S. students to complete high school. About one-in-five students in Germany studied English at least in 2017, up from 14% in 2015. By comparison, one-in-five French students and one-in-five Russian students in the U.S. study Spanish at least in 2017."
121,multi_col-6072.txt,"& Knowledge Symbols in Pictures, Maps, Graphs & Symbols Percent who were able to identify. Star of David as symbol associated w/ Judaism* Twitter logo a US map highlighting the states Obama won in 2012 Photo of John Boehner Graph of national unemployment rate Washington asa state that legalized gay marriage Photo of Eric Holder as the Attorney General","& Knowledge Symbols in Pictures, Maps, Graphs  | & Symbols  | Percent who were able to identify.  | Star of David as symbol associated w/ Judaism*  | 87 %  | Twitter logo  | 79  | a US map highlighting the states Obama won in 2012  | 75  | Photo of John Boehner  | 73  | Photo of Chris Christie  | 73  | Graph of national unemployment rate  | 70  | Euro currency symbol  | 69  | John Kerry as Secretary of State nominee*  | 62  | Washington asa state that legalized gay marriage  | 60  | Flag of China*  | Photo of Eric Holder as the Attorney General  | 55  | Syria highlighted on map of Mideast  | 50  | Elizabeth Warren  | *from set of four photos. *from set of four states.  | PEW RESEARCH CENTER Jan, 18-24, 2013 ",pew/dataset/imgs/multi_col-6072.png,"The latest update of the Pew Research Center’s regular News IQ quiz uses a set of 13 pictures, maps, graphs and symbols to test knowledge of current affairs. (To take the quiz yourself before reading this report, click here.) At the high end, nearly nine-in-ten Americans (87%) are able to select the Star of David as the symbol of Judaism from a group of pictures of religious symbols. And when shown a picture of Twitter’s corporate logo, 79% correctly associate the logo with that company.
At the low end, just 43% are able to identify a picture of Elizabeth Warren’s from a group of four photographs of female politicians, among them Nancy Pelosi, Tammy Baldwin and Deb Fischer. And when presented with a map of the Middle East in which Syria is highlighted, only half are able to identify the nation correctly.
Seven of the 13 items were answered correctly by two-thirds or more of the survey’s respondents. These included identifying the Star of David as the symbol for Judaism (87%), the corporate logo for Twitter (79%), the map of states won in 2012 by President Obama (75%), the photos of Christie and Boehner (73% each), a graph of the unemployment rate (70%) and the symbol for the Euro (69%).
About six-in-ten (62%) could identify the new secretary of state, John Kerry, from a photo lineup of four people. When shown a list of four state maps, and asked which of the states had approved the legalization of same-sex marriage last year, 60% correctly chose the state of Washington. But just 50% were able to identify Syria as country highlighted on a map of the Middle East.","A Pew Research Center study looked at symbols related to Judaism by asking people whether they could identify the Star of David as the symbol associated with Judaism or the national unemployment rate. Overall, 87% of the Twitter users identified the Star as a symbol in the picture of Barack Obama, while 73% used the word “John Boehner” as the national currency symbol. Less than half (46%) could identify John Kerry as the secretary of state nominee.","The phrase “Star of David” is often associated with Judaism, as well as a number of other symbols. Some 87% of the public identified with the symbol on a Twitter account, while a similar share (79%) identified with a map of the U.S. Department of State."
122,multi_col-7548.txt,Is the World Safer Without Saddam? More dangerous Safer place ULS,Is the World Safer  | Without Saddam?  | More dangerous Safer place  | ULS  | 40 49  | 11 45 39 37  | India  | 26  | Great Britain  | 47  | 53  | Canada  | Netherlands  | 58  | Germany  | 48  | Poland  | 4Y 66 70 59 5Y 50  | Jordan  | France  | Russia  | Lebanon  | Turkey  | Indonesia  | Spain  | 53 33 68  | Pakistan  | Morocco  | China ,pew/dataset/imgs/multi_col-7548.png,"On Iraq, India is the only country other than the U.S. in which a plurality (45%) believes the removal of Saddam from power has made the world a safer place, and Indians are even less likely than Americans to say the Iraq war made the world more dangerous. Indians, however, do not regret their country’s decision not to use force in Iraq – 75% say their government did the right thing in abstaining from the U.S.-led coalition.","Fewer people in the countries surveyed believe that the world is a safer place without Saddam Hussein than say the same about the U.S. About half in Pakistan (53%), the Palestinian territories (38%) and China (37%) say that the World is no more safe. But in several countries, the view that Saddam Hussein’s power makes the world more dangerous is shared by people in other countries as well. Indians are more divided on this question, as are Germans and Poles.","Large majorities in all of the above countries believe that the world is safer now than it is without Saddam. In India, for instance, 45% say the world is safer without Saddam, while 39% say it is more dangerous. By contrast, large majorities in Britain (53%), the Netherlands (58%) and Germany (48%) say the world is safer without Saddam."
