Date,.,No partisan lean,Democrat/Lean Dem,Republican/Lean Rep
10/26/1998,CBS/NYT,19,28,25
8/10/1998,ABC/POST,25,40,30
2/22/1998,PEW,25,42,28
2/01/1998,GALLUP,29,52,26
1/25/1998,CBS/NYT,17,31,22
10/31/1997,PEW,31,46,32
6/01/1997,GALLUP,28,39,25
1/14/1997,CBS/NYT,13,29,20
11/02/1996,CBS/NYT,20,31,20
10/15/1996,NES,30,40,27
5/12/1996,GALLUP,22,32,20
5/06/1996,ABC/POST,28,41,35
11/19/1995,ABC/POST,16,27,26
8/07/1995,GALLUP,15,24,21
8/05/1995,CBS/NYT,17,20,20
3/19/1995,ABC/POST,14,27,20
2/22/1995,CBS/NYT,11,18,19
12/01/1994,NES,20,26,18
10/29/1994,CBS/NYT,12,26,19
10/23/1994,ABC/POST,17,27,16
6/06/1994,GALLUP,13,23,11
1/30/1994,GALLUP,15,25,14
1/20/1994,ABC/POST,22,30,18
3/24/1993,GALLUP,14,32,11
1/17/1993,ABC/POST,16,32,25
1/14/1993,CBS/NYT,23,26,21
10/23/1992,CBS/NYT,14,17,31
10/15/1992,NES,24,31,34
6/08/1992,GALLUP,13,17,31
10/20/1991,ABC/POST,29,31,41
3/06/1991,CBS/NYT,38,40,56
3/01/1991,ABC/POST,29,41,52
12/01/1990,NES,27,26,32
10/28/1990,CBS/NYT,23,21,31
9/06/1990,ABC/POST,37,37,48
1/16/1990,ABC/POST,32,32,46
6/29/1989,CBS/NYT,34,27,45
1/15/1989,CBS/NYT,40,37,54
11/10/1988,CBS/NYT,41,36,58
10/15/1988,NES,38,35,51
1/23/1988,ABC/POST,26,31,51
10/18/1987,CBS/NYT,34,36,47
6/01/1987,ABC/POST,46,38,59
3/01/1987,CBS/NYT,40,34,54
1/21/1987,CBS/NYT,45,36,51
1/19/1987,ABC/POST,40,39,51
12/01/1986,NES,36,31,53
11/30/1986,CBS/NYT,54,37,63
9/09/1986,ABC/POST,32,30,51
1/19/1986,CBS/NYT,37,36,51
11/06/1985,CBS/NYT,39,42,59
7/29/1985,ABC/POST,33,30,48
3/21/1985,ABC/POST,31,29,49
2/22/1985,ABC/POST,21,30,62
11/14/1984,CBS/NYT,43,36,59
10/15/1984,NES,42,41,50
12/01/1982,NES,28,32,41
11/07/1980,CBS/NYT,37,40,42
10/15/1980,NES,20,31,23
3/12/1980,CBS/NYT,21,30,22
11/03/1979,CBS/NYT,28,32,28
12/01/1978,NES,27,33,26
10/23/1977,CBS/NYT,30,40,25
4/25/1977,CBS/NYT,32,37,34
10/15/1976,NES,32,30,42
9/05/1976,CBS/NYT,36,38,45
6/15/1976,CBS/NYT,29,36,36
3/01/1976,GALLUP,23,31,40
12/01/1974,NES,36,36,38
10/15/1972,NES,52,48,62
12/01/1970,NES,51,52,61
10/15/1968,NES,56,66,60
12/01/1966,NES,65,71,54
10/15/1964,NES,74,80,73
12/01/1958,NES,71,71,79
