Date,.,Hispanic,Black,White
10/23/1992,CBS/NYT,,21.0,23
10/15/1992,NES,37.0,27.0,28
6/08/1992,GALLUP,,,23
10/20/1991,ABC/POST,,29.0,36
3/06/1991,CBS/NYT,,30.0,49
3/01/1991,ABC/POST,,35.0,46
12/01/1990,NES,39.0,22.0,27
10/28/1990,CBS/NYT,,26.0,25
9/06/1990,ABC/POST,,39.0,43
1/16/1990,ABC/POST,,35.0,38
6/29/1989,CBS/NYT,,26.0,36
1/15/1989,CBS/NYT,,33.0,46
11/10/1988,CBS/NYT,,33.0,45
10/15/1988,NES,,25.0,43
1/23/1988,ABC/POST,,29.0,41
10/18/1987,CBS/NYT,,32.0,41
6/01/1987,ABC/POST,,34.0,49
3/01/1987,CBS/NYT,,20.0,45
1/21/1987,CBS/NYT,,27.0,46
1/19/1987,ABC/POST,,31.0,47
12/01/1986,NES,,21.0,42
11/30/1986,CBS/NYT,,23.0,52
9/09/1986,ABC/POST,,26.0,42
1/19/1986,CBS/NYT,,22.0,45
11/06/1985,CBS/NYT,,34.0,52
7/29/1985,ABC/POST,,22.0,40
3/21/1985,ABC/POST,,29.0,40
2/22/1985,ABC/POST,,24.0,46
10/15/1984,NES,,33.0,46
12/01/1982,NES,,26.0,34
11/07/1980,CBS/NYT,,30.0,40
10/15/1980,NES,,26.0,25
3/12/1980,CBS/NYT,,35.0,24
11/03/1979,CBS/NYT,,36.0,29
12/01/1978,NES,,29.0,29
10/23/1977,CBS/NYT,,28.0,34
4/25/1977,CBS/NYT,,34.0,35
10/15/1976,NES,,22.0,35
6/15/1976,CBS/NYT,,35.0,34
3/01/1976,GALLUP,,23.0,34
12/01/1974,NES,,19.0,38
10/15/1972,NES,,32.0,56
12/01/1970,NES,,40.0,55
10/15/1968,NES,,62.0,61
12/01/1966,NES,,65.0,65
10/15/1964,NES,,77.0,77
12/01/1958,NES,,62.0,74
